negatives
"frozenset({'P55316', 'P31276', 'TCR'})"
"frozenset({'O75665', 'Q969Q6', 'TCR'})"
"frozenset({'TCR', 'Q9UKT9', 'O95751'})"
"frozenset({'TCR', 'P10109', 'P47755'})"
"frozenset({'Q09472', 'TCR', 'P35398'})"
"frozenset({'Q9HCE1', 'Q6PKC3', 'TCR'})"
"frozenset({'Q8NGR6', 'Q9P2W3', 'TCR'})"
"frozenset({'P35637', 'Q08881', 'TCR'})"
"frozenset({'Q15796', 'TCR', 'Q969K4'})"
"frozenset({'Q16665', 'P07900', 'TCR'})"
"frozenset({'Q02818', 'Q8TBF2', 'TCR'})"
"frozenset({'P01574', 'Q13651', 'TCR'})"
"frozenset({'Q13126', 'P22061', 'TCR'})"
"frozenset({'P01106', 'Q9UK96', 'TCR'})"
"frozenset({'Q92874', 'P41240', 'TCR'})"
"frozenset({'Q8N137', 'Q9UIV1', 'TCR'})"
"frozenset({'Q14974', 'Q9BW19', 'TCR'})"
"frozenset({'Q05655', 'O76090', 'TCR'})"
"frozenset({'Q96EQ0', 'Q5JUK9', 'TCR'})"
"frozenset({'Q9NYJ8', 'P04350', 'TCR'})"
"frozenset({'TCR', 'P42766', 'P62906'})"
"frozenset({'P05412', 'TCR', 'Q14651'})"
"frozenset({'Q9BYQ2', 'Q7Z3S9', 'TCR'})"
"frozenset({'Q12834', 'Q9UPP1', 'TCR'})"
"frozenset({'Q9BS34', 'P60369', 'TCR'})"
"frozenset({'P38936', 'Q7KZI7', 'TCR'})"
"frozenset({'Q9HCE7', 'Q13761', 'TCR'})"
"frozenset({'Q9P0L0', 'TCR', 'Q9ULH0'})"
"frozenset({'Q96BZ8', 'Q68D86', 'TCR'})"
"frozenset({'TCR', 'P62736', 'P27986'})"
"frozenset({'TCR', 'Q96KB5', 'P68431'})"
"frozenset({'P78406', 'Q9NW08', 'TCR'})"
"frozenset({'Q96LK0', 'Q9UBK7', 'TCR'})"
"frozenset({'Q8WU68', 'Q6Y7W6', 'TCR'})"
"frozenset({'Q92831', 'P30305', 'TCR'})"
"frozenset({'Q9UBU9', 'Q15034', 'TCR'})"
"frozenset({'TCR', 'Q01804', 'Q04864'})"
"frozenset({'P63027', 'Q14157', 'TCR'})"
"frozenset({'Q93063', 'P62273', 'TCR'})"
"frozenset({'Q6P4Q7', 'Q15051', 'TCR'})"
"frozenset({'P49750', 'P09651', 'TCR'})"
"frozenset({'O95931', 'Q99496', 'TCR'})"
"frozenset({'TCR', 'Q9Y4K3', 'Q9NR30'})"
"frozenset({'Q96HP4', 'O94903', 'TCR'})"
"frozenset({'Q9NZT1', 'P51828', 'TCR'})"
"frozenset({'Q16654', 'P10515', 'TCR'})"
"frozenset({'O75146', 'Q9BUZ4', 'TCR'})"
"frozenset({'Q00987', 'Q01105', 'TCR'})"
"frozenset({'P30536', 'P18085', 'TCR'})"
"frozenset({'P17612', 'Q8NH03', 'TCR'})"
"frozenset({'Q9Y5S9', 'Q13416', 'TCR'})"
"frozenset({'O60292', 'Q8N3V7', 'TCR'})"
"frozenset({'O96017', 'P27361', 'TCR'})"
"frozenset({'P30084', 'Q9Y478', 'TCR'})"
"frozenset({'A5X5Y0', 'O75915', 'TCR'})"
"frozenset({'Q8IV08', 'P41091', 'TCR'})"
"frozenset({'Q13616', 'Q9BQ83', 'TCR'})"
"frozenset({'TCR', 'Q9BXL8', 'Q00005'})"
"frozenset({'TCR', 'Q969Q0', 'P62906'})"
"frozenset({'Q9BXA7', 'P11142', 'TCR'})"
"frozenset({'Q9Y4E8', 'Q13107', 'TCR'})"
"frozenset({'O00459', 'P11274', 'TCR'})"
"frozenset({'Q05516', 'P20248', 'TCR'})"
"frozenset({'P41182', 'P17535', 'TCR'})"
"frozenset({'TCR', 'Q2NL82', 'Q8IY81'})"
"frozenset({'Q16512', 'TCR', 'Q8IW40'})"
"frozenset({'P02489', 'P05813', 'TCR'})"
"frozenset({'P27348', 'TCR', 'P26640'})"
"frozenset({'Q13535', 'Q14562', 'TCR'})"
"frozenset({'Q86SE9', 'O00257', 'TCR'})"
"frozenset({'Q9NPD8', 'P63244', 'TCR'})"
"frozenset({'TCR', 'Q9UBB9', 'O43815'})"
"frozenset({'Q6PKG0', 'P24941', 'TCR'})"
"frozenset({'Q96EG3', 'P60410', 'TCR'})"
"frozenset({'P22612', 'Q13522', 'TCR'})"
"frozenset({'TCR', 'O00567', 'P39023'})"
"frozenset({'P26368', 'P07900', 'TCR'})"
"frozenset({'O00148', 'Q8NI27', 'TCR'})"
"frozenset({'Q8IWL3', 'Q8N442', 'TCR'})"
"frozenset({'Q9H0W5', 'P15880', 'TCR'})"
"frozenset({'P06733', 'Q14315', 'TCR'})"
"frozenset({'P62736', 'O14958', 'TCR'})"
"frozenset({'Q14498', 'Q8TBK6', 'TCR'})"
"frozenset({'P05067', 'P39019', 'TCR'})"
"frozenset({'TCR', 'Q9Y4X0', 'P49841'})"
"frozenset({'Q14934', 'Q02080', 'TCR'})"
"frozenset({'P15172', 'Q6QHK4', 'TCR'})"
"frozenset({'TCR', 'Q9P2P5', 'P49841'})"
"frozenset({'P16333', 'Q92698', 'TCR'})"
"frozenset({'O75448', 'P10828', 'TCR'})"
"frozenset({'Q15418', 'P18848', 'TCR'})"
"frozenset({'P19784', 'Q9BXY0', 'TCR'})"
"frozenset({'P25054', 'Q13363', 'TCR'})"
"frozenset({'TCR', 'P20333', 'O95831'})"
"frozenset({'Q7Z4U5', 'P05067', 'TCR'})"
"frozenset({'TCR', 'Q07021', 'Q00005'})"
"frozenset({'TCR', 'Q92973', 'Q13509'})"
"frozenset({'TCR', 'Q9Y6F9', 'Q13467'})"
"frozenset({'Q9BWE0', 'Q99496', 'TCR'})"
"frozenset({'P36575', 'P49407', 'TCR'})"
"frozenset({'P10644', 'Q13402', 'TCR'})"
"frozenset({'TCR', 'Q9BQI0', 'Q9P127'})"
"frozenset({'P29992', 'Q13255', 'TCR'})"
"frozenset({'P63279', 'Q9UBK2', 'TCR'})"
"frozenset({'TCR', 'O14646', 'P27635'})"
"frozenset({'TCR', 'Q9NP50', 'Q969Y2'})"
"frozenset({'Q9NVP1', 'Q9NRC8', 'TCR'})"
"frozenset({'P61221', 'TCR', 'Q96I99'})"
"frozenset({'Q16777', 'Q5VVJ2', 'TCR'})"
"frozenset({'P49736', 'TCR', 'P23246'})"
"frozenset({'P06576', 'Q99496', 'TCR'})"
"frozenset({'P34931', 'Q13509', 'TCR'})"
"frozenset({'P55735', 'P09497', 'TCR'})"
"frozenset({'Q99612', 'P05067', 'TCR'})"
"frozenset({'P28482', 'P34925', 'TCR'})"
"frozenset({'Q05397', 'P98077', 'TCR'})"
"frozenset({'P20963', 'P42704', 'TCR'})"
"frozenset({'P63244', 'P46776', 'TCR'})"
"frozenset({'P15336', 'P10828', 'TCR'})"
"frozenset({'TCR', 'Q05D60', 'Q9NU19'})"
"frozenset({'TCR', 'Q92845', 'Q9Y496'})"
"frozenset({'P34897', 'Q96AJ1', 'TCR'})"
"frozenset({'P10276', 'Q8N2W9', 'TCR'})"
"frozenset({'Q6P2E9', 'P19320', 'TCR'})"
"frozenset({'O95786', 'Q86WV6', 'TCR'})"
"frozenset({'Q15796', 'Q6IPX3', 'TCR'})"
"frozenset({'Q16629', 'Q16181', 'TCR'})"
"frozenset({'Q8IVE3', 'Q9UKB1', 'TCR'})"
"frozenset({'Q9H3U1', 'Q6ZRV2', 'TCR'})"
"frozenset({'Q93100', 'P36873', 'TCR'})"
"frozenset({'Q14103', 'Q15427', 'TCR'})"
"frozenset({'Q16543', 'P05141', 'TCR'})"
"frozenset({'Q96B97', 'P07910', 'TCR'})"
"frozenset({'Q96CW1', 'P22694', 'TCR'})"
"frozenset({'O75530', 'Q8WVM7', 'TCR'})"
"frozenset({'Q9GZV4', 'Q15771', 'TCR'})"
"frozenset({'Q9UBX2', 'P09429', 'TCR'})"
"frozenset({'P63104', 'Q05655', 'TCR'})"
"frozenset({'P35573', 'Q9BV68', 'TCR'})"
"frozenset({'Q12952', 'P46459', 'TCR'})"
"frozenset({'Q15714', 'Q9UMN6', 'TCR'})"
"frozenset({'TCR', 'P55072', 'O76064'})"
"frozenset({'Q86VN1', 'O95352', 'TCR'})"
"frozenset({'P49642', 'O60641', 'TCR'})"
"frozenset({'P50222', 'Q96EH3', 'TCR'})"
"frozenset({'Q13535', 'Q01844', 'TCR'})"
"frozenset({'Q13153', 'P00533', 'TCR'})"
"frozenset({'O15350', 'Q96LA8', 'TCR'})"
"frozenset({'Q8TDS5', 'TCR', 'O43741'})"
"frozenset({'Q13643', 'Q86TB9', 'TCR'})"
"frozenset({'Q9BY77', 'Q96FV9', 'TCR'})"
"frozenset({'TCR', 'A6QL64', 'P04406'})"
"frozenset({'Q93074', 'Q9ULK4', 'TCR'})"
"frozenset({'P00533', 'Q16186', 'TCR'})"
"frozenset({'Q07627', 'O75093', 'TCR'})"
"frozenset({'P62140', 'P46020', 'TCR'})"
"frozenset({'Q92614', 'TCR', 'Q9Y4I1'})"
"frozenset({'Q96MT8', 'A6NKD9', 'TCR'})"
"frozenset({'Q9BW61', 'Q8TEB1', 'TCR'})"
"frozenset({'Q9H8W4', 'P15104', 'TCR'})"
"frozenset({'Q8WYA6', 'O95630', 'TCR'})"
"frozenset({'Q13618', 'TCR', 'Q9NPC7'})"
"frozenset({'TCR', 'P61956', 'Q9P0U3'})"
"frozenset({'Q9NZ01', 'O95470', 'TCR'})"
"frozenset({'Q15554', 'O00571', 'TCR'})"
"frozenset({'TCR', 'P05067', 'Q99661'})"
"frozenset({'Q15599', 'Q9BXI6', 'TCR'})"
"frozenset({'TCR', 'P37840', 'P23975'})"
"frozenset({'Q86TJ2', 'Q96ES7', 'TCR'})"
"frozenset({'Q8IZL8', 'Q13573', 'TCR'})"
"frozenset({'TCR', 'P00533', 'Q9H0D6'})"
"frozenset({'P55040', 'Q13077', 'TCR'})"
"frozenset({'P18146', 'O00257', 'TCR'})"
"frozenset({'P29803', 'Q00839', 'TCR'})"
"frozenset({'Q9NZC7', 'P49750', 'TCR'})"
"frozenset({'Q9Y282', 'Q96RQ1', 'TCR'})"
"frozenset({'Q9Y5K5', 'Q96FQ6', 'TCR'})"
"frozenset({'P06865', 'Q86UP2', 'TCR'})"
"frozenset({'TCR', 'Q9H892', 'Q9UM19'})"
"frozenset({'Q8WXH5', 'O43609', 'TCR'})"
"frozenset({'Q06413', 'O95644', 'TCR'})"
"frozenset({'P26715', 'Q8NBI2', 'TCR'})"
"frozenset({'P68402', 'Q6XQN6', 'TCR'})"
"frozenset({'Q14145', 'Q86UX7', 'TCR'})"
"frozenset({'Q9C0E2', 'TCR', 'P43115'})"
"frozenset({'P19793', 'P20813', 'TCR'})"
"frozenset({'Q15465', 'Q5VTY9', 'TCR'})"
"frozenset({'Q15038', 'Q9NQB0', 'TCR'})"
"frozenset({'TCR', 'Q9NRC8', 'Q06787'})"
"frozenset({'P19634', 'Q13315', 'TCR'})"
"frozenset({'Q13145', 'O75197', 'TCR'})"
"frozenset({'P43353', 'Q16594', 'TCR'})"
"frozenset({'Q99962', 'Q9Y2H0', 'TCR'})"
"frozenset({'Q8IWX8', 'Q9Y5V3', 'TCR'})"
"frozenset({'Q9P2B4', 'P24941', 'TCR'})"
"frozenset({'P23258', 'P13073', 'TCR'})"
"frozenset({'P38646', 'P16298', 'TCR'})"
"frozenset({'TCR', 'Q9UIM3', 'P00540'})"
"frozenset({'TCR', 'Q8NAN2', 'Q86VU5'})"
"frozenset({'O95602', 'Q9P206', 'TCR'})"
"frozenset({'Q92569', 'Q9ULV8', 'TCR'})"
"frozenset({'Q8NEF9', 'Q96JN0', 'TCR'})"
"frozenset({'TCR', 'P20339', 'P26374'})"
"frozenset({'Q96HE9', 'Q9UNX3', 'TCR'})"
"frozenset({'Q5TA81', 'Q5T7P3', 'TCR'})"
"frozenset({'Q02750', 'Q9Y6X8', 'TCR'})"
"frozenset({'P04844', 'P25705', 'TCR'})"
"frozenset({'Q9HCE1', 'P23527', 'TCR'})"
"frozenset({'TCR', 'P48431', 'Q8N201'})"
"frozenset({'O15530', 'P42336', 'TCR'})"
"frozenset({'P17040', 'Q8IWY8', 'TCR'})"
"frozenset({'Q9HC56', 'P41182', 'TCR'})"
"frozenset({'TCR', 'Q13233', 'Q92993'})"
"frozenset({'P31153', 'Q9NR19', 'TCR'})"
"frozenset({'O14972', 'TCR', 'Q13191'})"
"frozenset({'TCR', 'Q9UK08', 'P40145'})"
"frozenset({'TCR', 'P04629', 'Q02880'})"
"frozenset({'TCR', 'Q14241', 'Q93034'})"
"frozenset({'P40933', 'Q14626', 'TCR'})"
"frozenset({'Q8N3V7', 'P04899', 'TCR'})"
"frozenset({'Q9H0I2', 'Q8NA61', 'TCR'})"
"frozenset({'Q9Y5R4', 'P78358', 'TCR'})"
"frozenset({'TCR', 'O75431', 'P45880'})"
"frozenset({'Q13595', 'P39748', 'TCR'})"
"frozenset({'Q14232', 'Q8IWR1', 'TCR'})"
"frozenset({'Q9UI14', 'P68371', 'TCR'})"
"frozenset({'Q6L8H1', 'Q9BYQ3', 'TCR'})"
"frozenset({'P60412', 'Q96SQ5', 'TCR'})"
"frozenset({'Q96RE7', 'TCR', 'O14980'})"
"frozenset({'Q9Y3M2', 'Q8TC76', 'TCR'})"
"frozenset({'Q9UBN7', 'Q8NHQ1', 'TCR'})"
"frozenset({'P16234', 'P12034', 'TCR'})"
"frozenset({'P06493', 'Q99741', 'TCR'})"
"frozenset({'Q8TAP4', 'P01100', 'TCR'})"
"frozenset({'TCR', 'P35228', 'P05109'})"
"frozenset({'Q9BWH2', 'Q13352', 'TCR'})"
"frozenset({'TCR', 'Q5T619', 'P60328'})"
"frozenset({'Q9HD43', 'P60410', 'TCR'})"
"frozenset({'Q12769', 'P49790', 'TCR'})"
"frozenset({'O00757', 'Q12873', 'TCR'})"
"frozenset({'TCR', 'P26641', 'P21673'})"
"frozenset({'Q9Y2I6', 'Q8TBC3', 'TCR'})"
"frozenset({'Q15418', 'P53602', 'TCR'})"
"frozenset({'Q9H0W5', 'Q02413', 'TCR'})"
"frozenset({'Q9NPJ1', 'Q15583', 'TCR'})"
"frozenset({'P15407', 'Q15672', 'TCR'})"
"frozenset({'Q5TA79', 'P60370', 'TCR'})"
"frozenset({'Q9NPL8', 'Q9UDW1', 'TCR'})"
"frozenset({'Q99081', 'Q99598', 'TCR'})"
"frozenset({'TCR', 'P07947', 'Q96KM6'})"
"frozenset({'P23497', 'Q9NYB0', 'TCR'})"
"frozenset({'P13639', 'O96008', 'TCR'})"
"frozenset({'TCR', 'Q99961', 'Q9NZD8'})"
"frozenset({'Q96MU8', 'Q2MKA7', 'TCR'})"
"frozenset({'P43250', 'P32302', 'TCR'})"
"frozenset({'P68104', 'P27708', 'TCR'})"
"frozenset({'P54710', 'P28482', 'TCR'})"
"frozenset({'Q9NYY1', 'P40238', 'TCR'})"
"frozenset({'Q13618', 'TCR', 'Q93034'})"
"frozenset({'Q9BV57', 'Q9UKG1', 'TCR'})"
"frozenset({'TCR', 'P43243', 'Q9UKV8'})"
"frozenset({'Q14674', 'Q9UBU9', 'TCR'})"
"frozenset({'Q9NYZ3', 'Q9H4A3', 'TCR'})"
"frozenset({'Q9NYV6', 'Q01105', 'TCR'})"
"frozenset({'TCR', 'P08582', 'Q9UMX0'})"
"frozenset({'Q53H47', 'Q13426', 'TCR'})"
"frozenset({'Q92633', 'Q8TEQ8', 'TCR'})"
"frozenset({'Q9Y6M9', 'O95167', 'TCR'})"
"frozenset({'P29965', 'Q13489', 'TCR'})"
"frozenset({'Q8NAF0', 'Q9P2P5', 'TCR'})"
"frozenset({'O75530', 'Q9GZV8', 'TCR'})"
"frozenset({'Q9NX20', 'TCR', 'O75489'})"
"frozenset({'Q9BQ66', 'TCR', 'Q9BYE3'})"
"frozenset({'P25705', 'Q9NRD1', 'TCR'})"
"frozenset({'Q16633', 'Q9P0T4', 'TCR'})"
"frozenset({'P13598', 'P26038', 'TCR'})"
"frozenset({'Q8NGW1', 'P05067', 'TCR'})"
"frozenset({'Q07352', 'Q9NUX5', 'TCR'})"
"frozenset({'TCR', 'Q9NTI5', 'Q7Z5K2'})"
"frozenset({'P12883', 'TCR', 'P63098'})"
"frozenset({'P56545', 'O43541', 'TCR'})"
"frozenset({'TCR', 'P21980', 'O14562'})"
"frozenset({'Q9Y217', 'P14373', 'TCR'})"
"frozenset({'TCR', 'Q9BTL3', 'Q9NRQ2'})"
"frozenset({'P01106', 'Q9UPV9', 'TCR'})"
"frozenset({'P49116', 'P13056', 'TCR'})"
"frozenset({'P62760', 'O94919', 'TCR'})"
"frozenset({'O00459', 'P19438', 'TCR'})"
"frozenset({'P35998', 'Q6NZY4', 'TCR'})"
"frozenset({'P17302', 'Q16539', 'TCR'})"
"frozenset({'Q01995', 'Q8IWZ8', 'TCR'})"
"frozenset({'TCR', 'Q99879', 'Q96DB2'})"
"frozenset({'P52209', 'P31150', 'TCR'})"
"frozenset({'TCR', 'Q92858', 'Q9BZE3'})"
"frozenset({'Q92890', 'Q8TB37', 'TCR'})"
"frozenset({'O60812', 'Q92734', 'TCR'})"
"frozenset({'TCR', 'O95273', 'Q9BQ89'})"
"frozenset({'Q15051', 'Q99436', 'TCR'})"
"frozenset({'P12931', 'P31040', 'TCR'})"
"frozenset({'P02751', 'P40227', 'TCR'})"
"frozenset({'P15692', 'P11362', 'TCR'})"
"frozenset({'Q92754', 'O00167', 'TCR'})"
"frozenset({'P31273', 'Q7Z3S9', 'TCR'})"
"frozenset({'Q13619', 'P23258', 'TCR'})"
"frozenset({'TCR', 'Q9NY12', 'O75147'})"
"frozenset({'TCR', 'Q9HB09', 'P49841'})"
"frozenset({'P05000', 'TCR', 'P48357'})"
"frozenset({'O95677', 'O95487', 'TCR'})"
"frozenset({'P49238', 'P09341', 'TCR'})"
"frozenset({'Q15366', 'P01106', 'TCR'})"
"frozenset({'P31939', 'P04792', 'TCR'})"
"frozenset({'P63151', 'Q00536', 'TCR'})"
"frozenset({'P43146', 'P62847', 'TCR'})"
"frozenset({'P34897', 'P40763', 'TCR'})"
"frozenset({'Q92620', 'P60510', 'TCR'})"
"frozenset({'Q9NRA1', 'P00749', 'TCR'})"
"frozenset({'P35568', 'Q5UE93', 'TCR'})"
"frozenset({'Q9UJX2', 'P35711', 'TCR'})"
"frozenset({'Q9Y5L4', 'Q9H211', 'TCR'})"
"frozenset({'Q13049', 'P11684', 'TCR'})"
"frozenset({'TCR', 'P62875', 'Q9H204'})"
"frozenset({'TCR', 'Q14966', 'Q96S53'})"
"frozenset({'Q6IQ21', 'Q99549', 'TCR'})"
"frozenset({'Q9H4K1', 'Q96BY9', 'TCR'})"
"frozenset({'TCR', 'P10275', 'P17676'})"
"frozenset({'P11055', 'Q969P0', 'TCR'})"
"frozenset({'Q14103', 'O95400', 'TCR'})"
"frozenset({'Q9H7Z6', 'TCR', 'Q8N5Y2'})"
"frozenset({'O75360', 'P62495', 'TCR'})"
"frozenset({'Q15370', 'Q8IYF1', 'TCR'})"
"frozenset({'Q9Y4E5', 'P51116', 'TCR'})"
"frozenset({'O95630', 'Q9UQ90', 'TCR'})"
"frozenset({'Q8N8R5', 'P52732', 'TCR'})"
"frozenset({'Q9UBU9', 'Q96EE3', 'TCR'})"
"frozenset({'P11940', 'Q99700', 'TCR'})"
"frozenset({'Q12905', 'TCR', 'P27635'})"
"frozenset({'O60361', 'Q9BY78', 'TCR'})"
"frozenset({'P06239', 'Q14511', 'TCR'})"
"frozenset({'Q8NAT1', 'Q15165', 'TCR'})"
"frozenset({'Q9UIL1', 'Q9P104', 'TCR'})"
"frozenset({'TCR', 'Q9UNQ2', 'Q9NX70'})"
"frozenset({'P04040', 'Q6ICL3', 'TCR'})"
"frozenset({'P16989', 'P20674', 'TCR'})"
"frozenset({'Q71F23', 'Q9UBB9', 'TCR'})"
"frozenset({'P48443', 'Q9NRX1', 'TCR'})"
"frozenset({'Q13936', 'Q9Y2T4', 'TCR'})"
"frozenset({'Q9UQ88', 'TCR', 'Q8N726'})"
"frozenset({'Q9HBU1', 'TCR', 'Q16659'})"
"frozenset({'Q96I51', 'Q9H4A6', 'TCR'})"
"frozenset({'TCR', 'O95819', 'P62714'})"
"frozenset({'P63261', 'O00159', 'TCR'})"
"frozenset({'Q71F23', 'P53350', 'TCR'})"
"frozenset({'TCR', 'Q9BYQ6', 'Q5T752'})"
"frozenset({'Q13049', 'Q9NYB9', 'TCR'})"
"frozenset({'P51451', 'Q05086', 'TCR'})"
"frozenset({'P13497', 'O14793', 'TCR'})"
"frozenset({'Q9NV70', 'Q92989', 'TCR'})"
"frozenset({'Q13136', 'Q4VCS5', 'TCR'})"
"frozenset({'Q9Y6E0', 'P17987', 'TCR'})"
"frozenset({'P04066', 'P05067', 'TCR'})"
"frozenset({'Q12800', 'TCR', 'P0DP25'})"
"frozenset({'Q13618', 'P54886', 'TCR'})"
"frozenset({'P05154', 'P52758', 'TCR'})"
"frozenset({'O00505', 'Q13330', 'TCR'})"
"frozenset({'P31153', 'Q13618', 'TCR'})"
"frozenset({'Q8WUJ3', 'Q96GG9', 'TCR'})"
"frozenset({'O75312', 'P04629', 'TCR'})"
"frozenset({'O43151', 'O95429', 'TCR'})"
"frozenset({'P50750', 'P17542', 'TCR'})"
"frozenset({'TCR', 'Q05513', 'P35611'})"
"frozenset({'TCR', 'Q9Y575', 'Q9BWU0'})"
"frozenset({'O15379', 'Q12772', 'TCR'})"
"frozenset({'TCR', 'Q14451', 'Q9UPQ3'})"
"frozenset({'TCR', 'P20963', 'Q96I99'})"
"frozenset({'Q92831', 'P25208', 'TCR'})"
"frozenset({'Q9HD15', 'P15336', 'TCR'})"
"frozenset({'TCR', 'Q15788', 'Q8IWT3'})"
"frozenset({'Q9UQB8', 'Q13322', 'TCR'})"
"frozenset({'Q9HAY2', 'Q969H0', 'TCR'})"
"frozenset({'TCR', 'P40425', 'Q5JVL4'})"
"frozenset({'P10276', 'TCR', 'O75925'})"
"frozenset({'P62330', 'P42704', 'TCR'})"
"frozenset({'O76003', 'TCR', 'Q9NPH2'})"
"frozenset({'P16671', 'Q05397', 'TCR'})"
"frozenset({'Q8WXE9', 'Q9H4M9', 'TCR'})"
"frozenset({'TCR', 'O94782', 'P19013'})"
"frozenset({'O15031', 'Q04912', 'TCR'})"
"frozenset({'Q9NY65', 'P35520', 'TCR'})"
"frozenset({'Q12959', 'Q5JTD0', 'TCR'})"
"frozenset({'TCR', 'Q6L8G9', 'Q3SY46'})"
"frozenset({'O75461', 'Q9NX08', 'TCR'})"
"frozenset({'P25024', 'Q8NHW4', 'TCR'})"
"frozenset({'TCR', 'Q9Y6I3', 'O00548'})"
"frozenset({'Q15762', 'P17252', 'TCR'})"
"frozenset({'P22607', 'P05060', 'TCR'})"
"frozenset({'Q9P0S2', 'O75015', 'TCR'})"
"frozenset({'P56748', 'Q16625', 'TCR'})"
"frozenset({'TCR', 'P23769', 'Q92830'})"
"frozenset({'O43597', 'TCR', 'P07858'})"
"frozenset({'TCR', 'P33981', 'Q16659'})"
"frozenset({'Q92665', 'Q9Y6A4', 'TCR'})"
"frozenset({'Q8WXA8', 'Q13454', 'TCR'})"
"frozenset({'Q12950', 'Q9Y6M7', 'TCR'})"
"frozenset({'Q5TA79', 'Q9BYQ0', 'TCR'})"
"frozenset({'P17026', 'Q9UNX3', 'TCR'})"
"frozenset({'P01116', 'TCR', 'Q9C0B0'})"
"frozenset({'Q9NX65', 'Q9NWS9', 'TCR'})"
"frozenset({'TCR', 'P17612', 'Q96AT9'})"
"frozenset({'Q9UBC2', 'Q9BPX3', 'TCR'})"
"frozenset({'P17544', 'P25490', 'TCR'})"
"frozenset({'P05067', 'Q14CX5', 'TCR'})"
"frozenset({'Q04917', 'Q8N122', 'TCR'})"
"frozenset({'P63211', 'Q13131', 'TCR'})"
"frozenset({'TCR', 'P29375', 'P20226'})"
"frozenset({'TCR', 'P78545', 'Q9UQ90'})"
"frozenset({'TCR', 'Q9H4A6', 'Q96D53'})"
"frozenset({'Q10981', 'Q8IUH5', 'TCR'})"
"frozenset({'P49792', 'Q6P2Q9', 'TCR'})"
"frozenset({'O60232', 'O75865', 'TCR'})"
"frozenset({'P28749', 'P42694', 'TCR'})"
"frozenset({'TCR', 'Q96H20', 'P40222'})"
"frozenset({'P16455', 'P24941', 'TCR'})"
"frozenset({'P17612', 'Q09428', 'TCR'})"
"frozenset({'Q6PGQ7', 'Q9UBS4', 'TCR'})"
"frozenset({'P51959', 'O43149', 'TCR'})"
"frozenset({'Q8WYR1', 'Q9H1C0', 'TCR'})"
"frozenset({'Q9H7E9', 'Q3B7T1', 'TCR'})"
"frozenset({'Q9H0W5', 'O43175', 'TCR'})"
"frozenset({'Q63ZY3', 'Q9Y2V7', 'TCR'})"
"frozenset({'P16083', 'P00533', 'TCR'})"
"frozenset({'Q9NTJ3', 'TCR', 'O60216'})"
"frozenset({'P30084', 'Q9Y4K3', 'TCR'})"
"frozenset({'TCR', 'P38405', 'Q8NGN5'})"
"frozenset({'TCR', 'Q30154', 'Q29974'})"
"frozenset({'Q8NGV7', 'P62873', 'TCR'})"
"frozenset({'Q9HC52', 'O95251', 'TCR'})"
"frozenset({'P29353', 'P63104', 'TCR'})"
"frozenset({'P22392', 'P30520', 'TCR'})"
"frozenset({'P62277', 'P38398', 'TCR'})"
"frozenset({'Q99750', 'Q96RF0', 'TCR'})"
"frozenset({'P02458', 'P25067', 'TCR'})"
"frozenset({'TCR', 'P30260', 'Q15013'})"
"frozenset({'TCR', 'P12830', 'P46060'})"
"frozenset({'Q92890', 'P55854', 'TCR'})"
"frozenset({'Q16881', 'P04637', 'TCR'})"
"frozenset({'P61586', 'Q9NQU5', 'TCR'})"
"frozenset({'Q7L9B9', 'TCR', 'O76071'})"
"frozenset({'TCR', 'Q8WYQ5', 'O14763'})"
"frozenset({'P06733', 'Q13619', 'TCR'})"
"frozenset({'Q6PB30', 'P78362', 'TCR'})"
"frozenset({'Q92622', 'Q5T619', 'TCR'})"
"frozenset({'P24522', 'P98177', 'TCR'})"
"frozenset({'Q13535', 'Q7Z5Q5', 'TCR'})"
"frozenset({'Q9UBU9', 'Q92973', 'TCR'})"
"frozenset({'P14373', 'Q9NQ50', 'TCR'})"
"frozenset({'Q9C005', 'Q96A08', 'TCR'})"
"frozenset({'P55072', 'Q9Y6D5', 'TCR'})"
"frozenset({'Q9P2K3', 'Q68D86', 'TCR'})"
"frozenset({'Q16777', 'TCR', 'Q92830'})"
"frozenset({'TCR', 'Q9H7D7', 'P12755'})"
"frozenset({'P07550', 'Q5JWF2', 'TCR'})"
"frozenset({'O75071', 'TCR', 'Q96HH9'})"
"frozenset({'P01574', 'P42702', 'TCR'})"
"frozenset({'P60484', 'O43795', 'TCR'})"
"frozenset({'O96017', 'P41236', 'TCR'})"
"frozenset({'P07550', 'TCR', 'O75489'})"
"frozenset({'TCR', 'Q96D09', 'O76064'})"
"frozenset({'Q9P0L0', 'Q7L014', 'TCR'})"
"frozenset({'Q9H6X2', 'Q13509', 'TCR'})"
"frozenset({'Q9H694', 'Q92734', 'TCR'})"
"frozenset({'Q96GX1', 'Q9NZ01', 'TCR'})"
"frozenset({'P54619', 'Q96SD1', 'TCR'})"
"frozenset({'TCR', 'Q92793', 'Q9Y5Q3'})"
"frozenset({'TCR', 'O60939', 'Q9Y6E2'})"
"frozenset({'TCR', 'Q13418', 'Q92905'})"
"frozenset({'O43676', 'P03905', 'TCR'})"
"frozenset({'Q9UF02', 'Q9Y2T4', 'TCR'})"
"frozenset({'TCR', 'Q9Y4B6', 'Q8IY81'})"
"frozenset({'TCR', 'P24941', 'Q01469'})"
