negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'Leptin', 'Q969V6', 'P27361'})"
"frozenset({'Q9Y2Z0', 'Leptin', 'O60346'})"
"frozenset({'Leptin', 'Q9GZS3', 'P63104'})"
"frozenset({'P36888', 'Leptin', 'Q9NP95'})"
"frozenset({'Leptin', 'Q15102', 'Q9Y4G2'})"
"frozenset({'Leptin', 'Q13601', 'Q9Y2X3'})"
"frozenset({'Leptin', 'Q8TBB1', 'Q92823'})"
"frozenset({'P10912', 'P16333', 'Leptin'})"
"frozenset({'Q8NEC5', 'Leptin', 'Q9BYQ2'})"
"frozenset({'Q9NQC3', 'Leptin', 'P22736'})"
"frozenset({'P61201', 'Leptin', 'Q13888'})"
"frozenset({'Leptin', 'P06241', 'O43150'})"
"frozenset({'Leptin', 'P31150', 'P06865'})"
"frozenset({'Q9HAV0', 'Leptin', 'P51828'})"
"frozenset({'Leptin', 'Q9UKT7', 'P08238'})"
"frozenset({'P0CG13', 'Leptin', 'Q13541'})"
"frozenset({'Leptin', 'Q5SXM8', 'Q9H936'})"
"frozenset({'Leptin', 'P78344', 'Q9Y2Q3'})"
"frozenset({'Leptin', 'Q63ZY3', 'Q99469'})"
"frozenset({'Leptin', 'Q15287', 'P26368'})"
"frozenset({'Leptin', 'P63241', 'Q01844'})"
"frozenset({'Q8N443', 'Leptin', 'Q9Y6C2'})"
"frozenset({'P01375', 'Leptin', 'O60245'})"
"frozenset({'P61278', 'Leptin', 'Q13087'})"
"frozenset({'Leptin', 'Q06455', 'Q96L14'})"
"frozenset({'Leptin', 'Q9Y266', 'P78545'})"
"frozenset({'Leptin', 'P38159', 'Q12926'})"
"frozenset({'Leptin', 'Q7Z2W4', 'Q15024'})"
"frozenset({'P22612', 'Leptin', 'Q8NG95'})"
"frozenset({'Q8WWX0', 'P06576', 'Leptin'})"
"frozenset({'Leptin', 'P53350', 'Q71U36'})"
"frozenset({'Q8IUD2', 'Leptin', 'Q6IBS0'})"
"frozenset({'Q96CS3', 'Leptin', 'Q15717'})"
"frozenset({'Leptin', 'Q9NZB8', 'P10746'})"
"frozenset({'O43482', 'Leptin', 'O75150'})"
"frozenset({'Leptin', 'Q13323', 'Q92843'})"
"frozenset({'Q96N46', 'Leptin', 'Q8IWX8'})"
"frozenset({'O43920', 'Leptin', 'Q8IWL3'})"
"frozenset({'Leptin', 'O76024', 'Q9H6X2'})"
"frozenset({'Q13753', 'Leptin', 'P25490'})"
"frozenset({'Q92764', 'Leptin', 'Q9P0N9'})"
"frozenset({'P60033', 'Leptin', 'P23381'})"
"frozenset({'Leptin', 'Q9C0J8', 'P36873'})"
"frozenset({'Leptin', 'P51617', 'Q16539'})"
"frozenset({'Q13233', 'Leptin', 'Q9P2X3'})"
"frozenset({'Q07954', 'P30988', 'Leptin'})"
"frozenset({'Q14739', 'Leptin', 'Q9NQ29'})"
"frozenset({'P12429', 'Leptin', 'P50995'})"
"frozenset({'P37108', 'Leptin', 'Q9BRP1'})"
"frozenset({'Q9BYG3', 'Leptin', 'Q13523'})"
"frozenset({'Leptin', 'O75348', 'P51149'})"
"frozenset({'Leptin', 'Q9Y2Z9', 'P05067'})"
"frozenset({'Leptin', 'O43463', 'Q8TAU3'})"
"frozenset({'Leptin', 'P53350', 'O60341'})"
"frozenset({'Leptin', 'Q13535', 'Q15029'})"
"frozenset({'P12931', 'Leptin', 'P61224'})"
"frozenset({'Leptin', 'Q9UJX2', 'P38432'})"
"frozenset({'O43516', 'Leptin', 'Q14296'})"
"frozenset({'Leptin', 'Q96C57', 'O14980'})"
"frozenset({'Leptin', 'Q14197', 'O00746'})"
"frozenset({'Q15717', 'Leptin', 'Q16690'})"
"frozenset({'Leptin', 'O75530', 'Q14526'})"
"frozenset({'Leptin', 'Q9NQU5', 'Q16890'})"
"frozenset({'Leptin', 'Q14112', 'P41212'})"
"frozenset({'Leptin', 'P36941', 'P12755'})"
"frozenset({'Q6A162', 'Leptin', 'Q86VE0'})"
"frozenset({'Leptin', 'P63279', 'Q05516'})"
"frozenset({'Q9C000', 'Leptin', 'O15553'})"
"frozenset({'Leptin', 'P06702', 'Q5BKZ1'})"
"frozenset({'Leptin', 'Q9UBX2', 'P50991'})"
"frozenset({'Leptin', 'Q9H6Y7', 'Q9P031'})"
"frozenset({'Leptin', 'P14373', 'P04637'})"
"frozenset({'P24864', 'Leptin', 'Q9UJX2'})"
"frozenset({'Leptin', 'A6NK89', 'P68400'})"
"frozenset({'Q9P0J7', 'Leptin', 'P04792'})"
"frozenset({'Leptin', 'O75529', 'P68431'})"
"frozenset({'Leptin', 'P68371', 'Q13573'})"
"frozenset({'P98170', 'Leptin', 'P06493'})"
"frozenset({'Q14164', 'Leptin', 'P41250'})"
"frozenset({'P05023', 'Leptin', 'Q9NQ50'})"
"frozenset({'Leptin', 'P27448', 'Q15831'})"
"frozenset({'P60033', 'Leptin', 'Q15233'})"
"frozenset({'Leptin', 'Q09028', 'Q96GY3'})"
"frozenset({'Q9Y6I7', 'Leptin', 'P52566'})"
"frozenset({'Leptin', 'P53992', 'Q9NZC7'})"
"frozenset({'Leptin', 'Q8TCU4', 'O00444'})"
"frozenset({'Leptin', 'Q99623', 'Q07021'})"
"frozenset({'P06748', 'Leptin', 'P60903'})"
"frozenset({'O95155', 'Leptin', 'P54725'})"
"frozenset({'Q12800', 'Leptin', 'P46379'})"
"frozenset({'Leptin', 'O75390', 'Q9Y4K3'})"
"frozenset({'Q5TC82', 'Leptin', 'Q8WWY3'})"
"frozenset({'Q9UL58', 'Leptin', 'P17040'})"
"frozenset({'P60842', 'Leptin', 'Q16526'})"
"frozenset({'Leptin', 'Q96ST8', 'P40222'})"
"frozenset({'Q99459', 'Leptin', 'Q14160'})"
"frozenset({'Q15910', 'Leptin', 'P04844'})"
"frozenset({'Leptin', 'P55209', 'Q15051'})"
"frozenset({'O95758', 'Leptin', 'Q9NZJ4'})"
"frozenset({'P15090', 'Leptin', 'Q07912'})"
"frozenset({'O14920', 'Leptin', 'P10415'})"
"frozenset({'P20155', 'Leptin', 'Q13387'})"
"frozenset({'Leptin', 'A2A2Y4', 'P48047'})"
"frozenset({'Leptin', 'Q12988', 'O60896'})"
"frozenset({'Q8WZA2', 'Leptin', 'O14924'})"
"frozenset({'Leptin', 'O00472', 'P42568'})"
"frozenset({'Leptin', 'Q8IXM6', 'Q9BRI3'})"
"frozenset({'Q7Z6Z7', 'Leptin', 'P60228'})"
"frozenset({'Leptin', 'P46087', 'Q13148'})"
"frozenset({'P54277', 'Leptin', 'P50750'})"
"frozenset({'Leptin', 'Q14CS0', 'Q04917'})"
"frozenset({'Leptin', 'P53779', 'P29350'})"
"frozenset({'Leptin', 'P16989', 'Q9UPE1'})"
"frozenset({'P29992', 'Leptin', 'P61221'})"
"frozenset({'Leptin', 'Q9H211', 'Q92466'})"
"frozenset({'P07910', 'Leptin', 'P03372'})"
"frozenset({'P15170', 'Leptin', 'P60520'})"
"frozenset({'Leptin', 'Q9BXU8', 'P60410'})"
"frozenset({'Leptin', 'P49589', 'Q86VP6'})"
"frozenset({'P07305', 'Leptin', 'P63104'})"
"frozenset({'P21926', 'P02786', 'Leptin'})"
"frozenset({'Leptin', 'O43242', 'P25788'})"
"frozenset({'Leptin', 'P14314', 'P07237'})"
"frozenset({'Q9Y3S2', 'Leptin', 'Q2I0M5'})"
"frozenset({'Q8IY67', 'O15067', 'Leptin'})"
"frozenset({'Leptin', 'Q10567', 'O75379'})"
"frozenset({'O14777', 'Leptin', 'Q96GD4'})"
"frozenset({'Q6A162', 'Leptin', 'P21964'})"
"frozenset({'Leptin', 'P01116', 'P50151'})"
"frozenset({'Leptin', 'O43422', 'O75410'})"
"frozenset({'P25445', 'P50591', 'Leptin'})"
"frozenset({'Q6UN15', 'Leptin', 'Q12996'})"
"frozenset({'Leptin', 'Q9Y2X8', 'Q9Y6K9'})"
"frozenset({'Leptin', 'P15259', 'P18669'})"
"frozenset({'Leptin', 'Q5VWN6', 'Q9NX04'})"
"frozenset({'Leptin', 'Q5JR59', 'P43361'})"
"frozenset({'Q9NXE8', 'Leptin', 'Q9P2M7'})"
"frozenset({'Q13286', 'Leptin', 'Q9Y2W7'})"
"frozenset({'O43556', 'Leptin', 'Q92629'})"
"frozenset({'Leptin', 'Q9Y4J8', 'Q9BXG8'})"
"frozenset({'Q9NVP2', 'P01024', 'Leptin'})"
"frozenset({'P34931', 'Leptin', 'P62993'})"
"frozenset({'P35268', 'Leptin', 'P11441'})"
"frozenset({'Leptin', 'Q04917', 'O60343'})"
"frozenset({'Q66PJ3', 'Leptin', 'O14641'})"
"frozenset({'P68036', 'Leptin', 'Q9BT67'})"
"frozenset({'Leptin', 'P11142', 'P08238'})"
"frozenset({'Q9ULM6', 'Leptin', 'Q9NZN8'})"
"frozenset({'Q9H2C0', 'Leptin', 'P36578'})"
"frozenset({'Q07325', 'Leptin', 'Q99873'})"
"frozenset({'Q99459', 'Leptin', 'Q13435'})"
"frozenset({'P52294', 'Q13616', 'Leptin'})"
"frozenset({'Leptin', 'P16234', 'P01568'})"
"frozenset({'O95166', 'Leptin', 'O60238'})"
"frozenset({'Leptin', 'Q14432', 'O75534'})"
"frozenset({'Q8TDR2', 'Leptin', 'O00151'})"
"frozenset({'Leptin', 'P17081', 'P85298'})"
"frozenset({'Leptin', 'P0DP25', 'Q9C0B0'})"
"frozenset({'Leptin', 'Q14185', 'Q15744'})"
"frozenset({'Leptin', 'Q9C002', 'Q9Y3D6'})"
"frozenset({'Leptin', 'Q06609', 'P04637'})"
"frozenset({'Leptin', 'P14635', 'O00418'})"
"frozenset({'Leptin', 'Q96AB3', 'P06733'})"
"frozenset({'P62158', 'P16104', 'Leptin'})"
"frozenset({'Q13489', 'Leptin', 'Q5T4S7'})"
"frozenset({'Leptin', 'Q9BRC7', 'P50221'})"
"frozenset({'Leptin', 'O75691', 'Q9Y2X3'})"
"frozenset({'Q99985', 'Leptin', 'P51805'})"
"frozenset({'P17947', 'Leptin', 'P35637'})"
"frozenset({'P0C1H6', 'Leptin', 'Q6FI13'})"
"frozenset({'P54253', 'Leptin', 'P15822'})"
"frozenset({'Q7Z3B4', 'Leptin', 'Q9Y6A5'})"
"frozenset({'Leptin', 'P14921', 'Q06481'})"
"frozenset({'Leptin', 'Q04864', 'Q8IV13'})"
"frozenset({'Leptin', 'O43167', 'P32320'})"
"frozenset({'P55268', 'Leptin', 'Q7L0J3'})"
"frozenset({'Leptin', 'Q96FZ5', 'Q15849'})"
"frozenset({'Leptin', 'Q9BVG8', 'Q9H8Y8'})"
"frozenset({'Leptin', 'O75400', 'Q01081'})"
"frozenset({'Q9Y2H0', 'Q9UD71', 'Leptin'})"
"frozenset({'Leptin', 'Q12906', 'Q13148'})"
"frozenset({'Leptin', 'Q9NZZ3', 'P38606'})"
"frozenset({'Q99626', 'Leptin', 'Q6ZN04'})"
"frozenset({'Leptin', 'P25025', 'P55773'})"
"frozenset({'Leptin', 'Q92576', 'Q13415'})"
"frozenset({'Leptin', 'Q9NZU5', 'Q9UBX2'})"
"frozenset({'P05023', 'Leptin', 'Q9NRC8'})"
"frozenset({'Q96IW7', 'Leptin', 'Q13190'})"
"frozenset({'Leptin', 'Q15370', 'Q6ZVZ8'})"
"frozenset({'Leptin', 'Q9Y5L4', 'Q8IVT5'})"
"frozenset({'Leptin', 'O95147', 'Q8IV20'})"
"frozenset({'Leptin', 'P06239', 'Q05209'})"
"frozenset({'Q9H0U4', 'Leptin', 'Q8NBN7'})"
"frozenset({'Leptin', 'Q9BYC2', 'Q7L0Q8'})"
"frozenset({'Leptin', 'O43175', 'Q8N335'})"
"frozenset({'Leptin', 'Q9HAU0', 'Q7Z3B3'})"
"frozenset({'Leptin', 'Q14677', 'P0DP23'})"
"frozenset({'Q6UUV9', 'Leptin', 'P18848'})"
"frozenset({'Leptin', 'Q13415', 'Q96CS2'})"
"frozenset({'Leptin', 'Q08752', 'Q8TCJ0'})"
"frozenset({'Leptin', 'O15018', 'Q8NFH5'})"
"frozenset({'P25787', 'Q9NPJ6', 'Leptin'})"
"frozenset({'Leptin', 'P24863', 'Q9H944'})"
"frozenset({'Leptin', 'P02649', 'P36776'})"
"frozenset({'Q6P1W5', 'Leptin', 'Q9UMX2'})"
"frozenset({'Q9NPD3', 'Leptin', 'P23396'})"
"frozenset({'Leptin', 'P63000', 'Q13153'})"
"frozenset({'Q16512', 'Leptin', 'O75038'})"
"frozenset({'Leptin', 'Q8N6T7', 'Q9Y265'})"
"frozenset({'Leptin', 'Q15717', 'P31937'})"
"frozenset({'O60502', 'Leptin', 'Q9GZP4'})"
"frozenset({'Leptin', 'P52789', 'P43365'})"
"frozenset({'Leptin', 'Q9H2P0', 'P35226'})"
"frozenset({'Leptin', 'Q9UKB1', 'P51610'})"
"frozenset({'Q9NZQ7', 'Leptin', 'Q9C0E2'})"
"frozenset({'Leptin', 'P05412', 'O60231'})"
"frozenset({'Leptin', 'Q96KM6', 'Q92731'})"
"frozenset({'Leptin', 'Q9Y4E1', 'Q2M389'})"
"frozenset({'Leptin', 'Q14494', 'P49841'})"
"frozenset({'Leptin', 'Q15811', 'Q9UIL1'})"
"frozenset({'O95433', 'Leptin', 'P62851'})"
"frozenset({'Leptin', 'P04629', 'P61221'})"
"frozenset({'Q9BPZ2', 'Q01831', 'Leptin'})"
"frozenset({'Leptin', 'Q15022', 'Q12906'})"
"frozenset({'Leptin', 'P53992', 'Q96RN5'})"
"frozenset({'Leptin', 'Q15738', 'Q86UK5'})"
"frozenset({'O75394', 'Leptin', 'Q8N137'})"
"frozenset({'Leptin', 'O75578', 'P26010'})"
"frozenset({'Leptin', 'O00198', 'Q01094'})"
"frozenset({'Q93052', 'Leptin', 'P48039'})"
"frozenset({'O95817', 'Leptin', 'P09972'})"
"frozenset({'Q96AJ1', 'Leptin', 'O43150'})"
"frozenset({'Leptin', 'Q8TB72', 'Q8WY41'})"
"frozenset({'Leptin', 'Q96QF0', 'Q8IUR0'})"
"frozenset({'Leptin', 'Q96JB5', 'Q9ULE0'})"
"frozenset({'Leptin', 'P25713', 'Q9NYB0'})"
"frozenset({'Leptin', 'P24522', 'P04637'})"
"frozenset({'Leptin', 'P11142', 'Q9BZS1'})"
"frozenset({'Leptin', 'Q70EL2', 'P60660'})"
"frozenset({'P10412', 'Leptin', 'O95819'})"
"frozenset({'Leptin', 'Q8IY92', 'P41743'})"
"frozenset({'P54709', 'P98172', 'Leptin'})"
"frozenset({'P45983', 'Leptin', 'Q8TEQ6'})"
"frozenset({'Leptin', 'Q9BVL2', 'Q9UHD9'})"
"frozenset({'Q9NY93', 'Leptin', 'Q9Y3T9'})"
"frozenset({'Leptin', 'Q6BDS2', 'Q9Y3M2'})"
"frozenset({'Q14151', 'Leptin', 'Q9BXW4'})"
"frozenset({'Q8NGL7', 'Leptin', 'O60262'})"
"frozenset({'Q66K14', 'Leptin', 'Q16635'})"
"frozenset({'Leptin', 'P78509', 'P16144'})"
"frozenset({'Leptin', 'O14641', 'Q8NEV1'})"
"frozenset({'Q13347', 'Leptin', 'P49917'})"
"frozenset({'Leptin', 'Q7Z3S9', 'Q9UKJ5'})"
"frozenset({'Leptin', 'Q2TAY7', 'P46940'})"
"frozenset({'Leptin', 'O94874', 'P61077'})"
"frozenset({'Leptin', 'Q86XE5', 'Q8WW59'})"
"frozenset({'Leptin', 'Q96GD4', 'P33176'})"
"frozenset({'Leptin', 'A8MQ03', 'Q8N7E2'})"
"frozenset({'Leptin', 'P24941', 'P68402'})"
"frozenset({'Q9Y6G3', 'O43390', 'Leptin'})"
"frozenset({'Q14137', 'Q6XYQ8', 'Leptin'})"
"frozenset({'Leptin', 'O15355', 'Q8IY92'})"
"frozenset({'Leptin', 'P20810', 'Q96L46'})"
"frozenset({'Q02750', 'Leptin', 'P32121'})"
"frozenset({'Leptin', 'Q9UER7', 'Q8N680'})"
"frozenset({'P30038', 'Leptin', 'P11766'})"
"frozenset({'Leptin', 'P18206', 'P38606'})"
"frozenset({'O15244', 'Leptin', 'O43820'})"
"frozenset({'P25490', 'Leptin', 'P56524'})"
"frozenset({'Q14457', 'Q9H4I3', 'Leptin'})"
"frozenset({'Leptin', 'P06280', 'Q9NRD1'})"
"frozenset({'Leptin', 'O95793', 'Q14974'})"
"frozenset({'Q53TQ3', 'Leptin', 'P62805'})"
"frozenset({'P16949', 'Leptin', 'Q15019'})"
"frozenset({'Leptin', 'P60370', 'Q02930'})"
"frozenset({'Leptin', 'Q92522', 'P09651'})"
"frozenset({'Leptin', 'P22681', 'P29317'})"
"frozenset({'Q8NGC1', 'Leptin', 'P62873'})"
"frozenset({'Leptin', 'Q93062', 'P32242'})"
"frozenset({'Leptin', 'Q9H492', 'Q92598'})"
"frozenset({'Q9NPJ6', 'Leptin', 'P42356'})"
"frozenset({'Leptin', 'P08581', 'P52797'})"
"frozenset({'Q15758', 'Leptin', 'P02768'})"
"frozenset({'Leptin', 'O43929', 'Q9NRD1'})"
"frozenset({'P22694', 'Leptin', 'Q8NGD5'})"
"frozenset({'Q99460', 'Leptin', 'P54725'})"
"frozenset({'P20309', 'Leptin', 'Q9UBI6'})"
"frozenset({'Q86VZ2', 'Leptin', 'Q9UBL3'})"
"frozenset({'Q08379', 'Leptin', 'Q6P1J9'})"
"frozenset({'P49736', 'Leptin', 'Q71UM5'})"
"frozenset({'Leptin', 'P27482', 'P51636'})"
"frozenset({'Leptin', 'O60563', 'O60885'})"
"frozenset({'Leptin', 'P68431', 'Q8TF76'})"
"frozenset({'Q9HAV4', 'Leptin', 'Q9Y2Q3'})"
"frozenset({'Q12800', 'Leptin', 'Q15562'})"
"frozenset({'Leptin', 'Q05086', 'P27797'})"
"frozenset({'Leptin', 'P62987', 'Q92522'})"
"frozenset({'Q00610', 'Leptin', 'Q99623'})"
"frozenset({'Q9BYG3', 'Q86U38', 'Leptin'})"
"frozenset({'Q9UHB6', 'Leptin', 'Q9HAU0'})"
"frozenset({'Leptin', 'Q9NVM6', 'Q9NWV4'})"
"frozenset({'Q9NVF7', 'Q7Z569', 'Leptin'})"
"frozenset({'Leptin', 'Q9UJY4', 'P61088'})"
"frozenset({'Leptin', 'P62979', 'P68366'})"
"frozenset({'Q00613', 'Leptin', 'P11142'})"
"frozenset({'Leptin', 'O60306', 'Q86SE5'})"
"frozenset({'Leptin', 'P62993', 'O15360'})"
"frozenset({'Q13895', 'Leptin', 'Q969V4'})"
"frozenset({'O00560', 'Leptin', 'Q9HAT0'})"
"frozenset({'Q15717', 'Leptin', 'Q86VN1'})"
"frozenset({'P35268', 'Leptin', 'Q13617'})"
"frozenset({'P61201', 'Leptin', 'Q9BQ90'})"
"frozenset({'Leptin', 'O95793', 'P47897'})"
"frozenset({'Q9UNE7', 'Leptin', 'Q9H2X6'})"
"frozenset({'P27694', 'Leptin', 'Q15024'})"
"frozenset({'O95222', 'Leptin', 'P32121'})"
"frozenset({'Leptin', 'P07900', 'P49327'})"
"frozenset({'Leptin', 'Q9UBB9', 'Q9H257'})"
"frozenset({'Q8WUB8', 'Leptin', 'Q15532'})"
"frozenset({'Q9UNL2', 'Leptin', 'O43542'})"
"frozenset({'Leptin', 'Q9Y6D6', 'Q9BZW8'})"
"frozenset({'Leptin', 'P18146', 'Q13686'})"
"frozenset({'Leptin', 'P61421', 'O14964'})"
"frozenset({'Leptin', 'Q92882', 'P05452'})"
"frozenset({'Leptin', 'P18146', 'Q69YH5'})"
"frozenset({'Leptin', 'O14512', 'P62993'})"
"frozenset({'Leptin', 'P50402', 'Q16623'})"
"frozenset({'O75448', 'Leptin', 'Q9H944'})"
"frozenset({'Leptin', 'Q01201', 'P27708'})"
"frozenset({'Leptin', 'P16520', 'O95467'})"
"frozenset({'Q9NZ45', 'Leptin', 'P61221'})"
"frozenset({'P02545', 'Leptin', 'Q9NRD1'})"
"frozenset({'Leptin', 'Q8IX06', 'Q92997'})"
"frozenset({'Leptin', 'P27348', 'P25963'})"
"frozenset({'Leptin', 'P41250', 'Q9HCU4'})"
"frozenset({'O60262', 'Leptin', 'Q8NHB8'})"
"frozenset({'Leptin', 'P16144', 'P17301'})"
"frozenset({'Q04637', 'Leptin', 'Q9Y4K3'})"
"frozenset({'Leptin', 'O95147', 'Q562F6'})"
"frozenset({'Leptin', 'Q9NY47', 'P36873'})"
"frozenset({'Leptin', 'O75436', 'Q8TCZ2'})"
"frozenset({'Leptin', 'Q8WWM9', 'Q96B97'})"
"frozenset({'Leptin', 'P09874', 'P49916'})"
"frozenset({'O75925', 'Leptin', 'P58012'})"
"frozenset({'Q8N4P3', 'Leptin', 'Q5VSY0'})"
"frozenset({'Leptin', 'P49407', 'P10071'})"
"frozenset({'Leptin', 'P25098', 'Q8NGJ7'})"
"frozenset({'Q15653', 'Leptin', 'Q3ZCQ8'})"
"frozenset({'Leptin', 'Q9UGI6', 'P01106'})"
"frozenset({'Leptin', 'Q12778', 'Q8WXX5'})"
"frozenset({'Q9H5X1', 'Leptin', 'P48200'})"
"frozenset({'Q8NI38', 'Leptin', 'Q04206'})"
"frozenset({'Leptin', 'Q15554', 'Q96H79'})"
"frozenset({'Leptin', 'P09874', 'Q92466'})"
"frozenset({'Leptin', 'Q9Y383', 'Q6PKG0'})"
"frozenset({'O14920', 'Leptin', 'Q13451'})"
"frozenset({'Leptin', 'Q9H8W5', 'P63146'})"
"frozenset({'Leptin', 'P04629', 'P20585'})"
"frozenset({'P27694', 'Leptin', 'Q9HAW4'})"
"frozenset({'P18847', 'Leptin', 'Q10586'})"
"frozenset({'P68104', 'Leptin', 'Q13573'})"
"frozenset({'Leptin', 'Q9BVQ7', 'O14980'})"
"frozenset({'Leptin', 'Q02763', 'Q9NSA1'})"
"frozenset({'Leptin', 'Q5T3J3', 'P54687'})"
"frozenset({'Q13554', 'Q969H6', 'Leptin'})"
"frozenset({'P48729', 'Leptin', 'P10071'})"
"frozenset({'P05455', 'Leptin', 'P61758'})"
"frozenset({'P35658', 'Leptin', 'P37198'})"
"frozenset({'Leptin', 'P09661', 'P17844'})"
"frozenset({'Leptin', 'Q6KC79', 'Q01844'})"
"frozenset({'Leptin', 'Q9UKN8', 'Q9HC52'})"
"frozenset({'Leptin', 'O00555', 'Q92824'})"
"frozenset({'Leptin', 'Q00839', 'Q7L2J0'})"
"frozenset({'Q9P0N5', 'Leptin', 'Q13433'})"
"frozenset({'Leptin', 'Q15008', 'P61289'})"
"frozenset({'Leptin', 'P26373', 'O60216'})"
"frozenset({'O60260', 'Leptin', 'P01876'})"
"frozenset({'Leptin', 'P35221', 'P12830'})"
"frozenset({'Leptin', 'Q9BV73', 'P51955'})"
"frozenset({'Leptin', 'Q6UXN9', 'O15294'})"
"frozenset({'Leptin', 'Q5S007', 'P54105'})"
"frozenset({'Leptin', 'Q96ST3', 'Q12824'})"
"frozenset({'Leptin', 'P08172', 'P30679'})"
"frozenset({'Q16663', 'Leptin', 'P46094'})"
"frozenset({'Q9UNF1', 'Q9Y2X9', 'Leptin'})"
"frozenset({'P23284', 'Leptin', 'Q01860'})"
"frozenset({'Leptin', 'P22234', 'P06493'})"
"frozenset({'Leptin', 'Q8NHQ1', 'Q6P2D0'})"
"frozenset({'Q9BTN0', 'Leptin', 'Q11206'})"
"frozenset({'Leptin', 'Q14134', 'P12830'})"
"frozenset({'Leptin', 'Q2TAC2', 'O75604'})"
"frozenset({'Leptin', 'Q9UQL6', 'Q13263'})"
"frozenset({'P33992', 'Leptin', 'Q6DRA6'})"
"frozenset({'Leptin', 'P06493', 'Q13535'})"
"frozenset({'Q9HCE1', 'Leptin', 'O94919'})"
"frozenset({'Leptin', 'P62244', 'Q6NUN9'})"
"frozenset({'Q92569', 'Leptin', 'P40197'})"
"frozenset({'Leptin', 'P55072', 'Q9H583'})"
"frozenset({'Q96IZ7', 'Leptin', 'Q8N1G4'})"
"frozenset({'Leptin', 'Q9BVJ6', 'Q9Y2I6'})"
"frozenset({'Leptin', 'Q8IYI6', 'Q9Y250'})"
"frozenset({'P35372', 'Leptin', 'P41143'})"
"frozenset({'Leptin', 'P0DP24', 'P43220'})"
"frozenset({'P55809', 'Leptin', 'Q8WUK0'})"
"frozenset({'P28066', 'Leptin', 'P05067'})"
"frozenset({'Leptin', 'Q13393', 'O75787'})"
"frozenset({'Leptin', 'O00459', 'P08138'})"
"frozenset({'Q9H5V9', 'Leptin', 'Q96FW1'})"
"frozenset({'Q92905', 'Leptin', 'Q04837'})"
"frozenset({'P22694', 'Leptin', 'Q99747'})"
"frozenset({'Q96CW1', 'Leptin', 'P17066'})"
"frozenset({'Leptin', 'Q8IXW5', 'P0CAP1'})"
"frozenset({'Leptin', 'P50995', 'Q9NRC8'})"
"frozenset({'Leptin', 'O75530', 'Q00839'})"
"frozenset({'Leptin', 'Q969S9', 'P05412'})"
"frozenset({'Leptin', 'Q9Y2U5', 'Q13164'})"
"frozenset({'Leptin', 'Q15366', 'P27986'})"
"frozenset({'P42345', 'P04198', 'Leptin'})"
"frozenset({'Q14192', 'Leptin', 'O94993'})"
"frozenset({'Leptin', 'Q92831', 'P01106'})"
"frozenset({'Q8NGV5', 'Leptin', 'O60262'})"
"frozenset({'Leptin', 'P14324', 'P37837'})"
"frozenset({'Leptin', 'Q96J02', 'Q8WVE6'})"
"frozenset({'P11274', 'Leptin', 'Q15185'})"
"frozenset({'Q14642', 'Leptin', 'Q96DA0'})"
"frozenset({'Leptin', 'Q8IUR7', 'Q9NP92'})"
"frozenset({'Q14192', 'Leptin', 'P21291'})"
"frozenset({'Leptin', 'P04629', 'Q52LJ0'})"
"frozenset({'Leptin', 'Q15022', 'Q15427'})"
"frozenset({'Leptin', 'O14964', 'P08779'})"
"frozenset({'Q9H8T0', 'Leptin', 'Q9HAU5'})"
"frozenset({'P68036', 'Leptin', 'Q96FW1'})"
"frozenset({'Leptin', 'Q567U6', 'Q96BD5'})"
"frozenset({'Q9Y478', 'Leptin', 'P61088'})"
"frozenset({'Leptin', 'P52435', 'O15160'})"
"frozenset({'Leptin', 'P23760', 'P20226'})"
"frozenset({'P54257', 'Leptin', 'Q5T3J3'})"
"frozenset({'Leptin', 'Q05655', 'P19174'})"
"frozenset({'Q58EX7', 'Leptin', 'Q92734'})"
"frozenset({'Leptin', 'P20823', 'Q9Y6Q9'})"
"frozenset({'Leptin', 'Q9H173', 'Q9Y4K3'})"
"frozenset({'Leptin', 'Q96J02', 'O75791'})"
"frozenset({'Leptin', 'O43426', 'Q07912'})"
"frozenset({'Q70EK8', 'Leptin', 'Q08188'})"
"frozenset({'O60262', 'Leptin', 'A3KFT3'})"
"frozenset({'Q9HCE1', 'Leptin', 'P51572'})"
"frozenset({'Leptin', 'P35609', 'P13533'})"
"frozenset({'Leptin', 'P43115', 'P49770'})"
"frozenset({'Leptin', 'P53680', 'Q16695'})"
"frozenset({'Leptin', 'P05129', 'Q15361'})"
"frozenset({'Leptin', 'Q8NI35', 'Q96L14'})"
"frozenset({'Q15906', 'Leptin', 'P04637'})"
"frozenset({'Leptin', 'P35568', 'O43639'})"
"frozenset({'Q96EZ8', 'Leptin', 'Q8N137'})"
"frozenset({'Leptin', 'Q9H840', 'P35611'})"
"frozenset({'Q9UK80', 'Leptin', 'Q9Y4E8'})"
"frozenset({'Q96AH8', 'P01889', 'Leptin'})"
"frozenset({'Leptin', 'P01023', 'P33260'})"
"frozenset({'Leptin', 'P51665', 'Q9Y4E8'})"
"frozenset({'Leptin', 'Q96TC7', 'P55318'})"
"frozenset({'Leptin', 'Q92558', 'Q5JVL4'})"
"frozenset({'Leptin', 'Q5T3F8', 'Q15646'})"
"frozenset({'Q9UBN7', 'Leptin', 'O95786'})"
"frozenset({'Leptin', 'P00441', 'Q9ULL5'})"
