negatives
"frozenset({'Q9BPW8', 'TSH', 'P41220'})"
"frozenset({'TSH', 'P35626', 'P30954'})"
"frozenset({'TSH', 'P11387', 'P18858'})"
"frozenset({'TSH', 'Q9HB19', 'Q63ZY3'})"
"frozenset({'Q96CS3', 'Q96BY9', 'TSH'})"
"frozenset({'TSH', 'P10827', 'P06733'})"
"frozenset({'Q9NWY4', 'Q13352', 'TSH'})"
"frozenset({'TSH', 'Q9P2M7', 'Q16643'})"
"frozenset({'Q9H9Y6', 'TSH', 'P61927'})"
"frozenset({'Q9UMX5', 'P41219', 'TSH'})"
"frozenset({'TSH', 'Q9BTP6', 'Q9NUX5'})"
"frozenset({'TSH', 'P49773', 'P09104'})"
"frozenset({'O15524', 'P15498', 'TSH'})"
"frozenset({'TSH', 'Q08211', 'P52565'})"
"frozenset({'TSH', 'P29372', 'Q13823'})"
"frozenset({'TSH', 'Q96A35', 'P62280'})"
"frozenset({'TSH', 'Q9Y3Q8', 'P13674'})"
"frozenset({'Q9UKB1', 'P49427', 'TSH'})"
"frozenset({'TSH', 'O15360', 'P06241'})"
"frozenset({'TSH', 'P49736', 'Q14195'})"
"frozenset({'TSH', 'Q04771', 'Q13873'})"
"frozenset({'TSH', 'Q9BY43', 'Q70EL1'})"
"frozenset({'Q8IXW5', 'TSH', 'P18615'})"
"frozenset({'TSH', 'P40692', 'P07355'})"
"frozenset({'P41218', 'Q9BQG0', 'TSH'})"
"frozenset({'TSH', 'P11441', 'Q92945'})"
"frozenset({'TSH', 'P52815', 'P61088'})"
"frozenset({'TSH', 'Q16627', 'P01100'})"
"frozenset({'Q96GM8', 'Q9Y5S9', 'TSH'})"
"frozenset({'TSH', 'P51617', 'P07900'})"
"frozenset({'TSH', 'Q9H1C4', 'P39656'})"
"frozenset({'TSH', 'P22607', 'P01112'})"
"frozenset({'P12956', 'Q92831', 'TSH'})"
"frozenset({'TSH', 'Q12933', 'P62987'})"
"frozenset({'TSH', 'P31749', 'Q05195'})"
"frozenset({'Q13451', 'P31749', 'TSH'})"
"frozenset({'TSH', 'Q9H2A2', 'P10768'})"
"frozenset({'TSH', 'P05783', 'Q9UM73'})"
"frozenset({'TSH', 'Q8TB45', 'Q9UBU9'})"
"frozenset({'TSH', 'P86496', 'O43639'})"
"frozenset({'TSH', 'Q6UXU6', 'Q9NZC7'})"
"frozenset({'TSH', 'Q8NH01', 'P22694'})"
"frozenset({'TSH', 'P78423', 'P32248'})"
"frozenset({'Q13748', 'P17302', 'TSH'})"
"frozenset({'TSH', 'P61247', 'Q14152'})"
"frozenset({'TSH', 'Q00839', 'Q9NV56'})"
"frozenset({'P41223', 'Q01201', 'TSH'})"
"frozenset({'TSH', 'Q9UKX7', 'Q92945'})"
"frozenset({'TSH', 'P30041', 'P04792'})"
"frozenset({'TSH', 'Q6ZUT1', 'Q9NPI7'})"
"frozenset({'P45983', 'P50990', 'TSH'})"
"frozenset({'TSH', 'Q9NV96', 'Q95460'})"
"frozenset({'TSH', 'P20248', 'O75496'})"
"frozenset({'TSH', 'Q96GG9', 'Q96SI9'})"
"frozenset({'TSH', 'Q8IYA8', 'Q8IVS8'})"
"frozenset({'TSH', 'Q8NHQ1', 'Q6P1J9'})"
"frozenset({'TSH', 'O43390', 'P19320'})"
"frozenset({'TSH', 'Q92830', 'Q5VWG9'})"
"frozenset({'TSH', 'O43242', 'Q8N163'})"
"frozenset({'TSH', 'Q8TDY2', 'P15336'})"
"frozenset({'TSH', 'Q9Y2G2', 'P21333'})"
"frozenset({'Q9NZH5', 'P05067', 'TSH'})"
"frozenset({'TSH', 'P52952', 'Q9Y6X2'})"
"frozenset({'TSH', 'P56945', 'P60709'})"
"frozenset({'O95751', 'Q5T619', 'TSH'})"
"frozenset({'TSH', 'O15027', 'Q14677'})"
"frozenset({'TSH', 'Q14721', 'Q96PU5'})"
"frozenset({'Q9H9G7', 'P31689', 'TSH'})"
"frozenset({'TSH', 'P55160', 'Q96F07'})"
"frozenset({'TSH', 'Q07820', 'Q7Z6Z7'})"
"frozenset({'TSH', 'P04406', 'P05412'})"
"frozenset({'TSH', 'P05388', 'Q9H0R8'})"
"frozenset({'Q8IWL3', 'P55789', 'TSH'})"
"frozenset({'P53041', 'Q70EL2', 'TSH'})"
"frozenset({'TSH', 'Q93096', 'Q9NRU3'})"
"frozenset({'TSH', 'Q9Y3L3', 'Q9P2P5'})"
"frozenset({'TSH', 'Q9Y3Q8', 'Q99576'})"
"frozenset({'TSH', 'Q9Y4F3', 'Q9Y2I1'})"
"frozenset({'P17655', 'P27361', 'TSH'})"
"frozenset({'TSH', 'P60033', 'P16403'})"
"frozenset({'TSH', 'Q8NHQ1', 'P25786'})"
"frozenset({'TSH', 'P98196', 'Q9NQX5'})"
"frozenset({'Q13469', 'Q05215', 'TSH'})"
"frozenset({'Q9UKV3', 'P26368', 'TSH'})"
"frozenset({'TSH', 'Q00839', 'Q9Y291'})"
"frozenset({'TSH', 'Q9UDY2', 'Q9GZV5'})"
"frozenset({'P63092', 'P35558', 'TSH'})"
"frozenset({'Q05048', 'Q9H0L4', 'TSH'})"
"frozenset({'TSH', 'P62807', 'Q9Y6X9'})"
"frozenset({'TSH', 'Q9P0N5', 'Q9NZJ5'})"
"frozenset({'Q5R372', 'TSH', 'O15516'})"
"frozenset({'TSH', 'P11387', 'P00519'})"
"frozenset({'TSH', 'Q02539', 'Q8IUE6'})"
"frozenset({'TSH', 'Q5SY16', 'P15880'})"
"frozenset({'TSH', 'O43541', 'O15198'})"
"frozenset({'TSH', 'Q01105', 'P03372'})"
"frozenset({'Q9NRX2', 'P62241', 'TSH'})"
"frozenset({'Q9BXT2', 'P30153', 'TSH'})"
"frozenset({'TSH', 'O95298', 'O96000'})"
"frozenset({'Q86VP6', 'Q9BUN8', 'TSH'})"
"frozenset({'TSH', 'O15027', 'Q99959'})"
"frozenset({'TSH', 'Q9HCE1', 'P51784'})"
"frozenset({'TSH', 'Q9BYV2', 'Q9NQT4'})"
"frozenset({'TSH', 'P38646', 'Q13217'})"
"frozenset({'TSH', 'Q9UL18', 'Q9H6R7'})"
"frozenset({'TSH', 'Q96DA0', 'Q9UHD9'})"
"frozenset({'TSH', 'Q8N6Y0', 'O60941'})"
"frozenset({'P26368', 'Q9UMS4', 'TSH'})"
"frozenset({'TSH', 'P63010', 'Q9H4K1'})"
"frozenset({'Q9H0P0', 'Q8TAA9', 'TSH'})"
"frozenset({'TSH', 'Q9UGY1', 'P46087'})"
"frozenset({'P25205', 'Q9NRD1', 'TSH'})"
"frozenset({'O95257', 'Q99598', 'TSH'})"
"frozenset({'TSH', 'Q96Q27', 'O75369'})"
"frozenset({'TSH', 'Q53EZ4', 'Q16543'})"
"frozenset({'Q5VYK3', 'TSH', 'Q2NL82'})"
"frozenset({'TSH', 'P53350', 'Q17RY0'})"
"frozenset({'TSH', 'Q9NPH3', 'P48736'})"
"frozenset({'P62277', 'P61353', 'TSH'})"
"frozenset({'Q9BPU9', 'P52272', 'TSH'})"
"frozenset({'Q9UBQ5', 'TSH', 'P60709'})"
"frozenset({'Q06787', 'P51116', 'TSH'})"
"frozenset({'TSH', 'Q9UJM3', 'P22681'})"
"frozenset({'TSH', 'Q9BRR9', 'Q9UM73'})"
"frozenset({'TSH', 'P41252', 'Q9P2J5'})"
"frozenset({'TSH', 'P20339', 'Q13671'})"
"frozenset({'TSH', 'Q9NZ81', 'Q9NQC3'})"
"frozenset({'P25686', 'Q8TCJ0', 'TSH'})"
"frozenset({'TSH', 'P30153', 'P62241'})"
"frozenset({'TSH', 'Q14008', 'Q9NRD1'})"
"frozenset({'TSH', 'P08047', 'Q12873'})"
"frozenset({'TSH', 'Q9NRA8', 'Q9Y2I1'})"
"frozenset({'TSH', 'Q16513', 'Q9HC77'})"
"frozenset({'TSH', 'Q9NRA1', 'P08581'})"
"frozenset({'TSH', 'P18859', 'Q9NRP4'})"
"frozenset({'Q969P0', 'Q6Y2X3', 'TSH'})"
"frozenset({'TSH', 'P62701', 'O75147'})"
"frozenset({'TSH', 'Q9NYJ8', 'Q96EP0'})"
"frozenset({'TSH', 'P30153', 'P68104'})"
"frozenset({'TSH', 'Q9NYL2', 'Q96BV0'})"
"frozenset({'TSH', 'P62258', 'Q13322'})"
"frozenset({'P30304', 'P48729', 'TSH'})"
"frozenset({'P0C0S5', 'Q9NQS7', 'TSH'})"
"frozenset({'TSH', 'Q92925', 'Q969G3'})"
"frozenset({'TSH', 'P61019', 'Q9UHX1'})"
"frozenset({'TSH', 'O75044', 'Q9Y3M2'})"
"frozenset({'Q9BXW9', 'O14757', 'TSH'})"
"frozenset({'Q8NBJ4', 'Q13576', 'TSH'})"
"frozenset({'TSH', 'P0DMV8', 'P13612'})"
"frozenset({'TSH', 'O14492', 'P09619'})"
"frozenset({'Q04637', 'O00303', 'TSH'})"
"frozenset({'TSH', 'P36406', 'P08579'})"
"frozenset({'TSH', 'O14788', 'Q9P2H0'})"
"frozenset({'TSH', 'P54105', 'P02751'})"
"frozenset({'Q16666', 'Q8IZH2', 'TSH'})"
"frozenset({'TSH', 'Q8TAE6', 'Q96S82'})"
"frozenset({'P45983', 'P50549', 'TSH'})"
"frozenset({'TSH', 'P08138', 'P49771'})"
"frozenset({'TSH', 'P49116', 'Q13620'})"
"frozenset({'TSH', 'Q5T200', 'Q13503'})"
"frozenset({'P45983', 'Q16621', 'TSH'})"
"frozenset({'TSH', 'P02042', 'P21860'})"
"frozenset({'TSH', 'Q14103', 'Q13617'})"
"frozenset({'Q8WV60', 'P52655', 'TSH'})"
"frozenset({'TSH', 'Q96QD9', 'Q9H2D6'})"
"frozenset({'Q9Y6N6', 'Q496J9', 'TSH'})"
"frozenset({'TSH', 'O15105', 'Q7LFL8'})"
"frozenset({'TSH', 'P63104', 'Q7L576'})"
"frozenset({'Q96BD8', 'O60547', 'TSH'})"
"frozenset({'TSH', 'Q14697', 'P21281'})"
"frozenset({'Q15014', 'Q52LR7', 'TSH'})"
"frozenset({'TSH', 'O60216', 'Q12874'})"
"frozenset({'TSH', 'P10070', 'P17612'})"
"frozenset({'TSH', 'P49759', 'Q8TAX9'})"
"frozenset({'P49411', 'P04406', 'TSH'})"
"frozenset({'TSH', 'Q15257', 'P01106'})"
"frozenset({'TSH', 'P08235', 'Q8N4J0'})"
"frozenset({'TSH', 'P17948', 'P27986'})"
"frozenset({'TSH', 'Q14164', 'P23921'})"
"frozenset({'TSH', 'Q969Q1', 'Q96DC9'})"
"frozenset({'TSH', 'P29372', 'Q9BW19'})"
"frozenset({'TSH', 'P51398', 'Q9Y3D9'})"
"frozenset({'TSH', 'P26651', 'Q7Z4G1'})"
"frozenset({'TSH', 'Q9GZV8', 'Q02535'})"
"frozenset({'TSH', 'Q7L5N1', 'Q6PI47'})"
"frozenset({'O96001', 'P67775', 'TSH'})"
"frozenset({'P42336', 'P09769', 'TSH'})"
"frozenset({'TSH', 'Q03060', 'Q96PD4'})"
"frozenset({'TSH', 'P48960', 'Q5T3F8'})"
"frozenset({'TSH', 'Q96L73', 'P11473'})"
"frozenset({'TSH', 'Q14188', 'O75182'})"
"frozenset({'TSH', 'Q13310', 'Q58A45'})"
"frozenset({'Q9NP66', 'Q6W2J9', 'TSH'})"
"frozenset({'TSH', 'Q495W5', 'Q8WZ79'})"
"frozenset({'Q9H492', 'Q00839', 'TSH'})"
"frozenset({'Q8WZ74', 'O43815', 'TSH'})"
"frozenset({'TSH', 'Q8TD17', 'Q96CV9'})"
"frozenset({'Q86VP6', 'Q8IUH3', 'TSH'})"
"frozenset({'Q15831', 'Q9NRH2', 'TSH'})"
"frozenset({'TSH', 'Q13148', 'Q9Y5Y2'})"
"frozenset({'TSH', 'Q9UKV8', 'Q9BYJ9'})"
"frozenset({'Q9H6H4', 'TSH', 'P31947'})"
"frozenset({'TSH', 'O14893', 'Q86VU5'})"
"frozenset({'Q16666', 'O60832', 'TSH'})"
"frozenset({'TSH', 'P01019', 'O75787'})"
"frozenset({'TSH', 'Q6NX45', 'Q9BUH8'})"
"frozenset({'TSH', 'O95813', 'P56703'})"
"frozenset({'TSH', 'P35680', 'Q92793'})"
"frozenset({'P49407', 'A6NIJ9', 'TSH'})"
"frozenset({'TSH', 'P01570', 'Q92985'})"
"frozenset({'TSH', 'Q9HC73', 'P29597'})"
"frozenset({'TSH', 'P01024', 'P01031'})"
"frozenset({'TSH', 'P63279', 'P56645'})"
"frozenset({'TSH', 'Q13427', 'Q9UL42'})"
"frozenset({'TSH', 'P0C0S8', 'Q14134'})"
"frozenset({'TSH', 'Q13516', 'P56645'})"
"frozenset({'TSH', 'P08651', 'P08123'})"
"frozenset({'TSH', 'P12532', 'Q14164'})"
"frozenset({'TSH', 'Q86V81', 'P38919'})"
"frozenset({'TSH', 'Q6B0B8', 'Q9UL41'})"
"frozenset({'Q6ZU80', 'Q8TCU4', 'TSH'})"
"frozenset({'TSH', 'Q13233', 'P62906'})"
"frozenset({'TSH', 'P60900', 'P55036'})"
"frozenset({'TSH', 'O43542', 'O75937'})"
"frozenset({'TSH', 'O15144', 'Q9NQX4'})"
"frozenset({'Q9Y4E8', 'Q9Y577', 'TSH'})"
"frozenset({'O00159', 'P32121', 'TSH'})"
"frozenset({'Q8TEJ3', 'TSH', 'Q5VZ89'})"
"frozenset({'TSH', 'P19338', 'P19320'})"
"frozenset({'TSH', 'Q9NRM7', 'Q9Y2I6'})"
"frozenset({'P63261', 'TSH', 'P60709'})"
"frozenset({'TSH', 'P42858', 'P61981'})"
"frozenset({'TSH', 'P63000', 'P68431'})"
"frozenset({'TSH', 'P04843', 'P01106'})"
"frozenset({'TSH', 'P06753', 'O60739'})"
"frozenset({'TSH', 'Q92793', 'P27361'})"
"frozenset({'TSH', 'Q96KE9', 'P34897'})"
"frozenset({'TSH', 'O75643', 'P61018'})"
"frozenset({'O60266', 'Q9HBU9', 'TSH'})"
"frozenset({'TSH', 'Q9NTK5', 'P35232'})"
"frozenset({'TSH', 'Q96RD0', 'P22612'})"
"frozenset({'TSH', 'P55273', 'Q4VC12'})"
"frozenset({'TSH', 'P22694', 'Q8NGH8'})"
"frozenset({'Q9HD43', 'P49366', 'TSH'})"
"frozenset({'TSH', 'Q9Y6W5', 'P59998'})"
"frozenset({'TSH', 'P57086', 'A6NH52'})"
"frozenset({'TSH', 'P09234', 'Q9Y5V3'})"
"frozenset({'TSH', 'Q8WXI4', 'Q9UIF3'})"
"frozenset({'TSH', 'Q5SVZ6', 'Q5TD97'})"
"frozenset({'TSH', 'Q8N960', 'Q9H3U1'})"
"frozenset({'P49959', 'TSH', 'P18858'})"
"frozenset({'TSH', 'Q96HE9', 'Q12926'})"
"frozenset({'Q1KMD3', 'Q5U5Q3', 'TSH'})"
"frozenset({'TSH', 'O43303', 'Q9Y2I6'})"
"frozenset({'TSH', 'Q8IXM3', 'Q9BYV6'})"
"frozenset({'Q9UJC3', 'O60296', 'TSH'})"
"frozenset({'Q8TBB1', 'TSH', 'Q9BYR5'})"
"frozenset({'TSH', 'O43291', 'Q9BSJ2'})"
"frozenset({'TSH', 'Q7Z6Z7', 'P61978'})"
"frozenset({'TSH', 'P19338', 'P62847'})"
"frozenset({'TSH', 'P49790', 'Q69YH5'})"
"frozenset({'TSH', 'O75674', 'O14964'})"
"frozenset({'TSH', 'P05067', 'Q9BY44'})"
"frozenset({'TSH', 'P51114', 'P20248'})"
"frozenset({'Q16531', 'P35244', 'TSH'})"
"frozenset({'TSH', 'Q969H0', 'P04217'})"
"frozenset({'TSH', 'O75592', 'Q92858'})"
"frozenset({'TSH', 'Q9BRK5', 'Q9BY89'})"
"frozenset({'TSH', 'P56880', 'P56856'})"
"frozenset({'TSH', 'Q9H7Z6', 'Q15291'})"
"frozenset({'TSH', 'Q9UBC0', 'P04150'})"
"frozenset({'TSH', 'O94875', 'P32969'})"
"frozenset({'TSH', 'Q6PJF5', 'Q15884'})"
"frozenset({'Q96IJ6', 'O95166', 'TSH'})"
"frozenset({'TSH', 'Q00839', 'Q13151'})"
"frozenset({'TSH', 'Q9P267', 'Q01581'})"
"frozenset({'P35222', 'TSH', 'Q15691'})"
"frozenset({'TSH', 'P62195', 'P19447'})"
"frozenset({'TSH', 'P05388', 'P60520'})"
"frozenset({'TSH', 'P19320', 'Q16698'})"
"frozenset({'TSH', 'Q8TBN0', 'Q4VCS5'})"
"frozenset({'TSH', 'P35249', 'P11802'})"
"frozenset({'TSH', 'Q5MJ09', 'Q02446'})"
"frozenset({'TSH', 'O75400', 'P56730'})"
"frozenset({'P61218', 'Q5T6S3', 'TSH'})"
"frozenset({'P42771', 'Q13535', 'TSH'})"
"frozenset({'TSH', 'Q15293', 'O76003'})"
"frozenset({'TSH', 'Q8IV03', 'Q8N5M1'})"
"frozenset({'TSH', 'Q9UI38', 'Q9NVN8'})"
"frozenset({'TSH', 'Q8N201', 'P43631'})"
"frozenset({'TSH', 'P62857', 'P68431'})"
"frozenset({'TSH', 'Q9Y320', 'P54253'})"
"frozenset({'TSH', 'P11171', 'P22061'})"
"frozenset({'TSH', 'Q96L21', 'P35268'})"
"frozenset({'TSH', 'Q68CZ1', 'Q9H0H5'})"
"frozenset({'P28065', 'P04279', 'TSH'})"
"frozenset({'TSH', 'O43639', 'Q6ZRV2'})"
"frozenset({'P46379', 'Q07002', 'TSH'})"
"frozenset({'TSH', 'Q13554', 'O60840'})"
"frozenset({'TSH', 'P26641', 'O43261'})"
"frozenset({'TSH', 'Q8NHV4', 'P15880'})"
"frozenset({'TSH', 'Q8N0S2', 'Q96MY7'})"
"frozenset({'P31946', 'Q9H257', 'TSH'})"
"frozenset({'TSH', 'P28715', 'Q13501'})"
"frozenset({'TSH', 'P63279', 'Q9BZK7'})"
"frozenset({'O43237', 'Q14204', 'TSH'})"
"frozenset({'O75376', 'P12757', 'TSH'})"
"frozenset({'TSH', 'P62249', 'Q9UBX2'})"
"frozenset({'TSH', 'P17542', 'Q92769'})"
"frozenset({'TSH', 'P09429', 'P17947'})"
"frozenset({'TSH', 'P17252', 'P35579'})"
"frozenset({'TSH', 'P51449', 'P35398'})"
"frozenset({'P35222', 'Q13526', 'TSH'})"
"frozenset({'TSH', 'P25440', 'Q01094'})"
"frozenset({'Q6ZU80', 'Q9UBT7', 'TSH'})"
"frozenset({'TSH', 'Q15750', 'Q15759'})"
"frozenset({'Q8N831', 'TSH', 'Q3LI66'})"
"frozenset({'Q15653', 'P52272', 'TSH'})"
"frozenset({'TSH', 'Q9NS91', 'Q6P1M3'})"
"frozenset({'TSH', 'Q96R45', 'P32121'})"
"frozenset({'TSH', 'P19447', 'P58340'})"
"frozenset({'TSH', 'P63215', 'Q5UE93'})"
"frozenset({'TSH', 'Q9UKJ3', 'Q8WUU5'})"
"frozenset({'TSH', 'Q99700', 'Q13772'})"
"frozenset({'TSH', 'Q5JU00', 'Q15723'})"
"frozenset({'P62487', 'Q9BUE0', 'TSH'})"
"frozenset({'TSH', 'P60228', 'Q8IY42'})"
"frozenset({'TSH', 'P40306', 'P50222'})"
"frozenset({'TSH', 'P63096', 'P35558'})"
"frozenset({'TSH', 'P59665', 'Q9UHD9'})"
"frozenset({'TSH', 'P63279', 'O00567'})"
"frozenset({'TSH', 'P16435', 'O60568'})"
"frozenset({'Q9UG63', 'TSH', 'P40939'})"
"frozenset({'TSH', 'Q86T82', 'P21675'})"
"frozenset({'TSH', 'Q5TB80', 'Q12899'})"
"frozenset({'TSH', 'Q9GZR7', 'Q13601'})"
"frozenset({'TSH', 'P15336', 'O94925'})"
"frozenset({'TSH', 'P49756', 'Q99986'})"
"frozenset({'TSH', 'Q9UKV8', 'Q71UM5'})"
"frozenset({'TSH', 'Q96B97', 'P06733'})"
"frozenset({'TSH', 'Q15008', 'P25788'})"
"frozenset({'TSH', 'P19338', 'Q9H0R8'})"
"frozenset({'TSH', 'Q71SY5', 'Q9BVN2'})"
"frozenset({'Q8WYQ3', 'P09669', 'TSH'})"
"frozenset({'TSH', 'O43670', 'Q05519'})"
"frozenset({'TSH', 'P22694', 'Q8NGJ6'})"
"frozenset({'TSH', 'Q9UDY2', 'Q9H6Y5'})"
"frozenset({'TSH', 'P04216', 'P09234'})"
"frozenset({'TSH', 'Q9UQL6', 'O15294'})"
"frozenset({'TSH', 'Q13454', 'Q8TCJ2'})"
"frozenset({'TSH', 'Q9Y297', 'Q8IXJ6'})"
"frozenset({'TSH', 'P38405', 'A6NDL8'})"
"frozenset({'TSH', 'Q86WV6', 'Q9P2H5'})"
"frozenset({'Q99832', 'P04637', 'TSH'})"
"frozenset({'TSH', 'P27482', 'P09651'})"
"frozenset({'P46934', 'Q00688', 'TSH'})"
"frozenset({'TSH', 'Q01581', 'Q15078'})"
"frozenset({'P01111', 'P16520', 'TSH'})"
"frozenset({'TSH', 'P11940', 'P62495'})"
"frozenset({'TSH', 'P35626', 'Q8NGT0'})"
"frozenset({'TSH', 'Q9UN30', 'Q8IXK0'})"
"frozenset({'TSH', 'P41279', 'P58107'})"
"frozenset({'TSH', 'Q15427', 'P15880'})"
"frozenset({'TSH', 'Q96KR1', 'Q9BRG1'})"
"frozenset({'TSH', 'Q9Y6M9', 'Q13421'})"
"frozenset({'TSH', 'P62847', 'P05141'})"
"frozenset({'TSH', 'P35244', 'P22087'})"
"frozenset({'TSH', 'Q8TD16', 'P01106'})"
"frozenset({'TSH', 'P01912', 'P11836'})"
"frozenset({'TSH', 'Q9Y4K3', 'P33993'})"
"frozenset({'TSH', 'Q99612', 'P22087'})"
"frozenset({'TSH', 'O75298', 'O15287'})"
"frozenset({'TSH', 'O15259', 'Q9Y5X1'})"
"frozenset({'TSH', 'Q16513', 'P30305'})"
"frozenset({'TSH', 'O60828', 'O43819'})"
"frozenset({'TSH', 'Q9P260', 'Q9UKG1'})"
"frozenset({'Q9NYQ7', 'Q9UJ04', 'TSH'})"
"frozenset({'TSH', 'P10242', 'P61964'})"
"frozenset({'TSH', 'P48668', 'P22681'})"
"frozenset({'TSH', 'O95644', 'O96019'})"
"frozenset({'P11217', 'Q8NFD5', 'TSH'})"
"frozenset({'TSH', 'P55036', 'Q96EK5'})"
"frozenset({'TSH', 'Q9P0N5', 'O75886'})"
"frozenset({'Q5T3J3', 'P05109', 'TSH'})"
"frozenset({'TSH', 'P28702', 'Q92769'})"
"frozenset({'Q5VTQ0', 'P49736', 'TSH'})"
"frozenset({'TSH', 'P27361', 'Q8IYT8'})"
"frozenset({'TSH', 'P48047', 'Q12849'})"
"frozenset({'TSH', 'Q9H334', 'Q02548'})"
"frozenset({'TSH', 'Q9Y2X8', 'Q9BWX1'})"
"frozenset({'TSH', 'Q9Y2K6', 'Q9UBC5'})"
"frozenset({'P62256', 'O00237', 'TSH'})"
"frozenset({'TSH', 'P02647', 'O94854'})"
"frozenset({'P53041', 'Q9Y2L1', 'TSH'})"
"frozenset({'TSH', 'O14727', 'Q8N8Q3'})"
"frozenset({'TSH', 'Q8IWV7', 'P01100'})"
"frozenset({'TSH', 'Q8IY92', 'P62380'})"
"frozenset({'TSH', 'P09493', 'Q96A19'})"
"frozenset({'TSH', 'P60903', 'P21333'})"
"frozenset({'Q96GM8', 'TSH', 'Q9Y4Z0'})"
"frozenset({'TSH', 'P05129', 'P01100'})"
"frozenset({'Q15746', 'TSH', 'P22612'})"
"frozenset({'TSH', 'O14980', 'Q5SW79'})"
"frozenset({'TSH', 'O95707', 'Q969H6'})"
"frozenset({'TSH', 'O95470', 'O14949'})"
"frozenset({'TSH', 'Q13490', 'O15392'})"
"frozenset({'TSH', 'Q92569', 'P16591'})"
"frozenset({'TSH', 'Q6NYC8', 'O75558'})"
"frozenset({'TSH', 'P60520', 'Q06830'})"
"frozenset({'Q00005', 'O95166', 'TSH'})"
"frozenset({'TSH', 'Q5VV67', 'Q16656'})"
"frozenset({'TSH', 'P52945', 'P22612'})"
"frozenset({'TSH', 'P54198', 'Q14814'})"
"frozenset({'TSH', 'Q9Y4K3', 'P52907'})"
"frozenset({'P11586', 'Q9UMX0', 'TSH'})"
"frozenset({'P13693', 'P49917', 'TSH'})"
"frozenset({'TSH', 'P49454', 'Q14999'})"
"frozenset({'TSH', 'Q9P0J0', 'O95169'})"
"frozenset({'TSH', 'Q9UQL6', 'O00303'})"
"frozenset({'TSH', 'Q00872', 'P20807'})"
"frozenset({'TSH', 'P04629', 'Q6PCB5'})"
"frozenset({'TSH', 'P13010', 'P78362'})"
"frozenset({'TSH', 'P17612', 'O60359'})"
"frozenset({'TSH', 'Q92569', 'P43405'})"
"frozenset({'TSH', 'Q6IBW4', 'Q9BPX3'})"
"frozenset({'TSH', 'O95793', 'Q08211'})"
"frozenset({'TSH', 'Q15067', 'Q2T9J0'})"
"frozenset({'TSH', 'Q6XZF7', 'Q9NYZ3'})"
"frozenset({'TSH', 'P24666', 'P30050'})"
"frozenset({'Q14980', 'Q6P1J9', 'TSH'})"
"frozenset({'TSH', 'P26012', 'P60709'})"
"frozenset({'TSH', 'P20333', 'P07910'})"
"frozenset({'TSH', 'P08238', 'P29084'})"
"frozenset({'TSH', 'Q99633', 'Q92764'})"
"frozenset({'P17655', 'P17612', 'TSH'})"
"frozenset({'TSH', 'Q9Y3C7', 'O60244'})"
"frozenset({'TSH', 'P62312', 'O00560'})"
"frozenset({'TSH', 'Q9NQL9', 'Q99471'})"
"frozenset({'TSH', 'Q96K37', 'Q9NUQ8'})"
"frozenset({'TSH', 'Q2KHR3', 'P48431'})"
"frozenset({'TSH', 'Q9UNF1', 'P53396'})"
"frozenset({'TSH', 'P32121', 'Q8N349'})"
"frozenset({'TSH', 'P31273', 'Q07687'})"
"frozenset({'TSH', 'O60729', 'P20618'})"
"frozenset({'TSH', 'O15111', 'Q9Y6Q9'})"
"frozenset({'Q15286', 'P05067', 'TSH'})"
"frozenset({'O43504', 'TSH', 'Q9Y2Q5'})"
"frozenset({'TSH', 'P28482', 'Q9NZ72'})"
"frozenset({'Q9BPU9', 'TSH', 'Q9UK61'})"
"frozenset({'TSH', 'Q9Y2W7', 'Q8N6Q3'})"
"frozenset({'Q8NF91', 'Q8IVT5', 'TSH'})"
"frozenset({'TSH', 'O43805', 'Q8N8B7'})"
"frozenset({'Q06330', 'Q96JM7', 'TSH'})"
"frozenset({'P63244', 'Q9UM73', 'TSH'})"
"frozenset({'TSH', 'P19320', 'Q9Y230'})"
"frozenset({'TSH', 'Q14318', 'P07900'})"
"frozenset({'TSH', 'P11309', 'Q99683'})"
"frozenset({'P01111', 'P22607', 'TSH'})"
"frozenset({'TSH', 'Q9BUE0', 'Q9Y3C7'})"
"frozenset({'TSH', 'Q13573', 'Q9UKK3'})"
"frozenset({'TSH', 'P35637', 'P62993'})"
"frozenset({'P46379', 'P62495', 'TSH'})"
"frozenset({'TSH', 'Q9NQX4', 'Q69YQ0'})"
"frozenset({'TSH', 'P55735', 'P11274'})"
"frozenset({'TSH', 'P35998', 'P10636'})"
"frozenset({'TSH', 'P31751', 'Q53ET0'})"
"frozenset({'Q06124', 'O95866', 'TSH'})"
"frozenset({'TSH', 'P11388', 'P46087'})"
"frozenset({'TSH', 'O00399', 'P53350'})"
"frozenset({'TSH', 'Q6P5Z2', 'Q53HC9'})"
"frozenset({'TSH', 'O96028', 'Q08378'})"
"frozenset({'TSH', 'P47893', 'P38405'})"
"frozenset({'TSH', 'Q9H6S3', 'P12830'})"
"frozenset({'TSH', 'Q9UQR1', 'Q15323'})"
"frozenset({'O14817', 'P21926', 'TSH'})"
"frozenset({'TSH', 'Q9Y4W6', 'Q9H944'})"
"frozenset({'TSH', 'O00472', 'Q6PD62'})"
"frozenset({'TSH', 'P86479', 'P78337'})"
"frozenset({'TSH', 'O00625', 'Q96AE4'})"
"frozenset({'TSH', 'O14980', 'Q5D1E8'})"
