negatives
"frozenset({'Q9UKB1', 'Q14671', 'Wnt'})"
"frozenset({'Wnt', 'Q14541', 'Q9UJW3'})"
"frozenset({'Wnt', 'Q00610', 'P10721'})"
"frozenset({'Q92499', 'P61978', 'Wnt'})"
"frozenset({'P69891', 'P19320', 'Wnt'})"
"frozenset({'Wnt', 'P55854', 'P38936'})"
"frozenset({'Q9Y580', 'A6NC98', 'Wnt'})"
"frozenset({'P60520', 'Wnt', 'Q01546'})"
"frozenset({'P38405', 'Wnt', 'Q8NGY2'})"
"frozenset({'Wnt', 'Q14192', 'P05814'})"
"frozenset({'Wnt', 'Q13671', 'Q58EX7'})"
"frozenset({'Q6V1X1', 'Wnt', 'Q96I24'})"
"frozenset({'A4D0S4', 'Wnt', 'P05106'})"
"frozenset({'Q9Y3C5', 'P55036', 'Wnt'})"
"frozenset({'Wnt', 'Q13177', 'Q14697'})"
"frozenset({'P40424', 'Q15717', 'Wnt'})"
"frozenset({'P47755', 'Wnt', 'Q00610'})"
"frozenset({'Wnt', 'Q00610', 'Q96NT0'})"
"frozenset({'P01106', 'Wnt', 'Q9NUB1'})"
"frozenset({'O14964', 'Wnt', 'Q9BUB5'})"
"frozenset({'Wnt', 'Q00534', 'Q8IZP0'})"
"frozenset({'Q8TF76', 'Wnt', 'O75031'})"
"frozenset({'Wnt', 'Q9UDY2', 'Q00534'})"
"frozenset({'P01563', 'Wnt', 'P08887'})"
"frozenset({'P21580', 'Wnt', 'Q9H4A3'})"
"frozenset({'Q9UJ41', 'Q9UL26', 'Wnt'})"
"frozenset({'Q01167', 'Wnt', 'P03372'})"
"frozenset({'O60506', 'O95793', 'Wnt'})"
"frozenset({'Q96AP7', 'Wnt', 'O95832'})"
"frozenset({'P01730', 'Wnt', 'P06729'})"
"frozenset({'Q13523', 'Wnt', 'P19419'})"
"frozenset({'P12814', 'Q969P0', 'Wnt'})"
"frozenset({'O75376', 'Wnt', 'O43847'})"
"frozenset({'P35222', 'O14745', 'Wnt'})"
"frozenset({'O14548', 'Wnt', 'O43181'})"
"frozenset({'Wnt', 'P01024', 'P41235'})"
"frozenset({'Q04917', 'Wnt', 'Q9H0B6'})"
"frozenset({'Wnt', 'Q8NEB9', 'Q9NQC1'})"
"frozenset({'Wnt', 'Q86WV1', 'Q96N67'})"
"frozenset({'Q96LL9', 'Wnt', 'P05067'})"
"frozenset({'Q99496', 'Q9Y5B9', 'Wnt'})"
"frozenset({'Wnt', 'P05423', 'P0DPB5'})"
"frozenset({'O75467', 'Wnt', 'Q9UBU9'})"
"frozenset({'P35270', 'Wnt', 'O15355'})"
"frozenset({'Wnt', 'P49116', 'P08238'})"
"frozenset({'P00519', 'Wnt', 'P56945'})"
"frozenset({'Q9HCC0', 'Wnt', 'O00308'})"
"frozenset({'Q8IVT5', 'Wnt', 'Q9NRX1'})"
"frozenset({'Wnt', 'P24863', 'Q9H944'})"
"frozenset({'Q8TBZ3', 'Q9UN19', 'Wnt'})"
"frozenset({'Wnt', 'Q13177', 'O14562'})"
"frozenset({'Q86YD5', 'Wnt', 'Q9UBU9'})"
"frozenset({'O75607', 'P26641', 'Wnt'})"
"frozenset({'O95155', 'Q9UNE7', 'Wnt'})"
"frozenset({'O60831', 'Wnt', 'Q9NQC3'})"
"frozenset({'P54577', 'Wnt', 'P09012'})"
"frozenset({'Wnt', 'Q15459', 'Q01081'})"
"frozenset({'P60981', 'Wnt', 'O00159'})"
"frozenset({'Wnt', 'P58753', 'Q9NYJ8'})"
"frozenset({'Q8IXI2', 'Wnt', 'Q6UXV4'})"
"frozenset({'O15212', 'O75170', 'Wnt'})"
"frozenset({'O75319', 'Wnt', 'Q96FV9'})"
"frozenset({'Wnt', 'Q8N6T7', 'Q15029'})"
"frozenset({'P59998', 'Wnt', 'Q92614'})"
"frozenset({'P14618', 'Wnt', 'Q9NRD1'})"
"frozenset({'Q03014', 'Wnt', 'P60370'})"
"frozenset({'Q00839', 'Wnt', 'P38919'})"
"frozenset({'Q14683', 'Wnt', 'Q13573'})"
"frozenset({'Wnt', 'Q9Y675', 'Q15369'})"
"frozenset({'Wnt', 'P60568', 'P40238'})"
"frozenset({'Wnt', 'P55795', 'Q9P217'})"
"frozenset({'P43355', 'P43362', 'Wnt'})"
"frozenset({'Q9H469', 'Wnt', 'Q9H0M0'})"
"frozenset({'P36542', 'Q8WYQ3', 'Wnt'})"
"frozenset({'P20073', 'Wnt', 'O14576'})"
"frozenset({'Wnt', 'Q3MII6', 'O95166'})"
"frozenset({'Q5JR59', 'Q53FD0', 'Wnt'})"
"frozenset({'Q13625', 'P61968', 'Wnt'})"
"frozenset({'Q3B820', 'Q8N1B4', 'Wnt'})"
"frozenset({'Wnt', 'P58340', 'P33993'})"
"frozenset({'Wnt', 'P28702', 'Q9NPJ6'})"
"frozenset({'P51668', 'Wnt', 'Q96CA5'})"
"frozenset({'Wnt', 'O15151', 'O14757'})"
"frozenset({'Q4U2R6', 'P62269', 'Wnt'})"
"frozenset({'Q9H190', 'Wnt', 'Q15696'})"
"frozenset({'Wnt', 'Q9HCH0', 'O15516'})"
"frozenset({'Wnt', 'Q14653', 'O60603'})"
"frozenset({'P28702', 'Q92793', 'Wnt'})"
"frozenset({'O60870', 'Q9BUU2', 'Wnt'})"
"frozenset({'Wnt', 'P08238', 'P07948'})"
"frozenset({'Wnt', 'Q14197', 'O75955'})"
"frozenset({'P30405', 'Wnt', 'P36543'})"
"frozenset({'Q8NHU6', 'P24385', 'Wnt'})"
"frozenset({'Q06330', 'Q6SPF0', 'Wnt'})"
"frozenset({'Wnt', 'O43559', 'Q6UY14'})"
"frozenset({'P67775', 'Q86XL3', 'Wnt'})"
"frozenset({'Q9NR12', 'Q8IYB1', 'Wnt'})"
"frozenset({'Q13546', 'P62987', 'Wnt'})"
"frozenset({'P14416', 'Wnt', 'Q15172'})"
"frozenset({'P34931', 'Wnt', 'Q99759'})"
"frozenset({'Wnt', 'Q86Y13', 'O00327'})"
"frozenset({'Wnt', 'Q96PU8', 'P08910'})"
"frozenset({'O00560', 'Wnt', 'P07910'})"
"frozenset({'Wnt', 'P07814', 'P47897'})"
"frozenset({'Q5TC79', 'Wnt', 'Q9BZS1'})"
"frozenset({'P61962', 'Q8N8S7', 'Wnt'})"
"frozenset({'Wnt', 'Q00610', 'P48729'})"
"frozenset({'Q99747', 'Q9UNK0', 'Wnt'})"
"frozenset({'Q8IYS1', 'P53370', 'Wnt'})"
"frozenset({'P16949', 'Wnt', 'P15408'})"
"frozenset({'P63172', 'Wnt', 'Q13620'})"
"frozenset({'A8K8V0', 'O95273', 'Wnt'})"
"frozenset({'P49418', 'Wnt', 'Q16854'})"
"frozenset({'P27361', 'Q96Q27', 'Wnt'})"
"frozenset({'O95467', 'P47900', 'Wnt'})"
"frozenset({'O15116', 'Q9H270', 'Wnt'})"
"frozenset({'Q49A88', 'P06493', 'Wnt'})"
"frozenset({'P01889', 'Wnt', 'Q15118'})"
"frozenset({'Q14CB8', 'Wnt', 'P00439'})"
"frozenset({'P48634', 'O43639', 'Wnt'})"
"frozenset({'Q9H4A9', 'Wnt', 'Q8NBL1'})"
"frozenset({'P61006', 'Wnt', 'Q6P1J9'})"
"frozenset({'Q6ZU80', 'Wnt', 'Q2M1P5'})"
"frozenset({'Wnt', 'P62837', 'Q96CA5'})"
"frozenset({'Wnt', 'Q16762', 'P09012'})"
"frozenset({'O95429', 'Wnt', 'Q13616'})"
"frozenset({'Wnt', 'P57078', 'P46379'})"
"frozenset({'Wnt', 'Q8N0U7', 'P05067'})"
"frozenset({'Wnt', 'Q02539', 'P06748'})"
"frozenset({'Wnt', 'Q9NRD5', 'Q93009'})"
"frozenset({'Q14093', 'Wnt', 'P40692'})"
"frozenset({'O43639', 'Wnt', 'Q9NQC3'})"
"frozenset({'P25705', 'Wnt', 'Q5TC82'})"
"frozenset({'Q6T4R5', 'P13569', 'Wnt'})"
"frozenset({'Q13237', 'Q15746', 'Wnt'})"
"frozenset({'Q969N2', 'Wnt', 'P04629'})"
"frozenset({'P19367', 'Wnt', 'P17655'})"
"frozenset({'P02795', 'O43504', 'Wnt'})"
"frozenset({'Q9BX66', 'Wnt', 'P09131'})"
"frozenset({'P46060', 'O00410', 'Wnt'})"
"frozenset({'Q6R327', 'Wnt', 'P42345'})"
"frozenset({'Wnt', 'P17844', 'P25788'})"
"frozenset({'Q9Y5W5', 'Wnt', 'P60369'})"
"frozenset({'Wnt', 'Q96FW1', 'Q9H1Y0'})"
"frozenset({'P09341', 'P46094', 'Wnt'})"
"frozenset({'Q86YD1', 'Wnt', 'P62753'})"
"frozenset({'Q9H0U4', 'Wnt', 'Q9H082'})"
"frozenset({'P01568', 'Wnt', 'Q14626'})"
"frozenset({'Wnt', 'P62424', 'P62906'})"
"frozenset({'Wnt', 'P56199', 'P24043'})"
"frozenset({'Wnt', 'Q8IYX7', 'Q9UJX0'})"
"frozenset({'O75439', 'A1L188', 'Wnt'})"
"frozenset({'Q9Y6E7', 'Q9UJZ1', 'Wnt'})"
"frozenset({'Wnt', 'Q5SRE5', 'Q99567'})"
"frozenset({'P15173', 'Wnt', 'Q6QHK4'})"
"frozenset({'Wnt', 'Q13569', 'P43699'})"
"frozenset({'Wnt', 'Q9BYG4', 'O60477'})"
"frozenset({'Wnt', 'Q5TGY3', 'Q9BQF6'})"
"frozenset({'Q6R327', 'O15111', 'Wnt'})"
"frozenset({'O75038', 'Wnt', 'O94806'})"
"frozenset({'O95813', 'Wnt', 'P56706'})"
"frozenset({'Q96B26', 'P15927', 'Wnt'})"
"frozenset({'Wnt', 'Q9UI26', 'Q14145'})"
"frozenset({'P46781', 'Wnt', 'Q9BRP8'})"
"frozenset({'O76011', 'Wnt', 'Q2WGJ6'})"
"frozenset({'P00338', 'Wnt', 'P84077'})"
"frozenset({'Wnt', 'P51858', 'P62280'})"
"frozenset({'Wnt', 'Q9NY46', 'Q9Y592'})"
"frozenset({'Wnt', 'Q9UQC2', 'Q13588'})"
"frozenset({'Wnt', 'Q9P2E2', 'Q02410'})"
"frozenset({'P16220', 'Wnt', 'Q86YR7'})"
"frozenset({'Q9BX66', 'Wnt', 'P50570'})"
"frozenset({'Wnt', 'P26367', 'Q86UE8'})"
"frozenset({'O15265', 'Wnt', 'P63279'})"
"frozenset({'P52434', 'Wnt', 'Q9P2G9'})"
"frozenset({'Q99879', 'Q9Y5B9', 'Wnt'})"
"frozenset({'P05455', 'P98175', 'Wnt'})"
"frozenset({'Wnt', 'P68104', 'P62244'})"
"frozenset({'Q92734', 'Wnt', 'Q8NHP8'})"
"frozenset({'P62873', 'Q8NGL7', 'Wnt'})"
"frozenset({'O00231', 'Q92560', 'Wnt'})"
"frozenset({'Wnt', 'Q96CA5', 'P98170'})"
"frozenset({'Wnt', 'P28356', 'P31274'})"
"frozenset({'P61964', 'Wnt', 'P10242'})"
"frozenset({'O15347', 'Wnt', 'Q96P70'})"
"frozenset({'O43707', 'Wnt', 'P06756'})"
"frozenset({'Wnt', 'Q9H9Z2', 'Q7L2J0'})"
"frozenset({'Q13362', 'Wnt', 'P62955'})"
"frozenset({'Wnt', 'Q8TAE6', 'Q96QK1'})"
"frozenset({'O15304', 'P46934', 'Wnt'})"
"frozenset({'Wnt', 'P50148', 'P49407'})"
"frozenset({'Wnt', 'Q9H204', 'Q96PU5'})"
"frozenset({'Q02978', 'Wnt', 'Q9NRD1'})"
"frozenset({'Wnt', 'P62333', 'P28065'})"
"frozenset({'P46777', 'P62266', 'Wnt'})"
"frozenset({'Q8NHP6', 'Wnt', 'Q9P0N5'})"
"frozenset({'Q99755', 'Wnt', 'P07199'})"
"frozenset({'Wnt', 'P04075', 'P36543'})"
"frozenset({'P06239', 'Wnt', 'P78314'})"
"frozenset({'P54253', 'Wnt', 'P19438'})"
"frozenset({'Wnt', 'Q13418', 'P57678'})"
"frozenset({'O60936', 'Wnt', 'Q9UHD9'})"
"frozenset({'Wnt', 'Q96QT4', 'Q13547'})"
"frozenset({'Q9BQ66', 'Wnt', 'Q9BYD3'})"
"frozenset({'Wnt', 'P25789', 'Q9Y5K5'})"
"frozenset({'Wnt', 'P55055', 'Q15648'})"
"frozenset({'Wnt', 'Q9HC52', 'Q86V81'})"
"frozenset({'Wnt', 'P09874', 'P07305'})"
"frozenset({'P42229', 'Wnt', 'P11309'})"
"frozenset({'Wnt', 'P01562', 'Q92985'})"
"frozenset({'Wnt', 'P61073', 'P49407'})"
"frozenset({'Q9NUQ3', 'Q9NPJ6', 'Wnt'})"
"frozenset({'Q9BZY9', 'Wnt', 'Q7Z434'})"
"frozenset({'P78543', 'Wnt', 'P10276'})"
"frozenset({'Q9Y265', 'Wnt', 'P50750'})"
"frozenset({'P54274', 'Wnt', 'P42345'})"
"frozenset({'Q7Z3B4', 'P37198', 'Wnt'})"
"frozenset({'P13569', 'Wnt', 'O75477'})"
"frozenset({'Wnt', 'P22003', 'Q13873'})"
"frozenset({'P61964', 'Q92905', 'Wnt'})"
"frozenset({'Q9UQL6', 'Wnt', 'P62280'})"
"frozenset({'P54725', 'Wnt', 'P61088'})"
"frozenset({'P36873', 'Wnt', 'Q13554'})"
"frozenset({'Q9ULV0', 'Wnt', 'Q9Y2I9'})"
"frozenset({'P84022', 'Wnt', 'O60315'})"
"frozenset({'P56693', 'O43186', 'Wnt'})"
"frozenset({'P42858', 'Wnt', 'Q9P121'})"
"frozenset({'Wnt', 'Q9UG63', 'Q8WU90'})"
"frozenset({'Q8NGX1', 'P17612', 'Wnt'})"
"frozenset({'P43355', 'Wnt', 'Q9BPX6'})"
"frozenset({'P06733', 'Q8WZ42', 'Wnt'})"
"frozenset({'Q3LI72', 'Q3LI76', 'Wnt'})"
"frozenset({'P35968', 'Wnt', 'P12034'})"
"frozenset({'Q16659', 'Wnt', 'P42677'})"
"frozenset({'P26639', 'Wnt', 'Q9Y478'})"
"frozenset({'P36873', 'Wnt', 'P31946'})"
"frozenset({'Wnt', 'P17612', 'Q14432'})"
"frozenset({'Wnt', 'Q7Z4T9', 'Q99417'})"
"frozenset({'Q9UMR3', 'Wnt', 'Q04727'})"
"frozenset({'Wnt', 'O75603', 'P50222'})"
"frozenset({'Q15058', 'Q8N960', 'Wnt'})"
"frozenset({'Q8N684', 'Q15910', 'Wnt'})"
"frozenset({'P62701', 'Wnt', 'Q8NHV4'})"
"frozenset({'Q92529', 'Wnt', 'Q6A162'})"
"frozenset({'Q96B97', 'Wnt', 'O75553'})"
"frozenset({'Q15717', 'Wnt', 'Q86W74'})"
"frozenset({'Q02413', 'P13569', 'Wnt'})"
"frozenset({'Q8NI35', 'Wnt', 'Q92574'})"
"frozenset({'P82675', 'Q96C28', 'Wnt'})"
"frozenset({'O00555', 'Wnt', 'Q96KQ7'})"
"frozenset({'P35626', 'O95222', 'Wnt'})"
"frozenset({'Q00839', 'Wnt', 'Q07020'})"
"frozenset({'Q13042', 'Wnt', 'Q09472'})"
"frozenset({'Wnt', 'P42336', 'P01116'})"
"frozenset({'Q9UET6', 'Wnt', 'Q8IWC1'})"
"frozenset({'O43291', 'P81408', 'Wnt'})"
"frozenset({'Wnt', 'P05067', 'P02768'})"
"frozenset({'Q15973', 'Wnt', 'Q9H2G9'})"
"frozenset({'Q8IWL3', 'Q15390', 'Wnt'})"
"frozenset({'O96019', 'Wnt', 'O94805'})"
"frozenset({'Wnt', 'Q13185', 'Q12873'})"
"frozenset({'Q9P1W9', 'Wnt', 'P49841'})"
"frozenset({'P62258', 'Wnt', 'Q92934'})"
"frozenset({'Wnt', 'Q6MZM0', 'Q15907'})"
"frozenset({'Q9BQD3', 'Wnt', 'Q96CS2'})"
"frozenset({'Wnt', 'P00519', 'Q92558'})"
"frozenset({'Wnt', 'Q13616', 'O43151'})"
"frozenset({'Q15323', 'O75604', 'Wnt'})"
"frozenset({'Q9UJV9', 'Wnt', 'Q07955'})"
"frozenset({'O60674', 'O14508', 'Wnt'})"
"frozenset({'P05387', 'P36578', 'Wnt'})"
"frozenset({'O43318', 'Wnt', 'P19438'})"
"frozenset({'P62873', 'Wnt', 'P49286'})"
"frozenset({'O14757', 'Wnt', 'Q16531'})"
"frozenset({'Q9HCE7', 'Q9Y3D9', 'Wnt'})"
"frozenset({'Wnt', 'Q92569', 'Q9H2G9'})"
"frozenset({'P84095', 'Wnt', 'Q86UP2'})"
"frozenset({'Q9BSM1', 'Q7Z7J5', 'Wnt'})"
"frozenset({'Q86W56', 'P42574', 'Wnt'})"
"frozenset({'Q7Z3B3', 'Wnt', 'P61289'})"
"frozenset({'P78556', 'Wnt', 'P25025'})"
"frozenset({'Q16665', 'Wnt', 'Q99814'})"
"frozenset({'Wnt', 'Q8TES7', 'P14635'})"
"frozenset({'Q66LE6', 'Q5T9A4', 'Wnt'})"
"frozenset({'Q9UKA1', 'Wnt', 'O95863'})"
"frozenset({'Q9UBS5', 'Wnt', 'P01303'})"
"frozenset({'Wnt', 'O14980', 'Q5PRF9'})"
"frozenset({'O95084', 'O94761', 'Wnt'})"
"frozenset({'Wnt', 'Q9H816', 'Q96NY9'})"
"frozenset({'Q9Y3E0', 'Wnt', 'Q9UQN3'})"
"frozenset({'Q14683', 'Q8IWZ8', 'Wnt'})"
"frozenset({'Q02156', 'Q8NER1', 'Wnt'})"
"frozenset({'Q9NQ29', 'Wnt', 'Q13573'})"
"frozenset({'P23975', 'Wnt', 'P60709'})"
"frozenset({'Q96AQ6', 'Wnt', 'Q86VU5'})"
"frozenset({'Wnt', 'P53350', 'P0DMV8'})"
"frozenset({'Wnt', 'Q8WYQ5', 'O14763'})"
"frozenset({'P49675', 'Q92793', 'Wnt'})"
"frozenset({'O95999', 'Wnt', 'P58876'})"
"frozenset({'Wnt', 'P16144', 'P46108'})"
"frozenset({'P42338', 'Q6ZUJ8', 'Wnt'})"
"frozenset({'Q12778', 'Wnt', 'P06400'})"
"frozenset({'Wnt', 'P09544', 'O75197'})"
"frozenset({'Q92734', 'Q00653', 'Wnt'})"
"frozenset({'P27361', 'P05112', 'Wnt'})"
"frozenset({'Wnt', 'Q9BRN9', 'Q9Y6A9'})"
"frozenset({'Q9NP61', 'Wnt', 'Q8IUH5'})"
"frozenset({'P12074', 'Wnt', 'O00483'})"
"frozenset({'Q9Y6Q9', 'Wnt', 'P68133'})"
"frozenset({'Wnt', 'Q8NC51', 'P35544'})"
"frozenset({'Wnt', 'P56537', 'P03372'})"
"frozenset({'Wnt', 'P12931', 'P36954'})"
"frozenset({'Q15819', 'Wnt', 'P54578'})"
"frozenset({'O00159', 'Wnt', 'P33992'})"
"frozenset({'Q13492', 'Q9Y2M5', 'Wnt'})"
"frozenset({'Wnt', 'Q9H1Y0', 'P00492'})"
"frozenset({'Wnt', 'Q99728', 'Q6P158'})"
"frozenset({'Q9Y4P3', 'Wnt', 'Q9P2G9'})"
"frozenset({'P17661', 'Q9NY65', 'Wnt'})"
"frozenset({'O43889', 'Wnt', 'Q9Y243'})"
"frozenset({'Q8TEH3', 'Q00536', 'Wnt'})"
"frozenset({'P28907', 'Wnt', 'Q13976'})"
"frozenset({'Wnt', 'Q96GS4', 'Q2T9L4'})"
"frozenset({'Wnt', 'P51828', 'P05129'})"
"frozenset({'Wnt', 'P26196', 'P14373'})"
"frozenset({'Wnt', 'Q6ZRY4', 'Q9H8X3'})"
"frozenset({'Q00987', 'Wnt', 'Q92793'})"
"frozenset({'Wnt', 'Q06124', 'P10275'})"
"frozenset({'Wnt', 'Q9UKX5', 'P13612'})"
"frozenset({'Q6UN15', 'Wnt', 'P13674'})"
"frozenset({'O60359', 'Wnt', 'Q15173'})"
"frozenset({'Wnt', 'O43559', 'Q01546'})"
"frozenset({'Q15022', 'P35226', 'Wnt'})"
"frozenset({'Q9BTL3', 'Wnt', 'Q8WW24'})"
"frozenset({'Q04760', 'Wnt', 'Q9GZQ8'})"
"frozenset({'Q86UE4', 'Wnt', 'P04629'})"
"frozenset({'P25024', 'Q99731', 'Wnt'})"
"frozenset({'Wnt', 'Q08043', 'Q8IY33'})"
"frozenset({'Wnt', 'Q9BZ29', 'P21675'})"
"frozenset({'Q9NX63', 'Wnt', 'O95466'})"
"frozenset({'Wnt', 'O43665', 'P56537'})"
"frozenset({'Wnt', 'Q14152', 'P61421'})"
"frozenset({'Q9NS23', 'P26927', 'Wnt'})"
"frozenset({'P51991', 'Wnt', 'Q9UQ35'})"
"frozenset({'Q9Y2D8', 'Wnt', 'Q6ZTW0'})"
"frozenset({'P49674', 'Wnt', 'Q9Y698'})"
"frozenset({'Q9H2G2', 'Wnt', 'Q12947'})"
"frozenset({'O94966', 'O95714', 'Wnt'})"
"frozenset({'Q14126', 'Q9NQX4', 'Wnt'})"
"frozenset({'Q9Y230', 'Q9BVM2', 'Wnt'})"
"frozenset({'O94782', 'Q9BUV0', 'Wnt'})"
"frozenset({'Q9UKD2', 'Wnt', 'Q8N8Y5'})"
"frozenset({'Q9H9B4', 'Wnt', 'Q9Y2Q3'})"
"frozenset({'Wnt', 'P32248', 'P32298'})"
"frozenset({'Q96A73', 'Wnt', 'Q7L0Q8'})"
"frozenset({'Wnt', 'P59910', 'Q9NRD5'})"
"frozenset({'Wnt', 'Q9NX70', 'P24863'})"
"frozenset({'O43432', 'Wnt', 'Q04637'})"
"frozenset({'Q6ZS17', 'Wnt', 'Q13402'})"
"frozenset({'P63151', 'Wnt', 'P42345'})"
"frozenset({'Wnt', 'Q16527', 'Q9H0R8'})"
"frozenset({'Q8WW24', 'Wnt', 'Q9NZV7'})"
"frozenset({'O75582', 'Wnt', 'Q96BV0'})"
"frozenset({'Q7Z3Y9', 'Q7RTS7', 'Wnt'})"
"frozenset({'O95372', 'Wnt', 'Q13126'})"
"frozenset({'Q92838', 'Wnt', 'Q9ULV3'})"
"frozenset({'Wnt', 'O15287', 'Q9P104'})"
"frozenset({'O95999', 'Q9P1Z9', 'Wnt'})"
"frozenset({'Q14103', 'Wnt', 'P83436'})"
"frozenset({'O60287', 'P16333', 'Wnt'})"
"frozenset({'Wnt', 'P05067', 'Q9NR31'})"
"frozenset({'Wnt', 'Q2TAZ0', 'Q9GZQ8'})"
"frozenset({'Q96CB8', 'Q92185', 'Wnt'})"
"frozenset({'P18621', 'Wnt', 'Q504Q3'})"
"frozenset({'P16220', 'Wnt', 'Q96C55'})"
"frozenset({'Q9Y3B9', 'Q9NWT1', 'Wnt'})"
"frozenset({'Wnt', 'Q15506', 'P14649'})"
"frozenset({'Wnt', 'Q8IWU2', 'Q00535'})"
"frozenset({'P48443', 'Wnt', 'P10826'})"
"frozenset({'Q9BVV2', 'Q9Y2D8', 'Wnt'})"
"frozenset({'Q9P2R3', 'Wnt', 'Q96QK1'})"
"frozenset({'Q9NU19', 'Wnt', 'Q86X19'})"
"frozenset({'P32121', 'Wnt', 'Q8NG99'})"
"frozenset({'Wnt', 'P51692', 'Q9Y6X2'})"
"frozenset({'P11413', 'Q6PD62', 'Wnt'})"
"frozenset({'Wnt', 'P55036', 'P17301'})"
"frozenset({'O60493', 'P40337', 'Wnt'})"
"frozenset({'Q9UGN5', 'Wnt', 'P55211'})"
"frozenset({'Wnt', 'P45973', 'Q9H9B1'})"
"frozenset({'Q96PM5', 'Wnt', 'P09669'})"
"frozenset({'Q96N95', 'Q969J2', 'Wnt'})"
"frozenset({'Wnt', 'Q8N3C7', 'P43220'})"
"frozenset({'P05549', 'Wnt', 'Q9H4Y5'})"
"frozenset({'Wnt', 'Q9BXJ5', 'Q9H6R7'})"
"frozenset({'Q86TI2', 'Q9GZT8', 'Wnt'})"
"frozenset({'Q9HAU0', 'Wnt', 'Q9NRM7'})"
"frozenset({'P78347', 'Wnt', 'Q8N6T7'})"
"frozenset({'Q658Y4', 'P01889', 'Wnt'})"
"frozenset({'P45983', 'P59768', 'Wnt'})"
"frozenset({'Q13748', 'Wnt', 'Q99558'})"
"frozenset({'Wnt', 'Q04724', 'P42773'})"
"frozenset({'Q9P0M6', 'Q16543', 'Wnt'})"
"frozenset({'Q9UBY5', 'Wnt', 'O14610'})"
"frozenset({'Q01860', 'Wnt', 'Q9H857'})"
"frozenset({'Q9NWH9', 'Wnt', 'Q9H944'})"
"frozenset({'P20151', 'Wnt', 'P05067'})"
"frozenset({'P15880', 'Wnt', 'Q9BRT6'})"
"frozenset({'Q9UQ35', 'Q13523', 'Wnt'})"
"frozenset({'Wnt', 'O94888', 'P54727'})"
"frozenset({'Q9ULX6', 'Wnt', 'Q3SY00'})"
"frozenset({'Q9H4L5', 'Wnt', 'Q08AH1'})"
"frozenset({'O95273', 'Q9P015', 'Wnt'})"
"frozenset({'Q9NRZ7', 'Q03431', 'Wnt'})"
"frozenset({'P08754', 'Wnt', 'P62879'})"
"frozenset({'Wnt', 'Q99626', 'Q6ZN04'})"
"frozenset({'Q9HAF1', 'Q8WYH8', 'Wnt'})"
"frozenset({'Q9NSK0', 'Q15560', 'Wnt'})"
"frozenset({'Wnt', 'Q8IVT5', 'P08237'})"
"frozenset({'O14763', 'Wnt', 'Q07065'})"
"frozenset({'Q14686', 'Wnt', 'P06748'})"
"frozenset({'Q6I9Y2', 'Wnt', 'Q6P6C2'})"
"frozenset({'Q99459', 'Wnt', 'Q9UPT5'})"
"frozenset({'Q02880', 'P09874', 'Wnt'})"
"frozenset({'P42765', 'Wnt', 'P07237'})"
"frozenset({'Wnt', 'P19174', 'Q9UM73'})"
"frozenset({'O75147', 'Wnt', 'Q8WWY3'})"
"frozenset({'P41091', 'Wnt', 'P34947'})"
"frozenset({'Q14999', 'Q9Y265', 'Wnt'})"
"frozenset({'Q9UHA3', 'Q8IZU0', 'Wnt'})"
"frozenset({'P56385', 'Wnt', 'P62249'})"
"frozenset({'P51665', 'Wnt', 'P54578'})"
"frozenset({'Q9HCE1', 'Wnt', 'Q9Y266'})"
"frozenset({'Wnt', 'Q9Y6K9', 'Q8TD31'})"
"frozenset({'Q8IWL3', 'Wnt', 'Q12797'})"
"frozenset({'Wnt', 'Q8IUD6', 'Q9UBT7'})"
"frozenset({'Wnt', 'Q00610', 'O60784'})"
"frozenset({'P28074', 'Wnt', 'Q16665'})"
"frozenset({'P01106', 'Wnt', 'P05023'})"
"frozenset({'P35626', 'Wnt', 'Q8TCB6'})"
"frozenset({'Wnt', 'Q92831', 'O75528'})"
"frozenset({'Q08462', 'Wnt', 'P05129'})"
"frozenset({'P22001', 'Q16620', 'Wnt'})"
"frozenset({'Q04206', 'Wnt', 'Q92997'})"
"frozenset({'P15173', 'Q1A5X7', 'Wnt'})"
"frozenset({'Wnt', 'Q8N392', 'Q92730'})"
"frozenset({'O75781', 'Wnt', 'Q8N3V7'})"
"frozenset({'P62318', 'Wnt', 'O75530'})"
"frozenset({'Q15185', 'Wnt', 'Q9BTM9'})"
"frozenset({'Q13428', 'Wnt', 'P03372'})"
"frozenset({'Q99551', 'Wnt', 'Q9NVS9'})"
"frozenset({'Q9UBU8', 'Wnt', 'Q96A08'})"
"frozenset({'Wnt', 'Q13535', 'P35613'})"
"frozenset({'Q14164', 'Wnt', 'P10914'})"
"frozenset({'P35249', 'P15927', 'Wnt'})"
"frozenset({'O77932', 'Wnt', 'O94762'})"
"frozenset({'Q15759', 'Wnt', 'P04637'})"
"frozenset({'Q9C0A6', 'Wnt', 'P55345'})"
"frozenset({'Wnt', 'P32119', 'P26368'})"
"frozenset({'Wnt', 'Q8WVM8', 'P39210'})"
"frozenset({'Q9UJV9', 'Q5SYC1', 'Wnt'})"
"frozenset({'Q99622', 'Wnt', 'O00161'})"
"frozenset({'Q13422', 'Q13469', 'Wnt'})"
"frozenset({'Wnt', 'O15264', 'Q13501'})"
"frozenset({'Wnt', 'Q9UNT1', 'Q96LK0'})"
"frozenset({'P25685', 'Wnt', 'P05067'})"
