negatives
"frozenset({'Q6NUK4', 'P31947', 'Notch'})"
"frozenset({'Notch', 'P63146', 'Q5T4S7'})"
"frozenset({'Notch', 'P12755', 'P68366'})"
"frozenset({'Notch', 'P05231', 'P78552'})"
"frozenset({'Notch', 'O15357', 'P07437'})"
"frozenset({'Notch', 'P22695', 'P14735'})"
"frozenset({'Notch', 'P0DP25', 'Q9NYJ8'})"
"frozenset({'Notch', 'P80723', 'Q8N3V7'})"
"frozenset({'P09429', 'Notch', 'Q92793'})"
"frozenset({'Notch', 'O76014', 'P04259'})"
"frozenset({'Notch', 'O60739', 'Q96CX2'})"
"frozenset({'Notch', 'Q9NVV9', 'P0CAP1'})"
"frozenset({'Notch', 'P13807', 'O15488'})"
"frozenset({'Notch', 'O95156', 'Q8WXG9'})"
"frozenset({'Notch', 'Q7Z6Z7', 'P56192'})"
"frozenset({'Notch', 'A7MCY6', 'Q9UKV8'})"
"frozenset({'Notch', 'Q9NRD1', 'P25788'})"
"frozenset({'O60721', 'P62993', 'Notch'})"
"frozenset({'Notch', 'P62834', 'Q86WV1'})"
"frozenset({'Notch', 'P08559', 'Q9C040'})"
"frozenset({'Notch', 'Q8TEQ6', 'Q8WXD5'})"
"frozenset({'Notch', 'Q15078', 'O94903'})"
"frozenset({'Notch', 'O00567', 'Q14974'})"
"frozenset({'Notch', 'Q0VDD7', 'Q9UBV8'})"
"frozenset({'O43524', 'P63104', 'Notch'})"
"frozenset({'Notch', 'P07384', 'O60216'})"
"frozenset({'Notch', 'P60369', 'O00560'})"
"frozenset({'Notch', 'P05067', 'Q86TU7'})"
"frozenset({'Notch', 'P48739', 'Q6PCE3'})"
"frozenset({'P09936', 'Notch', 'Q9Y4E8'})"
"frozenset({'Notch', 'P55011', 'Q401N2'})"
"frozenset({'O95639', 'P50222', 'Notch'})"
"frozenset({'P20339', 'Q9NRW7', 'Notch'})"
"frozenset({'Notch', 'O94993', 'P55259'})"
"frozenset({'P12931', 'P34741', 'Notch'})"
"frozenset({'Notch', 'P14210', 'P36888'})"
"frozenset({'Notch', 'Q12888', 'P63165'})"
"frozenset({'P60520', 'P09651', 'Notch'})"
"frozenset({'P09651', 'Q9H307', 'Notch'})"
"frozenset({'Notch', 'Q92918', 'O43609'})"
"frozenset({'Notch', 'Q9Y512', 'Q9C002'})"
"frozenset({'Notch', 'P07947', 'Q96CS3'})"
"frozenset({'P28482', 'Notch', 'P51452'})"
"frozenset({'P55040', 'Notch', 'Q6PI77'})"
"frozenset({'Notch', 'Q9H425', 'O14980'})"
"frozenset({'Q86SZ2', 'Notch', 'Q92905'})"
"frozenset({'Notch', 'Q96JN8', 'P62191'})"
"frozenset({'Q9BUJ2', 'Q9NPI1', 'Notch'})"
"frozenset({'Notch', 'P47224', 'Q9H0U4'})"
"frozenset({'Notch', 'Q12983', 'Q86UP2'})"
"frozenset({'Q9BYD5', 'Notch', 'Q96HB5'})"
"frozenset({'Notch', 'Q14451', 'Q9UPQ3'})"
"frozenset({'Notch', 'P06241', 'O00294'})"
"frozenset({'Notch', 'Q86VU5', 'Q8NFH4'})"
"frozenset({'Notch', 'Q96PU5', 'Q9UBF6'})"
"frozenset({'Q9UP38', 'Q9GZP9', 'Notch'})"
"frozenset({'Notch', 'Q07812', 'Q05513'})"
"frozenset({'Notch', 'Q04917', 'Q9Y6H5'})"
"frozenset({'Notch', 'P21399', 'P04629'})"
"frozenset({'P60520', 'Notch', 'P14174'})"
"frozenset({'Notch', 'P12532', 'P56537'})"
"frozenset({'Notch', 'Q9NUH8', 'O43597'})"
"frozenset({'Q92769', 'Q15047', 'Notch'})"
"frozenset({'P20393', 'P49841', 'Notch'})"
"frozenset({'Notch', 'P13639', 'Q96Q15'})"
"frozenset({'Notch', 'P62070', 'P53611'})"
"frozenset({'Notch', 'Q9UKK3', 'P55210'})"
"frozenset({'Notch', 'Q8IYH5', 'Q01664'})"
"frozenset({'Notch', 'Q01844', 'Q99623'})"
"frozenset({'Notch', 'Q96S82', 'Q06323'})"
"frozenset({'Notch', 'Q07666', 'Q5VWX1'})"
"frozenset({'P19174', 'Q14108', 'Notch'})"
"frozenset({'Notch', 'O60884', 'Q71U36'})"
"frozenset({'Notch', 'P36405', 'O43924'})"
"frozenset({'Notch', 'P55345', 'P06401'})"
"frozenset({'Notch', 'P24928', 'P11473'})"
"frozenset({'Notch', 'P09417', 'Q13618'})"
"frozenset({'Notch', 'P11226', 'P0C0L4'})"
"frozenset({'Notch', 'Q2NKX8', 'Q8IUH5'})"
"frozenset({'Notch', 'P48507', 'Q03405'})"
"frozenset({'Notch', 'P29597', 'Q8TAD2'})"
"frozenset({'Notch', 'P27540', 'P08047'})"
"frozenset({'Notch', 'Q9Y3Q8', 'Q9BZK7'})"
"frozenset({'P19320', 'Q8NI27', 'Notch'})"
"frozenset({'Notch', 'Q92784', 'Q96GM5'})"
"frozenset({'Q9NV56', 'Notch', 'Q9Y265'})"
"frozenset({'P15153', 'Notch', 'Q9H0H5'})"
"frozenset({'P08F94', 'P49069', 'Notch'})"
"frozenset({'Notch', 'O95863', 'Q15323'})"
"frozenset({'Notch', 'Q15629', 'Q6ZNC8'})"
"frozenset({'Notch', 'P22314', 'Q16526'})"
"frozenset({'Notch', 'P20138', 'Q8N1S5'})"
"frozenset({'Q14671', 'Notch', 'P55316'})"
"frozenset({'Notch', 'Q9NRC8', 'P50914'})"
"frozenset({'Notch', 'Q9UPE1', 'P07900'})"
"frozenset({'Notch', 'P60709', 'Q13952'})"
"frozenset({'Notch', 'P83916', 'Q92560'})"
"frozenset({'P61764', 'Q9NVH1', 'Notch'})"
"frozenset({'P17612', 'O95298', 'Notch'})"
"frozenset({'Notch', 'Q13263', 'O60341'})"
"frozenset({'P05412', 'P51532', 'Notch'})"
"frozenset({'Notch', 'P23396', 'Q9BVP2'})"
"frozenset({'Notch', 'P41252', 'Q1KMD3'})"
"frozenset({'Notch', 'Q9UHV8', 'Q9UKS6'})"
"frozenset({'Notch', 'Q9BXJ9', 'P13612'})"
"frozenset({'Q99895', 'Notch', 'A8MQ03'})"
"frozenset({'P62195', 'P54725', 'Notch'})"
"frozenset({'Notch', 'Q00005', 'Q9H0R8'})"
"frozenset({'Q04864', 'P43115', 'Notch'})"
"frozenset({'Notch', 'P27348', 'P98177'})"
"frozenset({'Notch', 'P62269', 'Q92731'})"
"frozenset({'Notch', 'P67775', 'P62955'})"
"frozenset({'P12931', 'Notch', 'P14780'})"
"frozenset({'Q6NUS6', 'Notch', 'O43169'})"
"frozenset({'Q13492', 'O00443', 'Notch'})"
"frozenset({'Notch', 'O43482', 'Q13620'})"
"frozenset({'Notch', 'Q9BZM4', 'O43908'})"
"frozenset({'Notch', 'Q9NPE3', 'P35226'})"
"frozenset({'Notch', 'P15311', 'Q9H270'})"
"frozenset({'Notch', 'Q9NWA0', 'P38646'})"
"frozenset({'Notch', 'Q9H568', 'P01106'})"
"frozenset({'Q8WTR2', 'Notch', 'P12270'})"
"frozenset({'Notch', 'Q9UMR2', 'P78406'})"
"frozenset({'Notch', 'Q96P16', 'Q9BTE3'})"
"frozenset({'Notch', 'P06730', 'P61978'})"
"frozenset({'Notch', 'Q9NXZ2', 'P60369'})"
"frozenset({'Notch', 'O14543', 'Q14289'})"
"frozenset({'Q8WUI4', 'P04908', 'Notch'})"
"frozenset({'O95872', 'Notch', 'O95678'})"
"frozenset({'Notch', 'P49736', 'Q06830'})"
"frozenset({'Notch', 'Q93052', 'O15294'})"
"frozenset({'Notch', 'Q16181', 'Q9Y371'})"
"frozenset({'Notch', 'Q09472', 'P48436'})"
"frozenset({'Notch', 'P01579', 'P10914'})"
"frozenset({'Notch', 'Q6UX04', 'P63104'})"
"frozenset({'O43290', 'P53999', 'Notch'})"
"frozenset({'Notch', 'Q6FI13', 'Q16778'})"
"frozenset({'Notch', 'Q9H4P4', 'P51948'})"
"frozenset({'Notch', 'Q63HR2', 'O95201'})"
"frozenset({'Notch', 'P18848', 'P17252'})"
"frozenset({'Notch', 'P15056', 'P01111'})"
"frozenset({'Notch', 'Q9H9Z2', 'Q13610'})"
"frozenset({'Notch', 'P08138', 'P52565'})"
"frozenset({'Notch', 'Q9BVA1', 'Q8TDR0'})"
"frozenset({'Notch', 'P29317', 'P04629'})"
"frozenset({'Notch', 'P22362', 'P35869'})"
"frozenset({'Q8NF99', 'P17029', 'Notch'})"
"frozenset({'Notch', 'Q13255', 'P30679'})"
"frozenset({'Notch', 'P49406', 'P46934'})"
"frozenset({'Notch', 'P62701', 'P62857'})"
"frozenset({'Q04695', 'O00425', 'Notch'})"
"frozenset({'Notch', 'Q9BXA6', 'Q13451'})"
"frozenset({'Notch', 'Q9H6T3', 'P62140'})"
"frozenset({'Q9Y6K9', 'Notch', 'Q9Y2U5'})"
"frozenset({'Notch', 'Q96HH9', 'Q9NUQ3'})"
"frozenset({'Notch', 'P68371', 'Q9BUF5'})"
"frozenset({'Notch', 'Q96IQ9', 'Q3LI72'})"
"frozenset({'Notch', 'P60660', 'P0DP24'})"
"frozenset({'P14618', 'Notch', 'P35637'})"
"frozenset({'Notch', 'Q5TCX8', 'P31946'})"
"frozenset({'Notch', 'P56524', 'P55055'})"
"frozenset({'Notch', 'Q92830', 'P12956'})"
"frozenset({'Notch', 'P10599', 'P60484'})"
"frozenset({'Notch', 'Q04206', 'Q9NR30'})"
"frozenset({'Q9H9B4', 'Q8WYQ3', 'Notch'})"
"frozenset({'Notch', 'Q06830', 'Q9UBP6'})"
"frozenset({'Notch', 'Q7Z6Z7', 'Q15084'})"
"frozenset({'O43290', 'Notch', 'Q96JC9'})"
"frozenset({'Notch', 'P35579', 'Q93009'})"
"frozenset({'Notch', 'P01112', 'P04899'})"
"frozenset({'Notch', 'Q13216', 'P24928'})"
"frozenset({'Notch', 'P35626', 'Q14832'})"
"frozenset({'O95155', 'Q8N5M4', 'Notch'})"
"frozenset({'Notch', 'Q96CW1', 'P32121'})"
"frozenset({'Notch', 'Q96S55', 'P04629'})"
"frozenset({'Notch', 'Q15738', 'P35637'})"
"frozenset({'Notch', 'P46777', 'Q99661'})"
"frozenset({'P51795', 'Notch', 'O00214'})"
"frozenset({'Notch', 'Q9Y2I6', 'Q5TB80'})"
"frozenset({'Notch', 'P24863', 'P03372'})"
"frozenset({'Notch', 'Q9C009', 'Q12789'})"
"frozenset({'Notch', 'Q5VSY0', 'Q8N4P3'})"
"frozenset({'Notch', 'P00533', 'P03372'})"
"frozenset({'P50502', 'Notch', 'Q99895'})"
"frozenset({'Notch', 'P37088', 'O14964'})"
"frozenset({'Notch', 'P04839', 'P13498'})"
"frozenset({'Notch', 'P56537', 'P17252'})"
"frozenset({'Notch', 'Q13263', 'P16104'})"
"frozenset({'Q8NAP3', 'Notch', 'Q68D10'})"
"frozenset({'Notch', 'Q7L0Q8', 'P51523'})"
"frozenset({'Q9BVA0', 'Q9H079', 'Notch'})"
"frozenset({'Notch', 'P13804', 'Q16082'})"
"frozenset({'Notch', 'Q99698', 'O75410'})"
"frozenset({'P07814', 'Notch', 'P21281'})"
"frozenset({'Notch', 'O43505', 'Q9NRD1'})"
"frozenset({'Notch', 'P35568', 'Q9H6Z9'})"
"frozenset({'Notch', 'Q9UHW5', 'Q8IXW5'})"
"frozenset({'Notch', 'P42694', 'Q9NRA8'})"
"frozenset({'Notch', 'O15321', 'P08473'})"
"frozenset({'Notch', 'Q00796', 'Q6ZMR3'})"
"frozenset({'Notch', 'Q71UM5', 'P30050'})"
"frozenset({'Notch', 'P62263', 'P55769'})"
"frozenset({'Q03989', 'Notch', 'P19793'})"
"frozenset({'Notch', 'P52732', 'P60484'})"
"frozenset({'Notch', 'Q96RE7', 'O14682'})"
"frozenset({'Notch', 'P13631', 'Q9H609'})"
"frozenset({'Notch', 'P0DMV9', 'Q9UNE7'})"
"frozenset({'Notch', 'Q16594', 'Q16695'})"
"frozenset({'Q96P70', 'Notch', 'Q9HC77'})"
"frozenset({'Notch', 'O00487', 'P62333'})"
"frozenset({'Notch', 'Q8TAQ5', 'Q16850'})"
"frozenset({'Q86W92', 'Notch', 'P04629'})"
"frozenset({'Notch', 'P36897', 'P98170'})"
"frozenset({'Q9NYK5', 'Q9NX20', 'Notch'})"
"frozenset({'Notch', 'P00750', 'Q9NRA1'})"
"frozenset({'Notch', 'Q9Y2G2', 'Q6W2J9'})"
"frozenset({'Q9Y6K9', 'P05387', 'Notch'})"
"frozenset({'Notch', 'P69905', 'P15336'})"
"frozenset({'Notch', 'Q9Y3Q8', 'Q9H0I2'})"
"frozenset({'Notch', 'Q9BVG8', 'Q5T0F9'})"
"frozenset({'Notch', 'Q86V81', 'Q9UNX3'})"
"frozenset({'Notch', 'Q9NRD5', 'Q08426'})"
"frozenset({'P57081', 'Notch', 'P61160'})"
"frozenset({'P27694', 'Q14683', 'Notch'})"
"frozenset({'Notch', 'Q9NVP2', 'Q9UKI8'})"
"frozenset({'Notch', 'P50053', 'Q9H6Z4'})"
"frozenset({'Notch', 'P78362', 'Q9BU76'})"
"frozenset({'Notch', 'Q86X19', 'Q9UPM8'})"
"frozenset({'Notch', 'P50150', 'P17252'})"
"frozenset({'Notch', 'Q5M775', 'Q99496'})"
"frozenset({'P41743', 'Notch', 'O75038'})"
"frozenset({'Notch', 'Q15287', 'Q9H307'})"
"frozenset({'Notch', 'P40227', 'P36542'})"
"frozenset({'P53804', 'Q8WZ42', 'Notch'})"
"frozenset({'Notch', 'P15531', 'Q9H8Y8'})"
"frozenset({'Notch', 'Q9UKM9', 'P48431'})"
"frozenset({'Notch', 'Q7Z6E9', 'P02753'})"
"frozenset({'Notch', 'O75436', 'Q9P2R3'})"
"frozenset({'Notch', 'Q15796', 'Q9NYA4'})"
"frozenset({'P0CG20', 'Notch', 'Q9UPG8'})"
"frozenset({'Notch', 'P52272', 'P49407'})"
"frozenset({'Notch', 'Q9UKY7', 'Q14157'})"
"frozenset({'Notch', 'P49721', 'O60260'})"
"frozenset({'Notch', 'P12034', 'Q07890'})"
"frozenset({'Q99650', 'Notch', 'Q93034'})"
"frozenset({'Q9H2W6', 'Q9UJS0', 'Notch'})"
"frozenset({'Notch', 'Q96J02', 'P45974'})"
"frozenset({'Notch', 'O15519', 'P19838'})"
"frozenset({'Notch', 'Q5T6V5', 'Q15717'})"
"frozenset({'Notch', 'Q9NXB0', 'P53618'})"
"frozenset({'Notch', 'Q9H0R8', 'P62241'})"
"frozenset({'Notch', 'Q9NTK5', 'Q86V81'})"
"frozenset({'Notch', 'Q8NEC5', 'P60412'})"
"frozenset({'P67870', 'O14519', 'Notch'})"
"frozenset({'P63244', 'Q9BUN8', 'Notch'})"
"frozenset({'Notch', 'Q93052', 'Q96KS0'})"
"frozenset({'Notch', 'Q08752', 'P11142'})"
"frozenset({'Notch', 'P22612', 'Q8NGK5'})"
"frozenset({'Notch', 'P04792', 'P08473'})"
"frozenset({'O43143', 'Notch', 'P98175'})"
"frozenset({'Notch', 'P28332', 'Q15025'})"
"frozenset({'Notch', 'O95837', 'Q9NS75'})"
"frozenset({'Notch', 'Q16623', 'Q8N511'})"
"frozenset({'Notch', 'O60262', 'P01111'})"
"frozenset({'Notch', 'P60953', 'P32121'})"
"frozenset({'Notch', 'Q9H2G2', 'O43909'})"
"frozenset({'Notch', 'Q9NZQ7', 'Q9NV70'})"
"frozenset({'Notch', 'Q9H1J7', 'O95813'})"
"frozenset({'Notch', 'Q9UKE5', 'Q9Y3B4'})"
"frozenset({'Notch', 'Q7Z5Q5', 'Q06609'})"
"frozenset({'Notch', 'P57105', 'P08174'})"
"frozenset({'Notch', 'P02545', 'P52655'})"
"frozenset({'Notch', 'Q9NXZ2', 'Q00341'})"
"frozenset({'Notch', 'Q6P2Q9', 'Q13523'})"
"frozenset({'Notch', 'Q13515', 'P02533'})"
"frozenset({'Notch', 'P53582', 'Q00839'})"
"frozenset({'Notch', 'Q96IZ0', 'P42224'})"
"frozenset({'O00327', 'Notch', 'P35869'})"
"frozenset({'P25391', 'Q13683', 'Notch'})"
"frozenset({'Notch', 'P28288', 'P39210'})"
"frozenset({'Notch', 'P11142', 'P68104'})"
"frozenset({'Notch', 'A5D8V6', 'Q8N443'})"
"frozenset({'Notch', 'Q9UNX4', 'Q9BZE4'})"
"frozenset({'Notch', 'Q8WUM4', 'Q7Z6J0'})"
"frozenset({'Q6RI45', 'Q13620', 'Notch'})"
"frozenset({'P18146', 'Q9Y271', 'Notch'})"
"frozenset({'Notch', 'Q9NQH7', 'Q9C0D3'})"
"frozenset({'Notch', 'P31946', 'P62807'})"
"frozenset({'Notch', 'Q9Y3S2', 'Q07627'})"
"frozenset({'Notch', 'P00533', 'P09603'})"
"frozenset({'Notch', 'Q9H061', 'P19784'})"
"frozenset({'Notch', 'P31947', 'Q15884'})"
"frozenset({'Notch', 'O60907', 'Q9BSI4'})"
"frozenset({'Notch', 'Q9NUU7', 'Q9GZL7'})"
"frozenset({'Q3MJ16', 'Notch', 'P29992'})"
"frozenset({'Notch', 'Q05639', 'O95718'})"
"frozenset({'Notch', 'Q8N488', 'P35227'})"
"frozenset({'P14618', 'Notch', 'P61224'})"
"frozenset({'Notch', 'P40189', 'Q9NYY1'})"
"frozenset({'Notch', 'Q8IXJ6', 'Q09472'})"
"frozenset({'Q969G5', 'Q9P2B7', 'Notch'})"
"frozenset({'P15924', 'Notch', 'Q8IWL2'})"
"frozenset({'Q6GQQ9', 'P19438', 'Notch'})"
"frozenset({'Notch', 'P27348', 'P11274'})"
"frozenset({'P05412', 'Notch', 'P62258'})"
"frozenset({'Notch', 'Q9H0B6', 'Q15019'})"
"frozenset({'Notch', 'Q68DN1', 'P01106'})"
"frozenset({'Q96EB6', 'Q9Y543', 'Notch'})"
"frozenset({'Q8NEZ4', 'Q13620', 'Notch'})"
"frozenset({'Q56A73', 'Q9UBU9', 'Notch'})"
"frozenset({'Notch', 'P48745', 'P24941'})"
"frozenset({'Notch', 'P05787', 'Q92764'})"
"frozenset({'Notch', 'Q9NZT1', 'P18206'})"
"frozenset({'Q13885', 'P49736', 'Notch'})"
"frozenset({'Notch', 'Q07666', 'P41240'})"
"frozenset({'Notch', 'Q13310', 'Q96DH6'})"
"frozenset({'P27694', 'Notch', 'P51610'})"
"frozenset({'Notch', 'P07359', 'P14770'})"
"frozenset({'P30559', 'O00305', 'Notch'})"
"frozenset({'Notch', 'Q8N766', 'Q96GX1'})"
"frozenset({'Notch', 'Q9NRD1', 'Q9C0C4'})"
"frozenset({'Notch', 'P04745', 'Q08945'})"
"frozenset({'Notch', 'P17787', 'O60674'})"
"frozenset({'Notch', 'Q00610', 'Q00653'})"
"frozenset({'Notch', 'Q9Y262', 'P46781'})"
"frozenset({'Notch', 'Q9UQ80', 'P06748'})"
"frozenset({'Notch', 'Q96LT9', 'Q15696'})"
"frozenset({'Notch', 'Q12929', 'P07910'})"
"frozenset({'Notch', 'Q15645', 'Q9H0W5'})"
"frozenset({'Notch', 'P35637', 'P24941'})"
"frozenset({'Notch', 'O14965', 'Q13573'})"
"frozenset({'Notch', 'Q96IK5', 'O43148'})"
"frozenset({'Notch', 'P12830', 'Q8WVQ1'})"
"frozenset({'Notch', 'P05067', 'P32942'})"
"frozenset({'Q9Y6K9', 'Notch', 'Q13573'})"
"frozenset({'Notch', 'Q8TF42', 'P22492'})"
"frozenset({'Notch', 'Q9NS87', 'Q9HAU5'})"
"frozenset({'P78364', 'Q5VUG0', 'Notch'})"
"frozenset({'Notch', 'P04637', 'P35249'})"
"frozenset({'P61244', 'Q9UKL0', 'Notch'})"
"frozenset({'Notch', 'Q08211', 'Q13151'})"
"frozenset({'Notch', 'Q06250', 'O76011'})"
"frozenset({'Notch', 'O75360', 'Q9BVV2'})"
"frozenset({'O43318', 'Notch', 'Q13557'})"
"frozenset({'Notch', 'O75360', 'P22891'})"
"frozenset({'Notch', 'Q04917', 'P78406'})"
"frozenset({'Notch', 'O75934', 'Q15323'})"
"frozenset({'P17612', 'Notch', 'Q86W47'})"
"frozenset({'Notch', 'P31947', 'Q9Y2I8'})"
"frozenset({'Notch', 'Q03405', 'Q00653'})"
"frozenset({'Q9Y5P6', 'Notch', 'P68104'})"
"frozenset({'Notch', 'P01100', 'P47712'})"
"frozenset({'Q96RY7', 'Q8NEZ3', 'Notch'})"
"frozenset({'Notch', 'P59536', 'Q13951'})"
"frozenset({'Notch', 'P12757', 'Q9Y295'})"
"frozenset({'Notch', 'Q4V328', 'Q9H0I2'})"
"frozenset({'P05412', 'Notch', 'Q8WWY3'})"
"frozenset({'Q13402', 'P16455', 'Notch'})"
"frozenset({'Notch', 'P60369', 'Q9NSA3'})"
"frozenset({'Notch', 'O75030', 'O14980'})"
"frozenset({'Notch', 'Q9UH03', 'Q92599'})"
"frozenset({'Notch', 'Q9Y2K1', 'P50914'})"
"frozenset({'Notch', 'P29372', 'Q5VT52'})"
"frozenset({'Q9GZM8', 'Notch', 'O75971'})"
"frozenset({'Notch', 'Q9Y657', 'Q9BUA3'})"
"frozenset({'Notch', 'P32320', 'Q16555'})"
"frozenset({'Notch', 'Q92583', 'P51679'})"
"frozenset({'Notch', 'Q96S82', 'P11021'})"
"frozenset({'Notch', 'Q13009', 'O96028'})"
"frozenset({'Q9UQK1', 'Q9BS40', 'Notch'})"
"frozenset({'Q8NHM5', 'Notch', 'Q8N653'})"
"frozenset({'Notch', 'O43815', 'Q13133'})"
"frozenset({'Notch', 'P49639', 'B2RUY7'})"
"frozenset({'Notch', 'O15488', 'P46976'})"
"frozenset({'Q8TD90', 'Q96A37', 'Notch'})"
"frozenset({'Notch', 'Q05655', 'Q02539'})"
"frozenset({'P09651', 'Q9UL18', 'Notch'})"
"frozenset({'Notch', 'Q99700', 'Q9NZC7'})"
"frozenset({'Notch', 'P51149', 'Q9H0T7'})"
"frozenset({'Notch', 'Q66K64', 'Q15042'})"
"frozenset({'Notch', 'O60216', 'Q12873'})"
"frozenset({'Notch', 'Q8TBE7', 'P01137'})"
"frozenset({'Notch', 'P16401', 'P13612'})"
"frozenset({'Notch', 'P09341', 'Q07955'})"
"frozenset({'Q15785', 'Notch', 'O95433'})"
"frozenset({'Q92886', 'Q06455', 'Notch'})"
"frozenset({'Notch', 'P63208', 'Q13618'})"
"frozenset({'Notch', 'Q9Y2U9', 'Q93034'})"
"frozenset({'Notch', 'Q01094', 'Q15744'})"
"frozenset({'P27815', 'Notch', 'Q09472'})"
"frozenset({'Notch', 'Q8IYL3', 'Q15717'})"
"frozenset({'Notch', 'Q676U5', 'A1A4Y4'})"
"frozenset({'Notch', 'Q96DT0', 'Q709C8'})"
"frozenset({'Notch', 'P07951', 'P12814'})"
"frozenset({'P50552', 'Q99816', 'Notch'})"
"frozenset({'Q9BYE9', 'Q9HBB8', 'Notch'})"
"frozenset({'Notch', 'P13631', 'P31321'})"
"frozenset({'Q01860', 'P30048', 'Notch'})"
"frozenset({'Notch', 'O75635', 'Q14943'})"
"frozenset({'Notch', 'P18206', 'P04629'})"
"frozenset({'Notch', 'O14929', 'Q99525'})"
"frozenset({'P17612', 'Notch', 'Q6IF00'})"
"frozenset({'P22694', 'Q8NHC8', 'Notch'})"
"frozenset({'Notch', 'Q14315', 'Q9NP98'})"
"frozenset({'Notch', 'Q8TB22', 'P99999'})"
"frozenset({'Notch', 'Q9BXW9', 'O95619'})"
"frozenset({'Notch', 'Q6UWB1', 'Q8IZI9'})"
"frozenset({'Notch', 'Q8IVD9', 'Q6PID8'})"
"frozenset({'Notch', 'Q2TBA0', 'O96006'})"
"frozenset({'Notch', 'Q8NGE9', 'P22612'})"
"frozenset({'Notch', 'Q05519', 'Q13573'})"
"frozenset({'O14609', 'Notch', 'P68400'})"
"frozenset({'Notch', 'Q9Y2D8', 'P12814'})"
"frozenset({'Notch', 'Q9UKG9', 'P60981'})"
"frozenset({'Q7KZ85', 'Notch', 'Q9UJX3'})"
"frozenset({'Notch', 'P63173', 'P11171'})"
"frozenset({'Notch', 'Q6NUN9', 'O14654'})"
"frozenset({'Notch', 'Q9Y6I3', 'P22314'})"
"frozenset({'Notch', 'Q9UHB6', 'P62258'})"
"frozenset({'Notch', 'Q9BS34', 'Q8WV44'})"
"frozenset({'Notch', 'P01112', 'Q07890'})"
"frozenset({'Q58FF7', 'O95801', 'Notch'})"
"frozenset({'Notch', 'P62136', 'Q8IWX8'})"
"frozenset({'Notch', 'Q96KN8', 'Q08379'})"
"frozenset({'P25789', 'Notch', 'P20618'})"
"frozenset({'Notch', 'Q15165', 'P43363'})"
"frozenset({'Notch', 'Q9BTE6', 'Q9NQG5'})"
"frozenset({'P35269', 'Notch', 'O14980'})"
"frozenset({'Notch', 'Q15287', 'P16234'})"
"frozenset({'Notch', 'Q9ULD2', 'P63208'})"
"frozenset({'Notch', 'Q53GL7', 'Q16777'})"
"frozenset({'Notch', 'Q8NCW5', 'P61586'})"
"frozenset({'P55060', 'Q13310', 'Notch'})"
"frozenset({'Q8IYS2', 'Notch', 'O43390'})"
"frozenset({'Notch', 'P23258', 'Q13555'})"
"frozenset({'Notch', 'P57105', 'Q15311'})"
"frozenset({'Q9UKW4', 'Notch', 'P10275'})"
"frozenset({'P27694', 'Notch', 'Q96DH6'})"
"frozenset({'Notch', 'Q9UPQ9', 'P41250'})"
"frozenset({'O43257', 'Notch', 'Q15025'})"
"frozenset({'Notch', 'Q07020', 'P23396'})"
"frozenset({'Notch', 'Q8WV44', 'Q9UPG8'})"
"frozenset({'Notch', 'P27695', 'P78396'})"
"frozenset({'Notch', 'Q8WYA0', 'Q9Y366'})"
"frozenset({'Notch', 'P67936', 'Q9Y4R8'})"
"frozenset({'Q02224', 'P42704', 'Notch'})"
"frozenset({'Notch', 'P12830', 'Q4KMP7'})"
"frozenset({'Notch', 'Q9NWS9', 'Q9NX65'})"
"frozenset({'Notch', 'Q9ULH7', 'Q15797'})"
"frozenset({'Q8N1F7', 'O95817', 'Notch'})"
"frozenset({'Q9BQD3', 'Q96D59', 'Notch'})"
"frozenset({'Notch', 'O95816', 'Q7L5Y6'})"
"frozenset({'Notch', 'Q8TDM6', 'O60504'})"
"frozenset({'Notch', 'Q8N1N4', 'P08727'})"
"frozenset({'Notch', 'Q99932', 'Q7LBC6'})"
"frozenset({'Q16637', 'Notch', 'Q9UL45'})"
"frozenset({'Notch', 'P62873', 'P35462'})"
"frozenset({'Q8NGR8', 'P35626', 'Notch'})"
"frozenset({'Notch', 'P01857', 'P01709'})"
"frozenset({'Notch', 'Q9UBP9', 'Q96CW1'})"
"frozenset({'Notch', 'P47712', 'P29992'})"
"frozenset({'Notch', 'Q9Y6R4', 'O15264'})"
"frozenset({'Notch', 'Q13287', 'Q8NA92'})"
"frozenset({'Notch', 'P06493', 'Q14157'})"
"frozenset({'Notch', 'P40189', 'P20809'})"
"frozenset({'Notch', 'P13533', 'Q8N0Z3'})"
"frozenset({'Notch', 'Q8N9N5', 'P04637'})"
"frozenset({'Notch', 'Q8WVM8', 'Q13315'})"
"frozenset({'Notch', 'Q15645', 'Q6PF18'})"
"frozenset({'Notch', 'P16471', 'P42229'})"
"frozenset({'Notch', 'P08631', 'Q13905'})"
"frozenset({'Notch', 'Q9UBS9', 'Q6KC79'})"
"frozenset({'Notch', 'Q96AX1', 'Q9P253'})"
"frozenset({'Notch', 'O43566', 'Q92730'})"
"frozenset({'Notch', 'P15735', 'P62140'})"
"frozenset({'Notch', 'Q9UBR4', 'P30968'})"
"frozenset({'Notch', 'Q0VG99', 'P15884'})"
"frozenset({'Notch', 'P14866', 'Q6AZZ1'})"
"frozenset({'Notch', 'Q9UQC2', 'Q07890'})"
"frozenset({'Notch', 'Q13418', 'P49841'})"
"frozenset({'Notch', 'Q9BUB5', 'P08238'})"
"frozenset({'Notch', 'Q9UBU9', 'Q13490'})"
