negatives
"frozenset({'Q8IWR0', 'Q13153', 'BCR'})"
"frozenset({'Q9HBM1', 'BCR', 'P33981'})"
"frozenset({'Q9UGY1', 'BCR', 'P04179'})"
"frozenset({'Q5T011', 'BCR', 'Q9Y664'})"
"frozenset({'BCR', 'P61019', 'P41220'})"
"frozenset({'Q12962', 'O75529', 'BCR'})"
"frozenset({'BCR', 'Q96H55', 'Q8WWI1'})"
"frozenset({'BCR', 'P54274', 'Q9BVP2'})"
"frozenset({'BCR', 'Q96J02', 'O00499'})"
"frozenset({'P12235', 'BCR', 'P24941'})"
"frozenset({'BCR', 'Q99942', 'Q9Y2X8'})"
"frozenset({'BCR', 'Q12929', 'P48431'})"
"frozenset({'BCR', 'Q12933', 'Q93009'})"
"frozenset({'BCR', 'O95202', 'P05412'})"
"frozenset({'BCR', 'P14415', 'P05387'})"
"frozenset({'Q9Y5S9', 'BCR', 'P61326'})"
"frozenset({'BCR', 'Q9UBS9', 'Q9NYP7'})"
"frozenset({'Q15370', 'BCR', 'Q14320'})"
"frozenset({'P49736', 'BCR', 'P30419'})"
"frozenset({'Q9UIS9', 'BCR', 'P29372'})"
"frozenset({'Q8IUQ4', 'BCR', 'Q14088'})"
"frozenset({'BCR', 'Q9P244', 'Q08AD1'})"
"frozenset({'O14503', 'BCR', 'Q9NWB1'})"
"frozenset({'BCR', 'Q14103', 'P32322'})"
"frozenset({'Q12965', 'BCR', 'Q9UHB6'})"
"frozenset({'BCR', 'Q8NCN4', 'Q8WXI9'})"
"frozenset({'BCR', 'P06748', 'P43686'})"
"frozenset({'BCR', 'P12956', 'O14746'})"
"frozenset({'BCR', 'Q5TA79', 'Q8IUC1'})"
"frozenset({'Q9UPT9', 'BCR', 'Q7Z7H8'})"
"frozenset({'BCR', 'A0JLT2', 'Q9UJX6'})"
"frozenset({'BCR', 'P42166', 'O75530'})"
"frozenset({'BCR', 'P08476', 'Q04771'})"
"frozenset({'P49736', 'BCR', 'Q00839'})"
"frozenset({'BCR', 'Q01780', 'O77932'})"
"frozenset({'O60260', 'BCR', 'P17844'})"
"frozenset({'BCR', 'O43504', 'Q96EQ0'})"
"frozenset({'P12830', 'Q658Y4', 'BCR'})"
"frozenset({'Q15834', 'BCR', 'Q8TES7'})"
"frozenset({'Q6ZU80', 'BCR', 'Q9BYJ9'})"
"frozenset({'BCR', 'O14965', 'Q96IF1'})"
"frozenset({'BCR', 'P61981', 'O76011'})"
"frozenset({'Q7Z3S9', 'O14910', 'BCR'})"
"frozenset({'Q9H0W5', 'BCR', 'Q92769'})"
"frozenset({'BCR', 'P23458', 'P31939'})"
"frozenset({'Q12778', 'Q15759', 'BCR'})"
"frozenset({'Q9BQ67', 'BCR', 'Q9Y4C8'})"
"frozenset({'BCR', 'Q9UBU9', 'Q5T8D3'})"
"frozenset({'BCR', 'O00567', 'Q9H4B7'})"
"frozenset({'P61964', 'BCR', 'A7MD48'})"
"frozenset({'Q9UL42', 'BCR', 'Q13895'})"
"frozenset({'P09629', 'BCR', 'P68400'})"
"frozenset({'BCR', 'Q9C035', 'Q96B02'})"
"frozenset({'BCR', 'Q14008', 'O95359'})"
"frozenset({'BCR', 'Q5TCX8', 'Q8TC76'})"
"frozenset({'Q8WVK2', 'BCR', 'Q96FW1'})"
"frozenset({'BCR', 'Q92734', 'Q9NZZ3'})"
"frozenset({'BCR', 'Q92608', 'P09769'})"
"frozenset({'O75676', 'P68431', 'BCR'})"
"frozenset({'P49715', 'BCR', 'P35548'})"
"frozenset({'O95757', 'BCR', 'P04629'})"
"frozenset({'P15884', 'BCR', 'Q02535'})"
"frozenset({'BCR', 'P68400', 'O43823'})"
"frozenset({'BCR', 'P13725', 'P08887'})"
"frozenset({'BCR', 'Q07666', 'Q92731'})"
"frozenset({'BCR', 'Q14197', 'P40337'})"
"frozenset({'Q9Y6J9', 'BCR', 'O75486'})"
"frozenset({'Q9HBE4', 'BCR', 'P09619'})"
"frozenset({'BCR', 'Q86WR0', 'P62807'})"
"frozenset({'Q9UKL0', 'BCR', 'Q13469'})"
"frozenset({'BCR', 'Q05516', 'P04637'})"
"frozenset({'BCR', 'Q9UGP5', 'Q15648'})"
"frozenset({'P54253', 'BCR', 'Q00978'})"
"frozenset({'BCR', 'Q9NQW7', 'P11216'})"
"frozenset({'BCR', 'P61247', 'P62899'})"
"frozenset({'BCR', 'Q14203', 'O00487'})"
"frozenset({'P35244', 'Q9C0J8', 'BCR'})"
"frozenset({'P52594', 'BCR', 'O15294'})"
"frozenset({'Q13617', 'BCR', 'P06312'})"
"frozenset({'Q13310', 'BCR', 'Q8IXZ2'})"
"frozenset({'BCR', 'Q96SW2', 'Q9Y383'})"
"frozenset({'Q9Y5Z7', 'BCR', 'O00255'})"
"frozenset({'O95816', 'BCR', 'Q04206'})"
"frozenset({'BCR', 'P32121', 'Q9H6F2'})"
"frozenset({'BCR', 'Q96FW1', 'P56270'})"
"frozenset({'BCR', 'Q13151', 'Q15287'})"
"frozenset({'BCR', 'Q8IYA7', 'Q15717'})"
"frozenset({'P20336', 'BCR', 'O43493'})"
"frozenset({'BCR', 'Q6P5W5', 'P13224'})"
"frozenset({'BCR', 'Q02241', 'Q9NR09'})"
"frozenset({'BCR', 'Q01658', 'Q14166'})"
"frozenset({'BCR', 'Q99677', 'P50150'})"
"frozenset({'BCR', 'Q9Y6K9', 'Q13371'})"
"frozenset({'BCR', 'Q16637', 'Q5JVS0'})"
"frozenset({'Q9Y5V3', 'O95817', 'BCR'})"
"frozenset({'BCR', 'Q8N6K0', 'O14656'})"
"frozenset({'Q8N5Z5', 'BCR', 'P62877'})"
"frozenset({'P23025', 'O14980', 'BCR'})"
"frozenset({'BCR', 'Q9UHD4', 'O00273'})"
"frozenset({'BCR', 'P41235', 'Q06520'})"
"frozenset({'Q6AI08', 'BCR', 'Q9BZW8'})"
"frozenset({'P31947', 'P61289', 'BCR'})"
"frozenset({'BCR', 'O15537', 'Q6SZW1'})"
"frozenset({'BCR', 'P63220', 'P25398'})"
"frozenset({'P26641', 'BCR', 'O00400'})"
"frozenset({'Q13636', 'BCR', 'P22307'})"
"frozenset({'BCR', 'Q9H3H1', 'Q9BTY7'})"
"frozenset({'Q9NX04', 'BCR', 'Q53EZ4'})"
"frozenset({'P15884', 'BCR', 'Q8N2W9'})"
"frozenset({'Q13547', 'BCR', 'Q9H0E3'})"
"frozenset({'BCR', 'Q8NC51', 'Q13616'})"
"frozenset({'BCR', 'P20248', 'Q15545'})"
"frozenset({'O60262', 'Q8NGJ2', 'BCR'})"
"frozenset({'Q9ULG1', 'BCR', 'Q9H9F9'})"
"frozenset({'BCR', 'P25098', 'Q8NGF7'})"
"frozenset({'BCR', 'O60503', 'O95398'})"
"frozenset({'BCR', 'Q05519', 'Q13573'})"
"frozenset({'BCR', 'O14569', 'Q7Z7G1'})"
"frozenset({'Q9H4P4', 'BCR', 'P61086'})"
"frozenset({'Q13751', 'BCR', 'P26010'})"
"frozenset({'BCR', 'Q14684', 'Q9NSA0'})"
"frozenset({'P49674', 'BCR', 'Q9Y343'})"
"frozenset({'P60411', 'BCR', 'Q9NWQ4'})"
"frozenset({'P61224', 'BCR', 'P22694'})"
"frozenset({'Q13409', 'BCR', 'Q3ZCM7'})"
"frozenset({'BCR', 'P23258', 'Q96KA5'})"
"frozenset({'P63151', 'BCR', 'Q9NXG2'})"
"frozenset({'BCR', 'Q9HBH0', 'Q07890'})"
"frozenset({'BCR', 'Q9UBU9', 'Q13148'})"
"frozenset({'Q9H307', 'BCR', 'Q9Y375'})"
"frozenset({'BCR', 'Q8WW35', 'P13984'})"
"frozenset({'P18846', 'BCR', 'Q96BA8'})"
"frozenset({'BCR', 'P62316', 'P32121'})"
"frozenset({'BCR', 'Q13509', 'P19367'})"
"frozenset({'Q96L21', 'BCR', 'P62899'})"
"frozenset({'O14830', 'P62158', 'BCR'})"
"frozenset({'BCR', 'Q02083', 'P52848'})"
"frozenset({'P05412', 'BCR', 'Q92615'})"
"frozenset({'O75031', 'BCR', 'Q9UIK5'})"
"frozenset({'BCR', 'P10721', 'P43403'})"
"frozenset({'BCR', 'Q99062', 'Q9P0W0'})"
"frozenset({'BCR', 'P62820', 'P49915'})"
"frozenset({'Q8NBJ9', 'BCR', 'Q86Y78'})"
"frozenset({'P00533', 'BCR', 'O15511'})"
"frozenset({'BCR', 'Q9NQZ6', 'Q9UHL9'})"
"frozenset({'BCR', 'Q9UGI0', 'Q8TAE8'})"
"frozenset({'BCR', 'Q15435', 'Q14684'})"
"frozenset({'P29965', 'BCR', 'P25942'})"
"frozenset({'BCR', 'P05412', 'P62280'})"
"frozenset({'P01308', 'BCR', 'P16234'})"
"frozenset({'Q9ULV4', 'BCR', 'O43169'})"
"frozenset({'P60331', 'BCR', 'Q9UKJ5'})"
"frozenset({'Q9HC77', 'Q8WWK9', 'BCR'})"
"frozenset({'BCR', 'P09471', 'Q9HBX9'})"
"frozenset({'Q8TAB5', 'BCR', 'Q96M63'})"
"frozenset({'BCR', 'Q9UFD9', 'Q9NW38'})"
"frozenset({'BCR', 'Q8N488', 'Q14790'})"
"frozenset({'BCR', 'Q5HYA8', 'Q86Y07'})"
"frozenset({'Q96RL1', 'BCR', 'Q99829'})"
"frozenset({'BCR', 'P23458', 'P01236'})"
"frozenset({'Q92793', 'BCR', 'P51531'})"
"frozenset({'P01570', 'BCR', 'Q8IU57'})"
"frozenset({'Q99471', 'BCR', 'O15212'})"
"frozenset({'P98170', 'BCR', 'Q9UBX1'})"
"frozenset({'Q96HF1', 'BCR', 'Q9GZT5'})"
"frozenset({'P01130', 'BCR', 'P17948'})"
"frozenset({'BCR', 'O60281', 'P83916'})"
"frozenset({'P50221', 'BCR', 'Q7L576'})"
"frozenset({'Q9NRD1', 'BCR', 'P41252'})"
"frozenset({'BCR', 'P62241', 'Q99558'})"
"frozenset({'Q3SY56', 'P37173', 'BCR'})"
"frozenset({'BCR', 'Q12955', 'Q16659'})"
"frozenset({'Q8WXC6', 'BCR', 'P61201'})"
"frozenset({'BCR', 'Q13242', 'Q13247'})"
"frozenset({'BCR', 'Q9UK80', 'Q96L34'})"
"frozenset({'BCR', 'Q8IVW4', 'Q8WYN0'})"
"frozenset({'BCR', 'Q12829', 'P0C0E4'})"
"frozenset({'BCR', 'P61587', 'P27986'})"
"frozenset({'BCR', 'Q9GZQ3', 'Q9UBI1'})"
"frozenset({'BCR', 'Q15717', 'P19525'})"
"frozenset({'BCR', 'Q8IVT5', 'P19784'})"
"frozenset({'P60468', 'BCR', 'O00471'})"
"frozenset({'BCR', 'Q92731', 'P62195'})"
"frozenset({'BCR', 'Q8WUY1', 'Q8N4P2'})"
"frozenset({'Q9Y2R0', 'BCR', 'P20674'})"
"frozenset({'P06493', 'BCR', 'Q14807'})"
"frozenset({'BCR', 'Q16777', 'O76064'})"
"frozenset({'BCR', 'Q99853', 'Q15323'})"
"frozenset({'BCR', 'P17612', 'P62873'})"
"frozenset({'P49902', 'BCR', 'Q70IA8'})"
"frozenset({'BCR', 'P05129', 'P18031'})"
"frozenset({'BCR', 'Q96GP6', 'Q9H2G2'})"
"frozenset({'Q6P1L5', 'BCR', 'P17980'})"
"frozenset({'P53350', 'BCR', 'O75665'})"
"frozenset({'BCR', 'Q6P1K2', 'P83916'})"
"frozenset({'P06493', 'BCR', 'P23769'})"
"frozenset({'BCR', 'P14373', 'Q8IYD8'})"
"frozenset({'O60262', 'BCR', 'Q8NGZ5'})"
"frozenset({'BCR', 'Q9NRI5', 'O75044'})"
"frozenset({'P05771', 'BCR', 'P50150'})"
"frozenset({'P31749', 'BCR', 'Q6ZVD8'})"
"frozenset({'P46379', 'BCR', 'Q9UKV5'})"
"frozenset({'BCR', 'O95429', 'Q9BYZ6'})"
"frozenset({'Q9NX04', 'BCR', 'Q9H0C1'})"
"frozenset({'BCR', 'Q9H0R8', 'Q8WVV4'})"
"frozenset({'BCR', 'P49368', 'Q16659'})"
"frozenset({'BCR', 'Q8IX01', 'P09651'})"
"frozenset({'P03372', 'BCR', 'Q71RC2'})"
"frozenset({'BCR', 'Q13554', 'Q8NFM4'})"
"frozenset({'BCR', 'Q9H0I2', 'Q86YD7'})"
"frozenset({'P05771', 'BCR', 'Q00722'})"
"frozenset({'P78318', 'BCR', 'P09382'})"
"frozenset({'BCR', 'Q9NWW6', 'Q86VP1'})"
"frozenset({'O15379', 'BCR', 'P50402'})"
"frozenset({'BCR', 'Q9HCS7', 'Q15029'})"
"frozenset({'BCR', 'Q6UXB4', 'Q13347'})"
"frozenset({'BCR', 'Q03164', 'O75475'})"
"frozenset({'BCR', 'P09382', 'P16871'})"
"frozenset({'BCR', 'O95470', 'P04626'})"
"frozenset({'BCR', 'P10916', 'O14974'})"
"frozenset({'P46777', 'Q15714', 'BCR'})"
"frozenset({'BCR', 'P25398', 'Q9BRP8'})"
"frozenset({'P36957', 'BCR', 'Q9NYK5'})"
"frozenset({'P21333', 'BCR', 'Q15051'})"
"frozenset({'BCR', 'P11234', 'Q05513'})"
"frozenset({'BCR', 'O14787', 'O95988'})"
"frozenset({'BCR', 'Q00534', 'Q00653'})"
"frozenset({'O43707', 'Q9H0W5', 'BCR'})"
"frozenset({'BCR', 'Q5T215', 'Q8WVT3'})"
"frozenset({'BCR', 'Q9UJA5', 'P07814'})"
"frozenset({'Q8N720', 'BCR', 'Q63HR2'})"
"frozenset({'BCR', 'Q9BRK5', 'P63104'})"
"frozenset({'Q13535', 'BCR', 'Q5VUA4'})"
"frozenset({'P52952', 'BCR', 'P41134'})"
"frozenset({'O60315', 'BCR', 'O00257'})"
"frozenset({'BCR', 'P42345', 'P62249'})"
"frozenset({'A5A3E0', 'BCR', 'Q9NUC0'})"
"frozenset({'BCR', 'Q03701', 'O60506'})"
"frozenset({'O14497', 'BCR', 'P46934'})"
"frozenset({'Q9NVZ3', 'BCR', 'Q5SW79'})"
"frozenset({'BCR', 'P46940', 'Q13045'})"
"frozenset({'P56279', 'BCR', 'Q7L7L0'})"
"frozenset({'BCR', 'Q92769', 'Q969R5'})"
"frozenset({'BCR', 'O00560', 'Q96HR9'})"
"frozenset({'BCR', 'Q9NPF7', 'Q14627'})"
"frozenset({'Q5S007', 'BCR', 'O00231'})"
"frozenset({'P01242', 'BCR', 'Q99650'})"
"frozenset({'Q99550', 'BCR', 'Q96MT8'})"
"frozenset({'BCR', 'Q5T754', 'P60328'})"
"frozenset({'BCR', 'P08047', 'P11802'})"
"frozenset({'Q8NF50', 'BCR', 'Q9HBH0'})"
"frozenset({'BCR', 'A6NEM1', 'P78424'})"
"frozenset({'P12830', 'BCR', 'O14745'})"
"frozenset({'BCR', 'O95104', 'Q6IN85'})"
"frozenset({'P62070', 'BCR', 'P04049'})"
"frozenset({'BCR', 'Q12923', 'P50570'})"
"frozenset({'BCR', 'P01106', 'Q9ULF5'})"
"frozenset({'P14625', 'Q9H814', 'BCR'})"
"frozenset({'Q7L590', 'BCR', 'Q9UNS1'})"
"frozenset({'BCR', 'Q13563', 'Q8IWJ2'})"
"frozenset({'Q9NRD1', 'BCR', 'Q9Y2H1'})"
"frozenset({'BCR', 'O94941', 'P46934'})"
"frozenset({'BCR', 'Q14651', 'Q9BXR0'})"
"frozenset({'Q9NVP1', 'Q12788', 'BCR'})"
"frozenset({'Q9ULL1', 'BCR', 'Q96ST8'})"
"frozenset({'BCR', 'Q15018', 'P62195'})"
"frozenset({'BCR', 'P68104', 'P25788'})"
"frozenset({'BCR', 'Q8IVT5', 'Q9Y4C2'})"
"frozenset({'Q9Y2J2', 'BCR', 'Q9UI10'})"
"frozenset({'BCR', 'Q13554', 'Q08493'})"
"frozenset({'BCR', 'Q8TBN0', 'Q9Y296'})"
"frozenset({'BCR', 'O60928', 'P17612'})"
"frozenset({'BCR', 'Q8IWW6', 'Q96SB4'})"
"frozenset({'P22612', 'BCR', 'P47893'})"
"frozenset({'BCR', 'O95402', 'P21675'})"
"frozenset({'BCR', 'Q15435', 'Q96SB3'})"
"frozenset({'P62879', 'BCR', 'O60840'})"
"frozenset({'P01133', 'BCR', 'P04004'})"
"frozenset({'BCR', 'Q06413', 'P28347'})"
"frozenset({'BCR', 'Q04609', 'P32929'})"
"frozenset({'P35244', 'BCR', 'Q562R1'})"
"frozenset({'O15525', 'O75444', 'BCR'})"
"frozenset({'P15884', 'BCR', 'P63165'})"
"frozenset({'BCR', 'O43318', 'P01106'})"
"frozenset({'Q01813', 'BCR', 'Q9H4L4'})"
"frozenset({'Q6ZU80', 'BCR', 'P57721'})"
"frozenset({'O15504', 'BCR', 'Q92905'})"
"frozenset({'O14964', 'BCR', 'Q16633'})"
"frozenset({'Q9UL42', 'BCR', 'Q8N9N2'})"
"frozenset({'Q7Z3U7', 'Q9ULX7', 'BCR'})"
"frozenset({'BCR', 'O15054', 'Q13485'})"
"frozenset({'P53708', 'BCR', 'P16144'})"
"frozenset({'BCR', 'O60641', 'Q10567'})"
"frozenset({'BCR', 'P43034', 'Q15102'})"
"frozenset({'BCR', 'Q9UBU9', 'O43670'})"
"frozenset({'BCR', 'Q04864', 'Q8NFZ5'})"
"frozenset({'BCR', 'Q13509', 'Q9BV73'})"
"frozenset({'BCR', 'Q9BS18', 'P14635'})"
"frozenset({'BCR', 'P11234', 'P24723'})"
"frozenset({'BCR', 'Q9H5J0', 'Q99909'})"
"frozenset({'BCR', 'Q96QF0', 'O75044'})"
"frozenset({'Q12952', 'BCR', 'P41252'})"
"frozenset({'P43246', 'BCR', 'O15360'})"
"frozenset({'BCR', 'P51858', 'O00178'})"
"frozenset({'BCR', 'Q00839', 'P36578'})"
"frozenset({'O75400', 'BCR', 'Q13427'})"
"frozenset({'BCR', 'P22102', 'Q9H0R8'})"
"frozenset({'P53365', 'BCR', 'Q96MT8'})"
"frozenset({'BCR', 'Q9NUX5', 'P48539'})"
"frozenset({'P35226', 'BCR', 'Q9Y3F4'})"
"frozenset({'Q8TDQ7', 'BCR', 'P14373'})"
"frozenset({'BCR', 'P28288', 'Q13423'})"
"frozenset({'Q7Z434', 'P12931', 'BCR'})"
"frozenset({'Q8NGL4', 'BCR', 'P62873'})"
"frozenset({'BCR', 'P13807', 'Q6ZSY5'})"
"frozenset({'Q9Y3I1', 'BCR', 'P53992'})"
"frozenset({'BCR', 'P07437', 'Q15012'})"
"frozenset({'BCR', 'P38484', 'Q9UBD9'})"
"frozenset({'Q9H1A4', 'BCR', 'P30260'})"
"frozenset({'BCR', 'Q9UBU9', 'Q8TEU7'})"
"frozenset({'Q3ZCQ8', 'BCR', 'Q9Y5L4'})"
"frozenset({'P12830', 'BCR', 'Q8TDY2'})"
"frozenset({'O75150', 'BCR', 'P46531'})"
"frozenset({'Q8TAP6', 'BCR', 'Q6BDS2'})"
"frozenset({'BCR', 'Q14203', 'O00231'})"
"frozenset({'BCR', 'Q9P0K8', 'P28370'})"
"frozenset({'O75312', 'BCR', 'Q9NQG5'})"
"frozenset({'Q92597', 'P61960', 'BCR'})"
"frozenset({'BCR', 'P07550', 'A1L0T0'})"
"frozenset({'BCR', 'P62241', 'Q9BYD2'})"
"frozenset({'BCR', 'P69891', 'Q8IUH5'})"
"frozenset({'BCR', 'P62277', 'Q2NL82'})"
"frozenset({'Q13617', 'BCR', 'P01040'})"
"frozenset({'BCR', 'Q9UNF0', 'O00401'})"
"frozenset({'BCR', 'Q99613', 'P01730'})"
"frozenset({'O43809', 'BCR', 'Q92989'})"
"frozenset({'BCR', 'Q8TBB1', 'Q9NZ81'})"
"frozenset({'BCR', 'P62899', 'P02751'})"
"frozenset({'Q9BYM8', 'Q9NR12', 'BCR'})"
"frozenset({'Q9H3P2', 'BCR', 'P24941'})"
"frozenset({'Q02880', 'BCR', 'O75147'})"
"frozenset({'BCR', 'O76021', 'O75147'})"
"frozenset({'BCR', 'O14829', 'Q00325'})"
"frozenset({'Q9H4P4', 'BCR', 'Q6PCD5'})"
"frozenset({'BCR', 'O60884', 'Q14203'})"
"frozenset({'Q7L590', 'P49736', 'BCR'})"
"frozenset({'Q9NPF5', 'BCR', 'P51948'})"
"frozenset({'BCR', 'Q15466', 'Q02363'})"
"frozenset({'O75400', 'BCR', 'P10644'})"
"frozenset({'BCR', 'Q92904', 'P49137'})"
"frozenset({'Q9BUP0', 'P41235', 'BCR'})"
"frozenset({'P26358', 'BCR', 'Q6FHJ7'})"
"frozenset({'P25705', 'BCR', 'O75147'})"
"frozenset({'BCR', 'P06748', 'P05386'})"
"frozenset({'BCR', 'Q9Y228', 'Q9GZM8'})"
"frozenset({'BCR', 'P34931', 'O43318'})"
"frozenset({'BCR', 'Q13283', 'Q08881'})"
"frozenset({'Q9NUG6', 'BCR', 'P61247'})"
"frozenset({'Q7Z591', 'BCR', 'P25800'})"
"frozenset({'Q66PJ3', 'BCR', 'O95218'})"
"frozenset({'BCR', 'P15927', 'Q9Y5B9'})"
"frozenset({'BCR', 'P14618', 'Q06710'})"
"frozenset({'Q9H8S9', 'BCR', 'Q9H2S9'})"
"frozenset({'P61964', 'BCR', 'O14980'})"
"frozenset({'Q5SRD1', 'BCR', 'P23246'})"
"frozenset({'P32242', 'BCR', 'Q07627'})"
"frozenset({'BCR', 'Q9C0B0', 'P62995'})"
"frozenset({'BCR', 'Q13492', 'P51003'})"
"frozenset({'Q6NXE6', 'BCR', 'Q15554'})"
"frozenset({'P55017', 'BCR', 'P46934'})"
"frozenset({'BCR', 'P17931', 'P25391'})"
"frozenset({'BCR', 'Q15165', 'O95613'})"
"frozenset({'Q9NQ55', 'BCR', 'Q9BYG3'})"
"frozenset({'Q9BXL8', 'O14980', 'BCR'})"
"frozenset({'Q99626', 'P46937', 'BCR'})"
"frozenset({'Q92797', 'BCR', 'O00358'})"
"frozenset({'BCR', 'Q13233', 'O95831'})"
"frozenset({'Q9ULV8', 'BCR', 'Q14626'})"
"frozenset({'BCR', 'Q9Y297', 'O15294'})"
"frozenset({'P00533', 'BCR', 'P11309'})"
"frozenset({'P38936', 'BCR', 'P27540'})"
"frozenset({'P33176', 'BCR', 'P62330'})"
"frozenset({'O95832', 'BCR', 'P08253'})"
"frozenset({'P55795', 'P67809', 'BCR'})"
"frozenset({'BCR', 'Q13155', 'O43324'})"
"frozenset({'BCR', 'Q14934', 'P48454'})"
"frozenset({'BCR', 'Q15717', 'Q15906'})"
"frozenset({'BCR', 'Q9BQE3', 'Q96AH8'})"
"frozenset({'Q13263', 'BCR', 'Q9GZQ8'})"
"frozenset({'Q96GD4', 'BCR', 'P63279'})"
"frozenset({'BCR', 'Q9P2K5', 'Q99496'})"
"frozenset({'BCR', 'P01100', 'P62805'})"
"frozenset({'P34925', 'BCR', 'Q9Y6W5'})"
"frozenset({'BCR', 'Q9UHD9', 'Q9P2K6'})"
"frozenset({'BCR', 'Q07912', 'P04629'})"
"frozenset({'Q93034', 'BCR', 'Q9UBE0'})"
"frozenset({'Q9BYN8', 'BCR', 'O43390'})"
"frozenset({'P52292', 'BCR', 'Q96PV4'})"
"frozenset({'BCR', 'Q8N5K1', 'Q08426'})"
"frozenset({'BCR', 'Q8WZ94', 'P17612'})"
"frozenset({'Q9BWE0', 'BCR', 'Q92769'})"
"frozenset({'P60709', 'O96019', 'BCR'})"
"frozenset({'BCR', 'P83731', 'P62277'})"
"frozenset({'BCR', 'Q9BZ29', 'P60763'})"
"frozenset({'P98170', 'BCR', 'Q99759'})"
"frozenset({'BCR', 'O43424', 'Q16478'})"
"frozenset({'Q9BXK1', 'BCR', 'Q9UBT6'})"
"frozenset({'Q02127', 'BCR', 'P49755'})"
"frozenset({'BCR', 'Q96FW1', 'O95433'})"
"frozenset({'Q6W0C5', 'BCR', 'Q96FJ2'})"
"frozenset({'BCR', 'P62330', 'P04179'})"
"frozenset({'Q15363', 'Q9H944', 'BCR'})"
"frozenset({'BCR', 'P49959', 'Q01860'})"
"frozenset({'Q13618', 'BCR', 'Q13242'})"
"frozenset({'BCR', 'P18146', 'P21926'})"
"frozenset({'P11388', 'BCR', 'O76075'})"
"frozenset({'BCR', 'Q9BZ67', 'P19838'})"
"frozenset({'P62487', 'BCR', 'P0CAP2'})"
"frozenset({'BCR', 'P42224', 'Q9NSE2'})"
"frozenset({'BCR', 'Q9NZ94', 'Q8NHA8'})"
"frozenset({'BCR', 'Q9Y397', 'Q4KMG9'})"
"frozenset({'P78369', 'BCR', 'P56880'})"
"frozenset({'BCR', 'P62081', 'P11441'})"
"frozenset({'BCR', 'Q96KC9', 'P0DI81'})"
"frozenset({'P68402', 'BCR', 'P61981'})"
"frozenset({'BCR', 'P04141', 'Q01344'})"
"frozenset({'BCR', 'Q9P0L0', 'Q8NBM4'})"
"frozenset({'P61224', 'BCR', 'Q9UPY3'})"
"frozenset({'P31943', 'BCR', 'Q8WYQ5'})"
"frozenset({'Q15910', 'BCR', 'Q9UKV8'})"
"frozenset({'P53350', 'BCR', 'Q969H0'})"
"frozenset({'BCR', 'Q92731', 'O75569'})"
"frozenset({'BCR', 'P49366', 'P52744'})"
"frozenset({'BCR', 'O75521', 'O95182'})"
"frozenset({'BCR', 'Q8TF46', 'P08621'})"
"frozenset({'Q9Y295', 'Q9UET6', 'BCR'})"
"frozenset({'BCR', 'P25098', 'Q8NGY0'})"
"frozenset({'BCR', 'P68400', 'Q15459'})"
"frozenset({'BCR', 'Q86UL3', 'Q96FV3'})"
"frozenset({'BCR', 'O75360', 'Q86YM7'})"
"frozenset({'BCR', 'P16104', 'P60660'})"
"frozenset({'Q9NRD1', 'BCR', 'P18850'})"
"frozenset({'Q9NRD1', 'BCR', 'P52948'})"
"frozenset({'BCR', 'Q00536', 'O75044'})"
"frozenset({'BCR', 'Q8IZT6', 'Q9UHW5'})"
"frozenset({'BCR', 'Q8IUC1', 'Q5T7P2'})"
"frozenset({'BCR', 'P41218', 'Q13601'})"
"frozenset({'BCR', 'O95837', 'P47901'})"
"frozenset({'Q8NEC5', 'BCR', 'Q9BUH8'})"
"frozenset({'Q16082', 'BCR', 'P02745'})"
"frozenset({'P16402', 'BCR', 'Q13148'})"
"frozenset({'P11717', 'BCR', 'P51148'})"
"frozenset({'BCR', 'Q04637', 'Q9UKX7'})"
"frozenset({'BCR', 'Q96IR7', 'P20645'})"
"frozenset({'O95816', 'BCR', 'P53671'})"
"frozenset({'BCR', 'Q9C0B0', 'P42166'})"
"frozenset({'Q13263', 'BCR', 'Q14166'})"
"frozenset({'BCR', 'P63261', 'Q9NVD7'})"
"frozenset({'Q15654', 'BCR', 'Q12923'})"
"frozenset({'O15111', 'BCR', 'Q00610'})"
"frozenset({'BCR', 'P04278', 'Q9UNF0'})"
"frozenset({'BCR', 'Q96JL9', 'Q8IUH5'})"
"frozenset({'BCR', 'P07738', 'P11161'})"
"frozenset({'BCR', 'Q92698', 'Q14240'})"
"frozenset({'P15884', 'BCR', 'P01308'})"
"frozenset({'P33992', 'BCR', 'P14923'})"
"frozenset({'BCR', 'P35916', 'P20783'})"
"frozenset({'P46977', 'BCR', 'P04629'})"
"frozenset({'BCR', 'Q68CJ9', 'Q13237'})"
"frozenset({'Q9H0W5', 'P46777', 'BCR'})"
"frozenset({'BCR', 'Q99459', 'Q08AF8'})"
"frozenset({'O60262', 'BCR', 'Q8NGS6'})"
"frozenset({'P61289', 'BCR', 'P51665'})"
"frozenset({'BCR', 'P55899', 'P08246'})"
"frozenset({'P10599', 'BCR', 'P00966'})"
"frozenset({'P45985', 'BCR', 'Q9UNN5'})"
"frozenset({'BCR', 'Q8IZA0', 'Q9UKJ1'})"
"frozenset({'P67809', 'BCR', 'Q15428'})"
"frozenset({'BCR', 'P61981', 'Q7Z6J6'})"
"frozenset({'Q9Y275', 'BCR', 'P21359'})"
"frozenset({'BCR', 'P23443', 'O00459'})"
"frozenset({'BCR', 'P68133', 'Q96II8'})"
