negatives
"frozenset({'Q96HT8', 'Q99757', 'BDNF'})"
"frozenset({'Q12840', 'P28702', 'BDNF'})"
"frozenset({'Q08426', 'BDNF', 'Q9BYQ6'})"
"frozenset({'Q92620', 'BDNF', 'Q8WXK4'})"
"frozenset({'Q86YD7', 'Q96KQ4', 'BDNF'})"
"frozenset({'Q07912', 'P42768', 'BDNF'})"
"frozenset({'Q05397', 'BDNF', 'P21815'})"
"frozenset({'BDNF', 'P38405', 'A6NKK0'})"
"frozenset({'Q14195', 'BDNF', 'P04629'})"
"frozenset({'Q6P5R6', 'Q7L5N1', 'BDNF'})"
"frozenset({'BDNF', 'Q8WV44', 'Q14584'})"
"frozenset({'P62495', 'Q7L1Q6', 'BDNF'})"
"frozenset({'Q9H814', 'Q9H9Z2', 'BDNF'})"
"frozenset({'P0DP24', 'BDNF', 'P21333'})"
"frozenset({'Q643R3', 'BDNF', 'P16220'})"
"frozenset({'Q13838', 'BDNF', 'P62993'})"
"frozenset({'Q92734', 'BDNF', 'Q8N9W6'})"
"frozenset({'P11182', 'Q9Y234', 'BDNF'})"
"frozenset({'Q8TDN6', 'P62633', 'BDNF'})"
"frozenset({'O96020', 'BDNF', 'P60484'})"
"frozenset({'P24941', 'P62330', 'BDNF'})"
"frozenset({'Q9H0E2', 'BDNF', 'O15119'})"
"frozenset({'Q9GZM5', 'BDNF', 'Q9BQQ3'})"
"frozenset({'P51674', 'P81408', 'BDNF'})"
"frozenset({'P24941', 'BDNF', 'Q02878'})"
"frozenset({'P09917', 'BDNF', 'P27695'})"
"frozenset({'Q9H6X2', 'Q9BZ76', 'BDNF'})"
"frozenset({'Q9Y224', 'Q9Y4C1', 'BDNF'})"
"frozenset({'P00441', 'BDNF', 'P08243'})"
"frozenset({'Q99062', 'BDNF', 'Q8WXH5'})"
"frozenset({'BDNF', 'P38398', 'Q9P270'})"
"frozenset({'BDNF', 'Q3MII6', 'Q99689'})"
"frozenset({'P35626', 'BDNF', 'Q8NGE9'})"
"frozenset({'P27361', 'BDNF', 'Q9UQC2'})"
"frozenset({'P46782', 'BDNF', 'Q9HCE1'})"
"frozenset({'Q8N0X7', 'BDNF', 'Q00610'})"
"frozenset({'P06748', 'P01889', 'BDNF'})"
"frozenset({'P63215', 'P05771', 'BDNF'})"
"frozenset({'BDNF', 'P17542', 'Q86XI2'})"
"frozenset({'P56537', 'Q13257', 'BDNF'})"
"frozenset({'Q14703', 'BDNF', 'Q9NYA1'})"
"frozenset({'P49815', 'BDNF', 'P20339'})"
"frozenset({'Q9NX55', 'O00193', 'BDNF'})"
"frozenset({'Q8IWV1', 'BDNF', 'Q14258'})"
"frozenset({'Q8WZ74', 'BDNF', 'P48643'})"
"frozenset({'Q8WXI8', 'Q6EIG7', 'BDNF'})"
"frozenset({'O43707', 'BDNF', 'O14964'})"
"frozenset({'Q96D03', 'BDNF', 'P36508'})"
"frozenset({'P56545', 'Q13363', 'BDNF'})"
"frozenset({'BDNF', 'Q16769', 'Q13620'})"
"frozenset({'O75354', 'BDNF', 'Q8WVQ1'})"
"frozenset({'O75533', 'BDNF', 'Q86VP6'})"
"frozenset({'Q16576', 'O14519', 'BDNF'})"
"frozenset({'BDNF', 'P11142', 'Q9BY11'})"
"frozenset({'P05114', 'P63104', 'BDNF'})"
"frozenset({'P21675', 'O00268', 'BDNF'})"
"frozenset({'P28482', 'BDNF', 'Q9NYJ8'})"
"frozenset({'BDNF', 'Q96IV6', 'Q12846'})"
"frozenset({'P52272', 'P62081', 'BDNF'})"
"frozenset({'Q15397', 'BDNF', 'Q12905'})"
"frozenset({'BDNF', 'Q12952', 'P28370'})"
"frozenset({'Q7LG56', 'P04637', 'BDNF'})"
"frozenset({'Q9NYV6', 'P17480', 'BDNF'})"
"frozenset({'O00159', 'P04637', 'BDNF'})"
"frozenset({'P60709', 'P46783', 'BDNF'})"
"frozenset({'BDNF', 'Q8TD26', 'Q12873'})"
"frozenset({'Q9Y4K3', 'BDNF', 'Q99759'})"
"frozenset({'P35270', 'Q9Y3C8', 'BDNF'})"
"frozenset({'Q8IWL3', 'BDNF', 'Q9NR56'})"
"frozenset({'Q8NGH3', 'BDNF', 'P49407'})"
"frozenset({'O14757', 'O60343', 'BDNF'})"
"frozenset({'P18031', 'Q9NRW7', 'BDNF'})"
"frozenset({'Q9UIA0', 'BDNF', 'O75971'})"
"frozenset({'P10321', 'P01893', 'BDNF'})"
"frozenset({'P19838', 'BDNF', 'Q9P000'})"
"frozenset({'Q8NGZ6', 'BDNF', 'P22612'})"
"frozenset({'Q5T5P2', 'Q9NRX4', 'BDNF'})"
"frozenset({'Q9UHR5', 'Q14192', 'BDNF'})"
"frozenset({'P51787', 'BDNF', 'P0DP25'})"
"frozenset({'Q01064', 'Q8TD86', 'BDNF'})"
"frozenset({'Q5JPE7', 'Q9UBU9', 'BDNF'})"
"frozenset({'Q12972', 'BDNF', 'Q9UKR5'})"
"frozenset({'Q96GF1', 'BDNF', 'Q9HCE1'})"
"frozenset({'BDNF', 'Q9NTK5', 'Q9UL40'})"
"frozenset({'BDNF', 'O14559', 'P06241'})"
"frozenset({'BDNF', 'Q9Y3B2', 'P36508'})"
"frozenset({'Q9UHD8', 'O43819', 'BDNF'})"
"frozenset({'BDNF', 'O95999', 'P19438'})"
"frozenset({'Q9H0K1', 'BDNF', 'Q13131'})"
"frozenset({'Q504Q3', 'BDNF', 'Q9UPQ4'})"
"frozenset({'BDNF', 'O00560', 'Q9NX04'})"
"frozenset({'Q96PU8', 'P57723', 'BDNF'})"
"frozenset({'Q96PY6', 'BDNF', 'Q6P3R8'})"
"frozenset({'Q9Y3A3', 'BDNF', 'Q9NRL3'})"
"frozenset({'BDNF', 'P10451', 'Q9NRR5'})"
"frozenset({'Q8N1G4', 'BDNF', 'Q8NFA0'})"
"frozenset({'Q9UBB9', 'Q99567', 'BDNF'})"
"frozenset({'Q07955', 'BDNF', 'Q15910'})"
"frozenset({'P01106', 'P25205', 'BDNF'})"
"frozenset({'Q9H160', 'Q13547', 'BDNF'})"
"frozenset({'Q9NWB7', 'BDNF', 'Q96LB3'})"
"frozenset({'O15259', 'P19388', 'BDNF'})"
"frozenset({'Q9Y572', 'BDNF', 'Q13748'})"
"frozenset({'P33993', 'BDNF', 'Q9UHB6'})"
"frozenset({'P32942', 'Q04759', 'BDNF'})"
"frozenset({'P12110', 'BDNF', 'P53708'})"
"frozenset({'P52803', 'Q16620', 'BDNF'})"
"frozenset({'Q15154', 'Q92540', 'BDNF'})"
"frozenset({'Q04206', 'Q9BYH8', 'BDNF'})"
"frozenset({'Q12778', 'Q92569', 'BDNF'})"
"frozenset({'BDNF', 'Q9Y371', 'P13807'})"
"frozenset({'Q6IQ32', 'P45973', 'BDNF'})"
"frozenset({'BDNF', 'Q9NQ84', 'Q9NTK5'})"
"frozenset({'Q9BZW7', 'BDNF', 'Q9P2K3'})"
"frozenset({'Q13976', 'BDNF', 'Q01970'})"
"frozenset({'P19838', 'P01563', 'BDNF'})"
"frozenset({'BDNF', 'P20339', 'Q12846'})"
"frozenset({'P05388', 'BDNF', 'Q9H0R8'})"
"frozenset({'Q9GZM7', 'Q401N2', 'BDNF'})"
"frozenset({'Q9Y3Z3', 'BDNF', 'Q99496'})"
"frozenset({'P55317', 'BDNF', 'P23771'})"
"frozenset({'Q7Z5Y7', 'Q13618', 'BDNF'})"
"frozenset({'Q13643', 'P29350', 'BDNF'})"
"frozenset({'P61254', 'P39023', 'BDNF'})"
"frozenset({'O75817', 'BDNF', 'P63162'})"
"frozenset({'Q71U36', 'P22626', 'BDNF'})"
"frozenset({'P10321', 'Q9NZJ5', 'BDNF'})"
"frozenset({'Q00403', 'P04406', 'BDNF'})"
"frozenset({'P62256', 'BDNF', 'Q8TBC4'})"
"frozenset({'Q8WXF1', 'Q15233', 'BDNF'})"
"frozenset({'O94903', 'P49589', 'BDNF'})"
"frozenset({'O14757', 'P52292', 'BDNF'})"
"frozenset({'BDNF', 'P10451', 'P24593'})"
"frozenset({'O95922', 'Q96DE5', 'BDNF'})"
"frozenset({'BDNF', 'P51532', 'Q01628'})"
"frozenset({'Q96IK5', 'BDNF', 'A6NFR6'})"
"frozenset({'BDNF', 'Q16623', 'P23975'})"
"frozenset({'BDNF', 'Q00013', 'P32119'})"
"frozenset({'Q5JU00', 'BDNF', 'O43303'})"
"frozenset({'Q9BTV5', 'BDNF', 'P04629'})"
"frozenset({'Q9P272', 'BDNF', 'Q6DKK2'})"
"frozenset({'P51965', 'BDNF', 'Q93009'})"
"frozenset({'P02751', 'P08253', 'BDNF'})"
"frozenset({'P28066', 'Q13200', 'BDNF'})"
"frozenset({'Q8TDN6', 'BDNF', 'Q99708'})"
"frozenset({'Q9H5I1', 'BDNF', 'P50991'})"
"frozenset({'Q13200', 'BDNF', 'Q5HYA8'})"
"frozenset({'Q9H9D4', 'BDNF', 'P14174'})"
"frozenset({'P50914', 'P05387', 'BDNF'})"
"frozenset({'P04908', 'BDNF', 'P09651'})"
"frozenset({'Q7KZI7', 'BDNF', 'Q7Z460'})"
"frozenset({'Q15819', 'BDNF', 'O95218'})"
"frozenset({'P00533', 'BDNF', 'Q5T7W7'})"
"frozenset({'BDNF', 'Q9NPA2', 'P16220'})"
"frozenset({'Q9Y6G3', 'Q12906', 'BDNF'})"
"frozenset({'Q96HE9', 'BDNF', 'P62906'})"
"frozenset({'P10912', 'BDNF', 'Q9GZX6'})"
"frozenset({'P82664', 'Q9UBU9', 'BDNF'})"
"frozenset({'P33240', 'Q9HBU1', 'BDNF'})"
"frozenset({'Q9UM11', 'O75496', 'BDNF'})"
"frozenset({'P13639', 'Q7L5N1', 'BDNF'})"
"frozenset({'Q13363', 'BDNF', 'P35222'})"
"frozenset({'BDNF', 'Q9NQ11', 'Q03431'})"
"frozenset({'Q96KQ7', 'BDNF', 'Q13948'})"
"frozenset({'P35998', 'BDNF', 'O60216'})"
"frozenset({'Q9UBP9', 'Q96CW1', 'BDNF'})"
"frozenset({'Q9HAV0', 'BDNF', 'Q99471'})"
"frozenset({'Q9Y2W1', 'Q9P127', 'BDNF'})"
"frozenset({'P61254', 'P62899', 'BDNF'})"
"frozenset({'Q9NZ94', 'BDNF', 'O94973'})"
"frozenset({'Q00341', 'BDNF', 'P49711'})"
"frozenset({'BDNF', 'Q9Y2H6', 'P61218'})"
"frozenset({'P05067', 'Q14320', 'BDNF'})"
"frozenset({'P22059', 'P51784', 'BDNF'})"
"frozenset({'P10828', 'P34932', 'BDNF'})"
"frozenset({'Q9NRY6', 'P49639', 'BDNF'})"
"frozenset({'O43463', 'Q13761', 'BDNF'})"
"frozenset({'Q9NP92', 'BDNF', 'Q96EH3'})"
"frozenset({'Q9H9Y6', 'Q9NW08', 'BDNF'})"
"frozenset({'BDNF', 'P14866', 'Q8IWZ8'})"
"frozenset({'Q14627', 'BDNF', 'P31749'})"
"frozenset({'O60262', 'A6NH00', 'BDNF'})"
"frozenset({'Q96P16', 'BDNF', 'P63104'})"
"frozenset({'P78362', 'BDNF', 'Q9NZA1'})"
"frozenset({'Q86XE3', 'BDNF', 'P49759'})"
"frozenset({'Q9UK23', 'Q96CW1', 'BDNF'})"
"frozenset({'BDNF', 'Q00536', 'Q9HAU0'})"
"frozenset({'Q96FJ0', 'BDNF', 'Q8IWV1'})"
"frozenset({'Q9HCE7', 'BDNF', 'P17987'})"
"frozenset({'P27348', 'BDNF', 'P26640'})"
"frozenset({'Q96I24', 'P05067', 'BDNF'})"
"frozenset({'O75420', 'Q96GM5', 'BDNF'})"
"frozenset({'Q9NRM6', 'BDNF', 'O75582'})"
"frozenset({'Q15047', 'Q96HD1', 'BDNF'})"
"frozenset({'O43301', 'BDNF', 'Q13508'})"
"frozenset({'Q99496', 'BDNF', 'P41091'})"
"frozenset({'BDNF', 'P33316', 'Q9UM82'})"
"frozenset({'Q15942', 'BDNF', 'P61981'})"
"frozenset({'P55072', 'BDNF', 'Q96N67'})"
"frozenset({'P17302', 'P17252', 'BDNF'})"
"frozenset({'P61923', 'BDNF', 'Q7Z2W4'})"
"frozenset({'Q96EB6', 'BDNF', 'Q9Y618'})"
"frozenset({'P42704', 'P21860', 'BDNF'})"
"frozenset({'Q9UJX2', 'BDNF', 'P35251'})"
"frozenset({'P50454', 'BDNF', 'O43865'})"
"frozenset({'Q9Y4K4', 'P49841', 'BDNF'})"
"frozenset({'Q09472', 'BDNF', 'P05161'})"
"frozenset({'BDNF', 'Q53S58', 'Q9Y3B7'})"
"frozenset({'O75908', 'O95817', 'BDNF'})"
"frozenset({'BDNF', 'P60006', 'Q8NI35'})"
"frozenset({'Q7Z6Z7', 'P62266', 'BDNF'})"
"frozenset({'Q03933', 'O75426', 'BDNF'})"
"frozenset({'Q8WZ42', 'BDNF', 'O75953'})"
"frozenset({'P05412', 'BDNF', 'P23284'})"
"frozenset({'O00295', 'BDNF', 'Q15717'})"
"frozenset({'Q8IYR0', 'BDNF', 'Q5T124'})"
"frozenset({'P35610', 'BDNF', 'Q17R55'})"
"frozenset({'Q9HAT2', 'Q9H0S4', 'BDNF'})"
"frozenset({'Q9UNK9', 'Q8IVT5', 'BDNF'})"
"frozenset({'BDNF', 'Q9UBY8', 'P04350'})"
"frozenset({'BDNF', 'Q93009', 'Q9HBZ2'})"
"frozenset({'Q86YD7', 'BDNF', 'Q5JR59'})"
"frozenset({'P48729', 'Q92614', 'BDNF'})"
"frozenset({'BDNF', 'Q8TAB5', 'Q8N1B4'})"
"frozenset({'Q6V0I7', 'BDNF', 'P06733'})"
"frozenset({'O43583', 'BDNF', 'P53370'})"
"frozenset({'P84098', 'BDNF', 'P61353'})"
"frozenset({'O00422', 'P35226', 'BDNF'})"
"frozenset({'Q8WYQ5', 'BDNF', 'Q15555'})"
"frozenset({'Q96CP2', 'BDNF', 'P28702'})"
"frozenset({'P86478', 'P35711', 'BDNF'})"
"frozenset({'Q15034', 'BDNF', 'Q9HCE1'})"
"frozenset({'P37231', 'BDNF', 'P46934'})"
"frozenset({'O00255', 'BDNF', 'P30876'})"
"frozenset({'P18827', 'P14210', 'BDNF'})"
"frozenset({'Q13191', 'Q8WV28', 'BDNF'})"
"frozenset({'BDNF', 'Q05519', 'Q9UI30'})"
"frozenset({'BDNF', 'P33981', 'Q5BJF6'})"
"frozenset({'P19793', 'BDNF', 'Q9NRR5'})"
"frozenset({'BDNF', 'P52948', 'P35222'})"
"frozenset({'Q92538', 'BDNF', 'O95274'})"
"frozenset({'BDNF', 'Q96AZ1', 'Q92526'})"
"frozenset({'BDNF', 'P0DP25', 'O15078'})"
"frozenset({'BDNF', 'P16070', 'P13612'})"
"frozenset({'P14625', 'P03372', 'BDNF'})"
"frozenset({'Q96EK7', 'Q13618', 'BDNF'})"
"frozenset({'BDNF', 'Q16613', 'Q99750'})"
"frozenset({'Q07955', 'BDNF', 'P35637'})"
"frozenset({'BDNF', 'P04156', 'Q15223'})"
"frozenset({'P06493', 'BDNF', 'P41002'})"
"frozenset({'BDNF', 'O60244', 'Q92830'})"
"frozenset({'Q9HA65', 'BDNF', 'Q12789'})"
"frozenset({'Q15293', 'P35241', 'BDNF'})"
"frozenset({'O14775', 'BDNF', 'O00329'})"
"frozenset({'P08138', 'BDNF', 'Q01970'})"
"frozenset({'Q9UKX2', 'BDNF', 'P54709'})"
"frozenset({'Q969G5', 'BDNF', 'Q9P2B7'})"
"frozenset({'P14923', 'Q96B01', 'BDNF'})"
"frozenset({'Q9BYR6', 'Q92922', 'BDNF'})"
"frozenset({'P06576', 'Q13895', 'BDNF'})"
"frozenset({'P03372', 'BDNF', 'P06239'})"
"frozenset({'P11388', 'BDNF', 'P19320'})"
"frozenset({'P05067', 'Q6NXR0', 'BDNF'})"
"frozenset({'Q9H4E7', 'BDNF', 'P15884'})"
"frozenset({'P50222', 'Q719I0', 'BDNF'})"
"frozenset({'A8K8P3', 'BDNF', 'Q99750'})"
"frozenset({'P24941', 'Q15813', 'BDNF'})"
"frozenset({'Q9H8W4', 'Q96JM7', 'BDNF'})"
"frozenset({'Q9Y6B6', 'Q9UKJ1', 'BDNF'})"
"frozenset({'P50406', 'BDNF', 'Q96KP1'})"
"frozenset({'Q9NZ01', 'BDNF', 'Q00325'})"
"frozenset({'P12081', 'P62195', 'BDNF'})"
"frozenset({'Q9BXJ9', 'BDNF', 'P30480'})"
"frozenset({'O95817', 'BDNF', 'Q9H7C9'})"
"frozenset({'BDNF', 'P19320', 'P10599'})"
"frozenset({'BDNF', 'Q9NQ11', 'O95070'})"
"frozenset({'Q07955', 'Q92841', 'BDNF'})"
"frozenset({'Q03989', 'BDNF', 'P0CW19'})"
"frozenset({'Q9BYB0', 'Q9Y2H0', 'BDNF'})"
"frozenset({'P49023', 'P42679', 'BDNF'})"
"frozenset({'Q08379', 'BDNF', 'Q7Z6J9'})"
"frozenset({'BDNF', 'P39210', 'P17568'})"
"frozenset({'Q9NQ29', 'BDNF', 'P68400'})"
"frozenset({'Q13285', 'Q86YZ3', 'BDNF'})"
"frozenset({'Q9UGI0', 'BDNF', 'Q5VSL9'})"
"frozenset({'BDNF', 'P34932', 'Q16584'})"
"frozenset({'P24941', 'P50453', 'BDNF'})"
"frozenset({'BDNF', 'Q8IY63', 'Q0D2I5'})"
"frozenset({'P41182', 'BDNF', 'Q9HBW0'})"
"frozenset({'P51668', 'BDNF', 'Q9UII4'})"
"frozenset({'Q13137', 'O95363', 'BDNF'})"
"frozenset({'P83731', 'O95777', 'BDNF'})"
"frozenset({'Q6ZUJ8', 'BDNF', 'P00519'})"
"frozenset({'Q9NYB0', 'P61964', 'BDNF'})"
"frozenset({'Q03252', 'BDNF', 'O95714'})"
"frozenset({'Q92805', 'BDNF', 'P12004'})"
"frozenset({'O95793', 'Q15233', 'BDNF'})"
"frozenset({'Q15834', 'BDNF', 'Q8IYX3'})"
"frozenset({'Q6NUM9', 'BDNF', 'Q03431'})"
"frozenset({'Q9HC98', 'Q15834', 'BDNF'})"
"frozenset({'Q8NHQ1', 'BDNF', 'Q7Z3B3'})"
"frozenset({'Q14568', 'Q14164', 'BDNF'})"
"frozenset({'BDNF', 'P43363', 'Q8TD31'})"
"frozenset({'BDNF', 'P19387', 'O00308'})"
"frozenset({'Q92621', 'BDNF', 'P09651'})"
"frozenset({'Q9UIF7', 'P01112', 'BDNF'})"
"frozenset({'P23327', 'BDNF', 'Q96SQ5'})"
"frozenset({'Q9Y2R5', 'Q14197', 'BDNF'})"
"frozenset({'Q8NH50', 'BDNF', 'P32121'})"
"frozenset({'BDNF', 'P62491', 'P62993'})"
"frozenset({'Q99496', 'BDNF', 'Q99729'})"
"frozenset({'O95782', 'BDNF', 'P49736'})"
"frozenset({'O00139', 'BDNF', 'O00303'})"
"frozenset({'P15927', 'BDNF', 'P11021'})"
"frozenset({'Q14469', 'P17676', 'BDNF'})"
"frozenset({'Q99941', 'Q9NWU1', 'BDNF'})"
"frozenset({'P62249', 'Q93034', 'BDNF'})"
"frozenset({'Q07912', 'Q96JZ2', 'BDNF'})"
"frozenset({'Q9H3G5', 'BDNF', 'Q53S58'})"
"frozenset({'P29317', 'BDNF', 'P62993'})"
"frozenset({'P08670', 'P20333', 'BDNF'})"
"frozenset({'P41182', 'BDNF', 'Q9BYK8'})"
"frozenset({'Q9H0C8', 'P39880', 'BDNF'})"
"frozenset({'Q7L0Q8', 'BDNF', 'Q9UBP8'})"
"frozenset({'P17812', 'BDNF', 'Q13617'})"
"frozenset({'O15265', 'BDNF', 'Q86TJ2'})"
"frozenset({'P42336', 'BDNF', 'P13224'})"
"frozenset({'P62269', 'BDNF', 'Q02543'})"
"frozenset({'P18621', 'P39023', 'BDNF'})"
"frozenset({'Q8HWS3', 'BDNF', 'P56470'})"
"frozenset({'P51668', 'BDNF', 'O00237'})"
"frozenset({'Q8NEE6', 'BDNF', 'P41208'})"
"frozenset({'Q8WUM0', 'BDNF', 'Q9HC62'})"
"frozenset({'P05412', 'BDNF', 'Q9UFW8'})"
"frozenset({'BDNF', 'P15941', 'P00519'})"
"frozenset({'O95816', 'BDNF', 'Q99615'})"
"frozenset({'Q9HAT2', 'BDNF', 'Q8NBT0'})"
"frozenset({'Q6UY14', 'BDNF', 'Q8TCE9'})"
"frozenset({'P46531', 'BDNF', 'Q9ULJ6'})"
"frozenset({'Q96FV9', 'BDNF', 'Q9HB58'})"
"frozenset({'O43920', 'P28838', 'BDNF'})"
"frozenset({'P05067', 'BDNF', 'Q12824'})"
"frozenset({'P02751', 'Q92499', 'BDNF'})"
"frozenset({'P02549', 'BDNF', 'Q9NRE2'})"
"frozenset({'P36542', 'BDNF', 'P05023'})"
"frozenset({'Q9NVK5', 'O43815', 'BDNF'})"
"frozenset({'P23396', 'BDNF', 'O60216'})"
"frozenset({'Q07869', 'BDNF', 'P41235'})"
"frozenset({'Q9UBR2', 'BDNF', 'Q92764'})"
"frozenset({'P54646', 'P50570', 'BDNF'})"
"frozenset({'P69892', 'BDNF', 'P49736'})"
"frozenset({'P06748', 'Q6MZP7', 'BDNF'})"
"frozenset({'O60885', 'P00568', 'BDNF'})"
"frozenset({'BDNF', 'Q9NUG6', 'Q99471'})"
"frozenset({'O95379', 'O00560', 'BDNF'})"
"frozenset({'BDNF', 'Q9UBU9', 'P23396'})"
"frozenset({'BDNF', 'P06239', 'Q13480'})"
"frozenset({'Q14209', 'Q96JM7', 'BDNF'})"
"frozenset({'Q9NRD5', 'BDNF', 'Q3MJ62'})"
"frozenset({'Q16637', 'Q9Y6K9', 'BDNF'})"
"frozenset({'BDNF', 'Q02539', 'Q5JNZ5'})"
"frozenset({'O43181', 'BDNF', 'O95168'})"
"frozenset({'O00214', 'BDNF', 'P55082'})"
"frozenset({'Q8NHM5', 'Q9H9S0', 'BDNF'})"
"frozenset({'P62266', 'Q71UM5', 'BDNF'})"
"frozenset({'P60369', 'BDNF', 'Q15274'})"
"frozenset({'P84098', 'BDNF', 'Q12905'})"
"frozenset({'O95817', 'BDNF', 'Q14146'})"
"frozenset({'Q9UK22', 'BDNF', 'Q9UNE7'})"
"frozenset({'P49639', 'BDNF', 'Q96F45'})"
"frozenset({'P68133', 'BDNF', 'Q9Y2A7'})"
"frozenset({'Q96E35', 'Q9UKD1', 'BDNF'})"
"frozenset({'Q9BWH2', 'O75208', 'BDNF'})"
"frozenset({'Q9Y277', 'P49662', 'BDNF'})"
"frozenset({'A8MVS5', 'BDNF', 'A8MQ03'})"
"frozenset({'BDNF', 'P56279', 'Q9Y243'})"
"frozenset({'Q16740', 'BDNF', 'Q9NRQ2'})"
"frozenset({'O14908', 'BDNF', 'P08588'})"
"frozenset({'P26651', 'BDNF', 'Q8IUH5'})"
"frozenset({'Q8TDN6', 'P49841', 'BDNF'})"
"frozenset({'Q9BW11', 'Q9UQE7', 'BDNF'})"
"frozenset({'P55060', 'P38606', 'BDNF'})"
"frozenset({'O75530', 'BDNF', 'Q8IY81'})"
"frozenset({'P50542', 'O00623', 'BDNF'})"
"frozenset({'Q07869', 'P42224', 'BDNF'})"
"frozenset({'P67809', 'O43684', 'BDNF'})"
"frozenset({'Q9NSK7', 'Q9Y6K9', 'BDNF'})"
"frozenset({'Q92922', 'BDNF', 'Q96AE4'})"
"frozenset({'Q13501', 'BDNF', 'Q9H3N1'})"
"frozenset({'Q9Y5J9', 'BDNF', 'Q9Y5J7'})"
"frozenset({'Q92979', 'Q96DW6', 'BDNF'})"
"frozenset({'P62136', 'Q99622', 'BDNF'})"
"frozenset({'P17612', 'BDNF', 'Q6IF00'})"
"frozenset({'Q9Y5K6', 'BDNF', 'P16220'})"
"frozenset({'Q9Y2D5', 'BDNF', 'O95433'})"
"frozenset({'P61254', 'O60739', 'BDNF'})"
"frozenset({'P10321', 'P13747', 'BDNF'})"
"frozenset({'Q8IVS8', 'BDNF', 'P14373'})"
"frozenset({'Q504Q3', 'BDNF', 'Q3KNV8'})"
"frozenset({'O14920', 'Q8N726', 'BDNF'})"
"frozenset({'BDNF', 'Q86TM6', 'Q9Y5J3'})"
"frozenset({'O75581', 'BDNF', 'Q9BQB4'})"
"frozenset({'P39880', 'BDNF', 'Q01826'})"
"frozenset({'P04843', 'BDNF', 'O60506'})"
"frozenset({'P20963', 'BDNF', 'P04004'})"
"frozenset({'Q14683', 'Q9UQE7', 'BDNF'})"
"frozenset({'Q9NUX5', 'Q14353', 'BDNF'})"
"frozenset({'Q01484', 'P61221', 'BDNF'})"
"frozenset({'P0DI82', 'P48553', 'BDNF'})"
"frozenset({'Q9HB96', 'BDNF', 'Q00597'})"
"frozenset({'P36542', 'Q13191', 'BDNF'})"
"frozenset({'P60369', 'O60896', 'BDNF'})"
"frozenset({'O15354', 'P43220', 'BDNF'})"
"frozenset({'P14618', 'BDNF', 'Q92905'})"
"frozenset({'P16234', 'BDNF', 'P29597'})"
"frozenset({'BDNF', 'Q9UK32', 'P02686'})"
"frozenset({'P28074', 'O60566', 'BDNF'})"
"frozenset({'Q6Y288', 'Q15262', 'BDNF'})"
"frozenset({'O60258', 'P00533', 'BDNF'})"
"frozenset({'Q13619', 'BDNF', 'Q9BT92'})"
"frozenset({'Q8IY17', 'Q9Y6I9', 'BDNF'})"
"frozenset({'BDNF', 'Q9UNA1', 'Q07890'})"
"frozenset({'BDNF', 'Q16512', 'P11234'})"
"frozenset({'BDNF', 'O75376', 'O15111'})"
"frozenset({'P01019', 'BDNF', 'O75787'})"
"frozenset({'BDNF', 'Q9NV79', 'Q01860'})"
"frozenset({'Q86X19', 'BDNF', 'P55011'})"
"frozenset({'BDNF', 'P82673', 'P05026'})"
"frozenset({'Q13423', 'BDNF', 'P09651'})"
"frozenset({'O43482', 'Q9NRA8', 'BDNF'})"
"frozenset({'O43889', 'Q96I15', 'BDNF'})"
"frozenset({'P13056', 'Q9UKL0', 'BDNF'})"
"frozenset({'P46783', 'BDNF', 'Q14152'})"
"frozenset({'BDNF', 'P61371', 'P16885'})"
"frozenset({'Q9UBB9', 'BDNF', 'Q7Z3B3'})"
"frozenset({'Q6P9G0', 'Q96GG9', 'BDNF'})"
"frozenset({'P05388', 'BDNF', 'Q13617'})"
"frozenset({'P60981', 'BDNF', 'P06454'})"
"frozenset({'BDNF', 'P61088', 'Q9Y376'})"
"frozenset({'Q14197', 'P00403', 'BDNF'})"
"frozenset({'Q01968', 'BDNF', 'O94875'})"
"frozenset({'Q8IYR0', 'BDNF', 'Q08117'})"
"frozenset({'P11274', 'BDNF', 'Q9UQC2'})"
"frozenset({'P54646', 'BDNF', 'Q9Y6P5'})"
"frozenset({'Q15834', 'Q7Z3B4', 'BDNF'})"
"frozenset({'Q15006', 'BDNF', 'P17096'})"
"frozenset({'Q6UWW0', 'BDNF', 'Q7Z333'})"
"frozenset({'Q9Y617', 'BDNF', 'Q99614'})"
"frozenset({'Q9UBC3', 'BDNF', 'Q92769'})"
"frozenset({'Q8N9W5', 'BDNF', 'O14980'})"
"frozenset({'BDNF', 'Q13501', 'P24387'})"
"frozenset({'BDNF', 'P22695', 'Q9Y3E0'})"
"frozenset({'Q9BT49', 'Q01105', 'BDNF'})"
"frozenset({'Q6IPM2', 'BDNF', 'Q96KN7'})"
"frozenset({'O75420', 'Q96EZ8', 'BDNF'})"
"frozenset({'P55060', 'BDNF', 'Q13490'})"
"frozenset({'O96006', 'BDNF', 'Q9HCN4'})"
"frozenset({'P20929', 'P54296', 'BDNF'})"
"frozenset({'Q9UJF2', 'BDNF', 'Q6IQ23'})"
"frozenset({'BDNF', 'Q15742', 'O43741'})"
"frozenset({'P48431', 'BDNF', 'Q9NTK5'})"
"frozenset({'Q8NG27', 'BDNF', 'P68036'})"
"frozenset({'Q9NRD5', 'P61457', 'BDNF'})"
"frozenset({'O15440', 'P34897', 'BDNF'})"
